"IdentifikatorZakazky","ZakazkaUrl","StavZakazky","PouzityPostup","ObjednavatelDruh","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DatumVyhlasenia","DatumZazmluvnenia","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularFunkcnaSpecifikacia","OpisnyFormularTechnickaSpecifikaciaTextova","OpisnyFormularTechnickaSpecifikaciaCiselna","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","MaximalnaVyskaZdrojov","ZmluvnyVztah","FinancovanieEU","HodnotiaceKriterium","LehotaNaPredkladaniePonuk","PocetNotifikovanychDodavatelov","VstupnaCena","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","PocetSutaziacich","PocetPredlozenychPonuk","ZaciatokAukcie","TrvanieAukcie_Minut","PredlzovanieAukcie_Minut","ProtokolOPriebehuZadavaniaZakazky","Priloha_c1_ZmluvnyFormularZakazky","Priloha_c2_VyslednePoradieDodavatelov","Priloha_c3_Zmluva","Priloha_c4A_ZaznamOSystemovychUdalostiachZakazky","Priloha_c4B_ZaznamOSystemovychUdalostiachElektronickejAukcie","AnonymnyZmluvnyFormularZakazky","ObjednavkovyFormularZakazky","DodavatelICO","DodavatelStat","DodavatelKraj","DodavatelOkres","DodavatelObec","DodavatelPSC","DodavatelUlica","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka",
"Z201817841","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180766","zrušená","§ 110 ZVO","§ 7 ods. 1 písm. d)","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","20.4.2018 10:38:13","","LIEKY","Farmaceutické prípravky, DERMATOLOGIKÁ (Liečivá pre dermatológiu) ; PSYCHOSTIMULANCIÁ (Nootropnmé liečivá, Amaleptiká) - Psychoanaleptiká;  ANTIDEPRESÍVA - (Liečivá pre nervový systém; Psychoanaleptiká);  SYMPATOLYTIKÁ - (Ostatné terapeutické výrobky;  Ostatné liečivá pre nervový systém)","33600000-6 Farmaceutické výrobky; 33631000-2 Liečivá pre dermatológiu; 33661600-7 Psychoanaleptiká; 33661000-1 Liečivá pre nervový systém; 33693000-4 Ostatné terapeutické výrobky; 33661700-8 Ostatné liečivá pre nervový systém","Tovar; Služba","","DERMATOLOGIKÁ (Liečivá pre dermatológiu)","Technické vlastnosti: 1. Účinná látka, Hodnota / charakteristika: betametazón 0,05% crm 0,50mg/g; Technické vlastnosti: 1.1.Množstvo účinnej látky v m.j., Hodnota / charakteristika: 15mg/30g crm der; Technické vlastnosti: 1.2. cesta podania, Hodnota / charakteristika: dermálne","Technické vlastnosti: 1. Betametazón 0,05% crm 0,50mg/g, Jednotka: crm der (tuba), Minimum: , Maximum: , Presná hodnota: 82","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor položiek","1,0000","10445,120","Rámcová dohoda","False","Cena bez DPH","2.5.2018 10:00:00","276","10445,120","","","","","1","1","2.5.2018 10:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=5041bc5c-26d7-450f-807e-f8d2e52b5ccd","","","","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=81d2750c-f40d-46bf-973c-47cc94eaddb0","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b25354e1-1f8c-4856-b1f7-b09dac307be6","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=317c6445-d213-4e26-9703-6306cccd6033","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3b76d38c-76f3-4e87-b84e-901843067137","","","","","","","","","","","",
"Z201817841","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180766","zrušená","§ 110 ZVO","§ 7 ods. 1 písm. d)","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","20.4.2018 10:38:13","","LIEKY","","","","","2. DERMATOLOGIKÁ (Liečivá pre dermatológiu)","Technické vlastnosti: 2.1. Účinná látka, Hodnota / charakteristika: betametazón 0,05% ung 0,50mg/g; Technické vlastnosti: 2.2.Množstvo účinnej látky v m.j., Hodnota / charakteristika: 15mg/30g ung der; Technické vlastnosti: 2.3. Cesta podania, Hodnota / charakteristika: dermálne","Technické vlastnosti: 2.Betametazón 0,05% ung 0,50mg/g, Jednotka: ung der, Minimum: , Maximum: , Presná hodnota: 328","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor položiek","1,0000","10445,120","Rámcová dohoda","False","Cena bez DPH","2.5.2018 10:00:00","276","10445,120","","","","","1","1","2.5.2018 10:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=5041bc5c-26d7-450f-807e-f8d2e52b5ccd","","","","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=81d2750c-f40d-46bf-973c-47cc94eaddb0","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b25354e1-1f8c-4856-b1f7-b09dac307be6","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=317c6445-d213-4e26-9703-6306cccd6033","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3b76d38c-76f3-4e87-b84e-901843067137","","","","","","","","","","","",
"Z201817841","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180766","zrušená","§ 110 ZVO","§ 7 ods. 1 písm. d)","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","20.4.2018 10:38:13","","LIEKY","","","","","3.  DERMATOLOGIKÁ (Liečivá pre dermatológiu)","Technické vlastnosti: 3.1. Účinná látka, Hodnota / charakteristika: betametazón, gentamycín 0,5mg/1mg/g; Technické vlastnosti: 3.2.Množstvo účinnej látky v m.j., Hodnota / charakteristika: 15mg/30mg/30g ung der; Technické vlastnosti: 3.3. Cesta podania, Hodnota / charakteristika: dermálne","Technické vlastnosti: 3. Betametazón, gentamycín 0,5mg/1mg/g, Jednotka: ung der, Minimum: , Maximum: , Presná hodnota: 481","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor položiek","1,0000","10445,120","Rámcová dohoda","False","Cena bez DPH","2.5.2018 10:00:00","276","10445,120","","","","","1","1","2.5.2018 10:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=5041bc5c-26d7-450f-807e-f8d2e52b5ccd","","","","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=81d2750c-f40d-46bf-973c-47cc94eaddb0","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b25354e1-1f8c-4856-b1f7-b09dac307be6","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=317c6445-d213-4e26-9703-6306cccd6033","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3b76d38c-76f3-4e87-b84e-901843067137","","","","","","","","","","","",
"Z201817841","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180766","zrušená","§ 110 ZVO","§ 7 ods. 1 písm. d)","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","20.4.2018 10:38:13","","LIEKY","","","","","DERMATOLOGIKÁ (Liečivá pre dermatológiu)","Technické vlastnosti: 4.1.Účinná látka, Hodnota / charakteristika: betametazón, kyselina salicylová 0,5mg/30mg/g; Technické vlastnosti: 4.2.Množstvo účinnej látky v m.j., Hodnota / charakteristika: 15mg/90mg/30g ung der; Technické vlastnosti: 4.3. Cesta podania, Hodnota / charakteristika: dermálne","Technické vlastnosti: 4. Betametazón, kyselina salicylová 0,5mg/30mg/g, Jednotka: ung der, Minimum: , Maximum: , Presná hodnota: 3","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor položiek","1,0000","10445,120","Rámcová dohoda","False","Cena bez DPH","2.5.2018 10:00:00","276","10445,120","","","","","1","1","2.5.2018 10:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=5041bc5c-26d7-450f-807e-f8d2e52b5ccd","","","","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=81d2750c-f40d-46bf-973c-47cc94eaddb0","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b25354e1-1f8c-4856-b1f7-b09dac307be6","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=317c6445-d213-4e26-9703-6306cccd6033","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3b76d38c-76f3-4e87-b84e-901843067137","","","","","","","","","","","",
"Z201817841","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180766","zrušená","§ 110 ZVO","§ 7 ods. 1 písm. d)","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","20.4.2018 10:38:13","","LIEKY","","","","","DERMATOLOGIKÁ (Liečivá pre dermatológiu)","Technické vlastnosti: 5.1. Účinná látka, Hodnota / charakteristika: mometazon 1mg/g; Technické vlastnosti: 5.2. Množstvo účinnej látky v m.j., Hodnota / charakteristika: 30mg/30g crm der; Technické vlastnosti: 5.3. Cesta podania, Hodnota / charakteristika: dermálne","Technické vlastnosti: 5. Mmometazon 1mg/g, Jednotka: crm der, Minimum: , Maximum: , Presná hodnota: 64","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor položiek","1,0000","10445,120","Rámcová dohoda","False","Cena bez DPH","2.5.2018 10:00:00","276","10445,120","","","","","1","1","2.5.2018 10:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=5041bc5c-26d7-450f-807e-f8d2e52b5ccd","","","","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=81d2750c-f40d-46bf-973c-47cc94eaddb0","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b25354e1-1f8c-4856-b1f7-b09dac307be6","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=317c6445-d213-4e26-9703-6306cccd6033","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3b76d38c-76f3-4e87-b84e-901843067137","","","","","","","","","","","",
"Z201817841","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180766","zrušená","§ 110 ZVO","§ 7 ods. 1 písm. d)","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","20.4.2018 10:38:13","","LIEKY","","","","","DERMATOLOGIKÁ (Liečivá pre dermatológiu)","Technické vlastnosti: 6.1. Účinná látka, Hodnota / charakteristika: mometazon 1mg/g; Technické vlastnosti: 6.2.Množstvo účinnej látky v m.j., Hodnota / charakteristika: 30mg/30g ung der; Technické vlastnosti: 6.3. Cesta podania, Hodnota / charakteristika: dermálne","Technické vlastnosti: 6. Mometazon 1mg/g, Jednotka: ung der, Minimum: , Maximum: , Presná hodnota: 285","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor položiek","1,0000","10445,120","Rámcová dohoda","False","Cena bez DPH","2.5.2018 10:00:00","276","10445,120","","","","","1","1","2.5.2018 10:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=5041bc5c-26d7-450f-807e-f8d2e52b5ccd","","","","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=81d2750c-f40d-46bf-973c-47cc94eaddb0","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b25354e1-1f8c-4856-b1f7-b09dac307be6","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=317c6445-d213-4e26-9703-6306cccd6033","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3b76d38c-76f3-4e87-b84e-901843067137","","","","","","","","","","","",
"Z201817841","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180766","zrušená","§ 110 ZVO","§ 7 ods. 1 písm. d)","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","20.4.2018 10:38:13","","LIEKY","","","","","DERMATOLOGIKÁ (Liečivá pre dermatológiu)","Technické vlastnosti: 7.1. Účinná látka, Hodnota / charakteristika: kyselina fusidová,hydrokortizón acetát 20mg/10mg/g; Technické vlastnosti: 7.2. Množstvo účinnej látky v m.j., Hodnota / charakteristika: 300mg/150mg/15g crm der; Technické vlastnosti: 7.3. Cesta podania, Hodnota / charakteristika: dermálne","Technické vlastnosti: 7. Kyselina fusidová,hydrokortizón acetát 20mg/10mg/g, Jednotka: crm der, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor položiek","1,0000","10445,120","Rámcová dohoda","False","Cena bez DPH","2.5.2018 10:00:00","276","10445,120","","","","","1","1","2.5.2018 10:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=5041bc5c-26d7-450f-807e-f8d2e52b5ccd","","","","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=81d2750c-f40d-46bf-973c-47cc94eaddb0","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b25354e1-1f8c-4856-b1f7-b09dac307be6","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=317c6445-d213-4e26-9703-6306cccd6033","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3b76d38c-76f3-4e87-b84e-901843067137","","","","","","","","","","","",
"Z201817841","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180766","zrušená","§ 110 ZVO","§ 7 ods. 1 písm. d)","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","20.4.2018 10:38:13","","LIEKY","","","","","DERMATOLOGIKÁ (Liečivá pre dermatológiu)","Technické vlastnosti: 8.1. Účinná látka, Hodnota / charakteristika: sodná soľ kyseliny fusidovej 20mg/g; Technické vlastnosti: 8.2. Množstvo účinnej látky v m.j., Hodnota / charakteristika: 300mg/15g ung der; Technické vlastnosti: 8.3. Cesta podania, Hodnota / charakteristika: dermalne","Technické vlastnosti: 8. Sodná soľ kyseliny fusidovej 20mg/g, Jednotka: ung der, Minimum: , Maximum: , Presná hodnota: 3","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor položiek","1,0000","10445,120","Rámcová dohoda","False","Cena bez DPH","2.5.2018 10:00:00","276","10445,120","","","","","1","1","2.5.2018 10:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=5041bc5c-26d7-450f-807e-f8d2e52b5ccd","","","","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=81d2750c-f40d-46bf-973c-47cc94eaddb0","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b25354e1-1f8c-4856-b1f7-b09dac307be6","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=317c6445-d213-4e26-9703-6306cccd6033","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3b76d38c-76f3-4e87-b84e-901843067137","","","","","","","","","","","",
"Z201817841","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180766","zrušená","§ 110 ZVO","§ 7 ods. 1 písm. d)","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","20.4.2018 10:38:13","","LIEKY","","","","","DERMATOLOGIKÁ (Liečivá pre dermatológiu)","Technické vlastnosti: 9.1. Účinná látka, Hodnota / charakteristika: fluocinolón acetonid 0,25mg/g; Technické vlastnosti: 9.2. Množstvo účinnej látky v m.j., Hodnota / charakteristika: 6,25mg/25g gel der; Technické vlastnosti: 9.3. Cesta podania, Hodnota / charakteristika: dermálne","Technické vlastnosti: 9. Fluocinolón acetonid 0,25mg/g, Jednotka: gel der, Minimum: , Maximum: , Presná hodnota: 16","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor položiek","1,0000","10445,120","Rámcová dohoda","False","Cena bez DPH","2.5.2018 10:00:00","276","10445,120","","","","","1","1","2.5.2018 10:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=5041bc5c-26d7-450f-807e-f8d2e52b5ccd","","","","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=81d2750c-f40d-46bf-973c-47cc94eaddb0","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b25354e1-1f8c-4856-b1f7-b09dac307be6","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=317c6445-d213-4e26-9703-6306cccd6033","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3b76d38c-76f3-4e87-b84e-901843067137","","","","","","","","","","","",
"Z201817841","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180766","zrušená","§ 110 ZVO","§ 7 ods. 1 písm. d)","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","20.4.2018 10:38:13","","LIEKY","","","","","DERMATOLOGIKÁ (Liečivá pre dermatológiu)","Technické vlastnosti: 10.1. Účinná látka, Hodnota / charakteristika: heparinoid 2mg (100IU)/g; Technické vlastnosti: 10.2. Množstvo účinnej látky v m.j., Hodnota / charakteristika: 60mg/30g crm der; Technické vlastnosti: 10.3. Cesta podania, Hodnota / charakteristika: dermálne","Technické vlastnosti: 10. Heparinoid 2mg (100IU)/g, Jednotka: crm der, Minimum: , Maximum: , Presná hodnota: 8","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor položiek","1,0000","10445,120","Rámcová dohoda","False","Cena bez DPH","2.5.2018 10:00:00","276","10445,120","","","","","1","1","2.5.2018 10:15:00","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=5041bc5c-26d7-450f-807e-f8d2e52b5ccd","","","","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=81d2750c-f40d-46bf-973c-47cc94eaddb0","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b25354e1-1f8c-4856-b1f7-b09dac307be6","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=317c6445-d213-4e26-9703-6306cccd6033","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=3b76d38c-76f3-4e87-b84e-901843067137","","","","","","","","","","","",
