"IdentifikatorZakazky","ZakazkaUrl","StavZakazky","PouzityPostup","ObjednavatelDruh","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DatumVyhlasenia","DatumZazmluvnenia","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularFunkcnaSpecifikacia","OpisnyFormularTechnickaSpecifikaciaTextova","OpisnyFormularTechnickaSpecifikaciaCiselna","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","MaximalnaVyskaZdrojov","ZmluvnyVztah","FinancovanieEU","HodnotiaceKriterium","LehotaNaPredkladaniePonuk","PocetNotifikovanychDodavatelov","VstupnaCena","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","PocetSutaziacich","PocetPredlozenychPonuk","ZaciatokAukcie","TrvanieAukcie_Minut","PredlzovanieAukcie_Minut","ProtokolOPriebehuZadavaniaZakazky","Priloha_c1_ZmluvnyFormularZakazky","Priloha_c2_VyslednePoradieDodavatelov","Priloha_c3_Zmluva","Priloha_c4A_ZaznamOSystemovychUdalostiachZakazky","Priloha_c4B_ZaznamOSystemovychUdalostiachElektronickejAukcie","AnonymnyZmluvnyFormularZakazky","ObjednavkovyFormularZakazky","DodavatelICO","DodavatelStat","DodavatelKraj","DodavatelOkres","DodavatelObec","DodavatelPSC","DodavatelUlica","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","IdStavVCrz",
"Z20252208","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/363087","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","5/21/2025 10:41:17 AM","6/5/2025 9:38:00 AM","Elektroinštalačný materiál ","Prúdový chránič, istič, zásuvková rozvodnica, vidlica, lišta","31681000-3 Elektropríslušenstvo; 31681410-0 Elektromateriály; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","Modulárny stýkač R 25-40 230V AC","Technické vlastnosti: Menovitý prúd, Hodnota / charakteristika: 25A; Technické vlastnosti: Menovité napätie, Hodnota / charakteristika: 230V  AC; Technické vlastnosti: Počet modulov, Hodnota / charakteristika: 2; Technické vlastnosti: Kontakt, Hodnota / charakteristika: 4xNO; Technické vlastnosti: Počet pólov, Hodnota / charakteristika: 4","Technické vlastnosti: množstvo, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 6","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","1000.000","Kúpna zmluva","False","Cena s DPH","6/5/2025 9:00:00 AM","505","999.990","463.410","23.000","570.000","429.990","4","10","6/5/2025 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=438515dc-e369-486b-a2a2-03e704170eb7","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=ed7c250f-db65-4089-9172-d1f8b99cd69c","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b68a7ab0-dfaf-44a3-a239-76c21bcd7e75","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=420886b0-815d-4c57-8e5c-ace6e271a511","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=60b92c29-0cea-4e71-8472-2e105a4b8cb4","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=533c4aa1-128c-48c1-9906-420b6c4f9702","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a8b44d30-58d0-4a23-9f94-15e408572031","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=bdee3af0-4577-4ecb-b2e6-151da21792b8","46352597","Slovenská republika","","","Kriváň","96204","Kriváň 144","","","","","",
"Z20252208","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/363087","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","5/21/2025 10:41:17 AM","6/5/2025 9:38:00 AM","Elektroinštalačný materiál ","","","Tovar","","","Technické vlastnosti: Skratová odolnosť, Hodnota / charakteristika: 6 kA; Technické vlastnosti: Stupeň krytia (IP), Hodnota / charakteristika: IP20; Technické vlastnosti: Menovitý prúd, Hodnota / charakteristika: 40A; Technické vlastnosti: Počet pólov, Hodnota / charakteristika: 4; Technické vlastnosti: Širka v moduloch, Hodnota / charakteristika: 4; Technické vlastnosti: Menovitý reziduálny prúd, Hodnota / charakteristika: 30 mA","Technické vlastnosti: množstvo, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 2","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","1000.000","Kúpna zmluva","False","Cena s DPH","6/5/2025 9:00:00 AM","505","999.990","463.410","23.000","570.000","429.990","4","10","6/5/2025 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=438515dc-e369-486b-a2a2-03e704170eb7","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=ed7c250f-db65-4089-9172-d1f8b99cd69c","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b68a7ab0-dfaf-44a3-a239-76c21bcd7e75","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=420886b0-815d-4c57-8e5c-ace6e271a511","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=60b92c29-0cea-4e71-8472-2e105a4b8cb4","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=533c4aa1-128c-48c1-9906-420b6c4f9702","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a8b44d30-58d0-4a23-9f94-15e408572031","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=bdee3af0-4577-4ecb-b2e6-151da21792b8","46352597","Slovenská republika","","","Kriváň","96204","Kriváň 144","","","","","",
"Z20252208","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/363087","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","5/21/2025 10:41:17 AM","6/5/2025 9:38:00 AM","Elektroinštalačný materiál ","","","Tovar","","","Technické vlastnosti: Menovitý prúd, Hodnota / charakteristika: 16 A; Technické vlastnosti: Charakteristika, Hodnota / charakteristika: B; Technické vlastnosti: Počet pólov, Hodnota / charakteristika: 1; Technické vlastnosti: Skratová odolnosť, Hodnota / charakteristika: 6 kA","Technické vlastnosti: množstvo, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 20","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","1000.000","Kúpna zmluva","False","Cena s DPH","6/5/2025 9:00:00 AM","505","999.990","463.410","23.000","570.000","429.990","4","10","6/5/2025 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=438515dc-e369-486b-a2a2-03e704170eb7","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=ed7c250f-db65-4089-9172-d1f8b99cd69c","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b68a7ab0-dfaf-44a3-a239-76c21bcd7e75","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=420886b0-815d-4c57-8e5c-ace6e271a511","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=60b92c29-0cea-4e71-8472-2e105a4b8cb4","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=533c4aa1-128c-48c1-9906-420b6c4f9702","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a8b44d30-58d0-4a23-9f94-15e408572031","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=bdee3af0-4577-4ecb-b2e6-151da21792b8","46352597","Slovenská republika","","","Kriváň","96204","Kriváň 144","","","","","",
"Z20252208","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/363087","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","5/21/2025 10:41:17 AM","6/5/2025 9:38:00 AM","Elektroinštalačný materiál ","","","Tovar","","Rozvodnica je vhodná pre montáž na povrch, alebo ako prenosné zariadenie.","Technické vlastnosti: Prevedenie, Hodnota / charakteristika: 5p , 2x16A/400V , 2x 230V; Technické vlastnosti: Menovité napätie, Hodnota / charakteristika: 230/400 V; Technické vlastnosti: Stupeň krytia (IP), Hodnota / charakteristika: IP 54; Technické vlastnosti: Mechanická odolnosť, Hodnota / charakteristika: IK08; Technické vlastnosti: Materiál odolný UV, Hodnota / charakteristika: áno; Technické vlastnosti: Počet modulov DIN, Hodnota / charakteristika: 11; Technické vlastnosti: Celkový počet zásuviek, Hodnota / charakteristika: 4; Technické vlastnosti: Trojfázové zásuvky, Hodnota / charakteristika: 5 pólové","Technické vlastnosti: množstvo, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","1000.000","Kúpna zmluva","False","Cena s DPH","6/5/2025 9:00:00 AM","505","999.990","463.410","23.000","570.000","429.990","4","10","6/5/2025 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=438515dc-e369-486b-a2a2-03e704170eb7","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=ed7c250f-db65-4089-9172-d1f8b99cd69c","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b68a7ab0-dfaf-44a3-a239-76c21bcd7e75","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=420886b0-815d-4c57-8e5c-ace6e271a511","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=60b92c29-0cea-4e71-8472-2e105a4b8cb4","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=533c4aa1-128c-48c1-9906-420b6c4f9702","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a8b44d30-58d0-4a23-9f94-15e408572031","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=bdee3af0-4577-4ecb-b2e6-151da21792b8","46352597","Slovenská republika","","","Kriváň","96204","Kriváň 144","","","","","",
"Z20252208","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/363087","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","5/21/2025 10:41:17 AM","6/5/2025 9:38:00 AM","Elektroinštalačný materiál ","","","Tovar","","Pre inštaláciu v priemyselných objektoch","Technické vlastnosti: Montáž, Hodnota / charakteristika: na omietku; Technické vlastnosti: Počet modulov, Hodnota / charakteristika: 24; Technické vlastnosti: Stupeň krytia (IP), Hodnota / charakteristika: IP40; Technické vlastnosti: Počet radov, Hodnota / charakteristika: 2; Technické vlastnosti: Menovitý prúd, Hodnota / charakteristika: 63 A; Technické vlastnosti: Materiál, Hodnota / charakteristika: plast","Technické vlastnosti: množstvo, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 1","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","1000.000","Kúpna zmluva","False","Cena s DPH","6/5/2025 9:00:00 AM","505","999.990","463.410","23.000","570.000","429.990","4","10","6/5/2025 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=438515dc-e369-486b-a2a2-03e704170eb7","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=ed7c250f-db65-4089-9172-d1f8b99cd69c","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b68a7ab0-dfaf-44a3-a239-76c21bcd7e75","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=420886b0-815d-4c57-8e5c-ace6e271a511","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=60b92c29-0cea-4e71-8472-2e105a4b8cb4","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=533c4aa1-128c-48c1-9906-420b6c4f9702","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a8b44d30-58d0-4a23-9f94-15e408572031","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=bdee3af0-4577-4ecb-b2e6-151da21792b8","46352597","Slovenská republika","","","Kriváň","96204","Kriváň 144","","","","","",
"Z20252208","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/363087","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","5/21/2025 10:41:17 AM","6/5/2025 9:38:00 AM","Elektroinštalačný materiál ","","","Tovar","","Pre inštaláciu v priemyselných objektoch","Technické vlastnosti: Stupeň krytia (IP), Hodnota / charakteristika: IP44; Technické vlastnosti: Menovité napätie, Hodnota / charakteristika: 400 V; Technické vlastnosti: Menovitý prúd, Hodnota / charakteristika: 16 A; Technické vlastnosti: Počet pólov, Hodnota / charakteristika: 5","Technické vlastnosti: množstvo, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 4","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","1000.000","Kúpna zmluva","False","Cena s DPH","6/5/2025 9:00:00 AM","505","999.990","463.410","23.000","570.000","429.990","4","10","6/5/2025 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=438515dc-e369-486b-a2a2-03e704170eb7","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=ed7c250f-db65-4089-9172-d1f8b99cd69c","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b68a7ab0-dfaf-44a3-a239-76c21bcd7e75","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=420886b0-815d-4c57-8e5c-ace6e271a511","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=60b92c29-0cea-4e71-8472-2e105a4b8cb4","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=533c4aa1-128c-48c1-9906-420b6c4f9702","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a8b44d30-58d0-4a23-9f94-15e408572031","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=bdee3af0-4577-4ecb-b2e6-151da21792b8","46352597","Slovenská republika","","","Kriváň","96204","Kriváň 144","","","","","",
"Z20252208","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/363087","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","5/21/2025 10:41:17 AM","6/5/2025 9:38:00 AM","Elektroinštalačný materiál ","","","Tovar","","Pre inštaláciu v priemyselných objektoch","Technické vlastnosti: Pracovné napätie, Hodnota / charakteristika: 250V; Technické vlastnosti: Stupeň krytia (IP), Hodnota / charakteristika: IP 54; Technické vlastnosti: Max. prúdové zaťaženie, Hodnota / charakteristika: 10 A","Technické vlastnosti: množstvo, Jednotka: ks, Minimum: , Maximum: , Presná hodnota: 10","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","1000.000","Kúpna zmluva","False","Cena s DPH","6/5/2025 9:00:00 AM","505","999.990","463.410","23.000","570.000","429.990","4","10","6/5/2025 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=438515dc-e369-486b-a2a2-03e704170eb7","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=ed7c250f-db65-4089-9172-d1f8b99cd69c","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b68a7ab0-dfaf-44a3-a239-76c21bcd7e75","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=420886b0-815d-4c57-8e5c-ace6e271a511","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=60b92c29-0cea-4e71-8472-2e105a4b8cb4","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=533c4aa1-128c-48c1-9906-420b6c4f9702","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a8b44d30-58d0-4a23-9f94-15e408572031","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=bdee3af0-4577-4ecb-b2e6-151da21792b8","46352597","Slovenská republika","","","Kriváň","96204","Kriváň 144","","","","","",
"Z20252208","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/363087","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","5/21/2025 10:41:17 AM","6/5/2025 9:38:00 AM","Elektroinštalačný materiál ","","","Tovar","","Samozhášavé, použitie vo všetkých stupňoch horľavosti A - C3","Technické vlastnosti: Menovitý priemer, Hodnota / charakteristika: 16 mm; Technické vlastnosti: Materiál, Hodnota / charakteristika: PVC","Technické vlastnosti: množstvo, Jednotka: m, Minimum: , Maximum: , Presná hodnota: 120","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","1000.000","Kúpna zmluva","False","Cena s DPH","6/5/2025 9:00:00 AM","505","999.990","463.410","23.000","570.000","429.990","4","10","6/5/2025 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=438515dc-e369-486b-a2a2-03e704170eb7","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=ed7c250f-db65-4089-9172-d1f8b99cd69c","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b68a7ab0-dfaf-44a3-a239-76c21bcd7e75","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=420886b0-815d-4c57-8e5c-ace6e271a511","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=60b92c29-0cea-4e71-8472-2e105a4b8cb4","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=533c4aa1-128c-48c1-9906-420b6c4f9702","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a8b44d30-58d0-4a23-9f94-15e408572031","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=bdee3af0-4577-4ecb-b2e6-151da21792b8","46352597","Slovenská republika","","","Kriváň","96204","Kriváň 144","","","","","",
"Z20252208","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/363087","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","5/21/2025 10:41:17 AM","6/5/2025 9:38:00 AM","Elektroinštalačný materiál ","","","Tovar","","Samozhášavé, použitie vo všetkých stupňoch horľavosti A - C3","Technické vlastnosti: Typy s „F“ sú dodávané s vodiacim drôtom, Hodnota / charakteristika: áno; Technické vlastnosti: Materiál, Hodnota / charakteristika: PVC","Technické vlastnosti: množstvo, Jednotka: m, Minimum: , Maximum: , Presná hodnota: 50","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","1000.000","Kúpna zmluva","False","Cena s DPH","6/5/2025 9:00:00 AM","505","999.990","463.410","23.000","570.000","429.990","4","10","6/5/2025 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=438515dc-e369-486b-a2a2-03e704170eb7","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=ed7c250f-db65-4089-9172-d1f8b99cd69c","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b68a7ab0-dfaf-44a3-a239-76c21bcd7e75","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=420886b0-815d-4c57-8e5c-ace6e271a511","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=60b92c29-0cea-4e71-8472-2e105a4b8cb4","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=533c4aa1-128c-48c1-9906-420b6c4f9702","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a8b44d30-58d0-4a23-9f94-15e408572031","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=bdee3af0-4577-4ecb-b2e6-151da21792b8","46352597","Slovenská republika","","","Kriváň","96204","Kriváň 144","","","","","",
"Z20252208","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/363087","zazmluvnená","§ 110 ZVO","§ 7 ods. 1 písm. a)","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","5/21/2025 10:41:17 AM","6/5/2025 9:38:00 AM","Elektroinštalačný materiál ","","","Tovar","","Určená pre montáž na stenu, alebo na strop.","Technické vlastnosti: Materiál, Hodnota / charakteristika: PVC; Technické vlastnosti: Dĺžka lišty 2 m, Hodnota / charakteristika: áno; Technické vlastnosti: Stupeň krytia (IP), Hodnota / charakteristika: IP40","Technické vlastnosti: množstvo, Jednotka: m, Minimum: , Maximum: , Presná hodnota: 100","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","1000.000","Kúpna zmluva","False","Cena s DPH","6/5/2025 9:00:00 AM","505","999.990","463.410","23.000","570.000","429.990","4","10","6/5/2025 9:15:00 AM","20","2","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=438515dc-e369-486b-a2a2-03e704170eb7","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=ed7c250f-db65-4089-9172-d1f8b99cd69c","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=b68a7ab0-dfaf-44a3-a239-76c21bcd7e75","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=420886b0-815d-4c57-8e5c-ace6e271a511","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=60b92c29-0cea-4e71-8472-2e105a4b8cb4","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=533c4aa1-128c-48c1-9906-420b6c4f9702","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=a8b44d30-58d0-4a23-9f94-15e408572031","https://portal.eks.sk/Zakazky/StiahniZmluvnuPrilohuZakazky?correlationId=bdee3af0-4577-4ecb-b2e6-151da21792b8","46352597","Slovenská republika","","","Kriváň","96204","Kriváň 144","","","","","",
