"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201835186","Z201835186_Z","Žilinská univerzita v Žiline","00397563","Slovenská republika","Žilina","01026","Univerzitná 8215/1","KVANT spol. s r.o.","31398294","Slovenská republika","Bratislava","84248","Fakulta matematiky, fyziky a informatiky UK, Mlynská Dolina ","Kúpna zmluva","Komplet vodíkový RC model s príslušenstvom","39162100-6 Vybavenie na vyučovanie;39162200-7 Učebné pomôcky a zariadenia;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","ŽU v Žiline, Univerzitná 8215/1, Strojnícka fakulta, Katedra dopravnej a manipulačnej techniky","27.8.2018 8:00:00","17.9.2018 7:41:00","","komplet (v zmysle techn. špecifikácie)","1,0000","3833,330","20,000","4600,000","0,000","23.8.2018 9:57:59",
"Z201832808","Z201832808_Z","Obec Košúty","00306045","Slovenská republika","Košúty","92509","Košúty 20","TTP consulting s.r.o.","47176253","Slovenská republika","Považská Bystrica","01701","Stred 55/41","Kúpna zmluva","Obstaranie záhradných kompostérov ","39234000-1 Škatule na kompost;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Galanta","Košúty","20","17.9.2018 8:00:00","28.9.2018 12:00:00","","kus","630,0000","","","84500,000","1416,000","8.8.2018 10:38:01",
"Z201834867","Z201834867_Z","Združenie obcí mestskej oblasti Trnava","50428438","Slovenská republika","Trnava","91700","Hlavná 1","TTP consulting s.r.o.","47176253","Slovenská republika","Považská Bystrica","01701","Stred 55/41","Kúpna zmluva","Obstaranie kompostérov pre obyvateľov menších obcí  ","39234000-1 Škatule na kompost;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Trnava","Trnava","Združenie obcí mestskej oblasti Trnava, Hlavná 1, 917 00 Trnava","10.9.2018 8:00:00","31.10.2018 16:00:00","","ks","1000,0000","110416,670","20,000","132500,000","11872,000","23.8.2018 10:40:00",
"Z201835198","Z201835198_Z","Mesto Prešov","00327646","Slovenská republika","Prešov","08001","Hlavná 73","ICOS, a.s. Košice ","00696951","Slovenská republika","Košice","04001","Južná trieda 46","Kúpna zmluva","Časomiera pre cyklistický Velodróm","31711300-6 Elektronické časomerné systémy;51211000-4 Inštalácia časomerných zariadení;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Prešov","Prešov","Cyklistický Velodróm, Športová 1, Prešov","27.8.2018 7:59:00","15.11.2018 17:00:00","","celok","1,0000","79164,170","20,000","94997,000","8635,000","23.8.2018 11:06:00",
"Z201832154","Z201832154_Z","Mesto Hnúšťa","00318744","Slovenská republika","Hnúšťa","98101","Francisciho 74","KRAJSPOL SK, s.r.o.","36712736","Slovenská republika","Žilina","01001","Závodská cesta 14","Kúpna zmluva","Mobilná nápravová váha minimálne od 20t","38311000-8 Elektronické váhy a ich príslušenstvo;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Rimavská Sobota","Hnúšťa","Francisciho 74","1.1.2019 9:40:00","31.12.2019 9:40:00","","ks","1,0000","2700,000","20,000","3240,000","0,000","6.8.2018 10:18:00",
"Z201833398","Z201833398_Z","Mesto Hriňová","00319961","Slovenská republika","Hriňová","96205","Partizánska 1612","KRAJSPOL SK, s.r.o.","36712736","Slovenská republika","Žilina","01001","Závodská cesta 14","Kúpna zmluva","Nákup technického vybavenia pre zberný dvor, Automobilová mostová váha","42923000-2 Strojové váhy a váhy","Tovar;Služba","","Slovenská republika","Banskobystrický","Detva","Hriňová","","","","31.10.2019 12:00:00","ako celok","1,0000","13454,170","20,000","16145,000","535,000","20.8.2018 11:39:59",
"Z201831733","Z201831733_Z","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","00164381","Slovenská republika","Bratislava","81330","Stromová 1","PAPERA s.r.o.","46082182","Slovenská republika","Banská Bystrica","97405","Čerešňová 17","Rámcová dohoda","Nákup kancelárskych tonerových kaziet, atramentových náplní a softvéru na správu tlačového prostredia","30125100-2 Tonerové náplne;30125110-5 Toner do laserových tlačiarní/faxových prístrojov;30125120-8 Toner do fotokopírovacích strojov;30192113-6 Atramentové náplne;48218000-9 Softvérový balík na riadenie licencií;60000000-8 Dopravné služby (bez prepravy odpadu);72000000-5 Služby informačných technológií: konzultácie, vývoj softvéru, internet a podpora;80511000-9 Školenie pracovníkov;90510000-5 Likvidácia a spracovanie odpadu","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Stromová 1","","","","súbor","1,0000","85912,400","20,000","103094,880","0,010","3.8.2018 10:08:00",
"Z201831692","Z201831692_Z","Univerzita Komenského v Bratislave","00397865","Slovenská republika","Bratislava","81499","Šafárikovo nám. 6","Ecoli s.r.o.","35815906","Slovenská republika","Bratislava 47","84103","Studenohorská 12","Kúpna zmluva","Oligonukleotidy ","24327000-2 Rôzne organické chemikálie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava","Bratislava","Lekárska fakulta UK v Bratislave, Imunologický ústav, Špitálska 24, 811 08 Bratislava","6.8.2018 10:00:00","10.8.2018 14:00:00","","Kompletný predmet zákazky","1,0000","291,000","","","0,000","1.8.2018 9:38:00",
"Z201832525","Z201832525_Z","Slovenská zdravotnícka univerzita v Bratislave","00165361","Slovenská republika","Bratislava ","83303","Limbová 12","Ecoli s.r.o.","35815906","Slovenská republika","Bratislava 47","84103","Studenohorská 12","Kúpna zmluva","Diagnostická súprava na prečistenie sekvenačných reakcií","33141625-7 Diagnostické súpravy;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava","Bratislava","Limbová 14","13.8.2018 10:00:00","28.8.2018 10:00:00","","sada","1,0000","298,180","10,000","328,000","0,000","6.8.2018 11:38:00",
"Z201832214","Z201832214_Z","Mesto Medzilaborce","00323233","Slovenská republika","Medzilaborce","06801","Mierová 326/4","KRIDLA s.r.o","36466778","Slovenská republika","Humenne","06601","Mierova 94","Rámcová dohoda","kancelársky materiál","30192000-1 Kancelárske potreby;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Prešovský","Medzilaborce","Medzilaborce","Mierová 326/4","","","","ks","2810,0000","1100,000","20,000","1320,000","180,000","3.8.2018 14:08:00",
