"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z20224675","Z20224675_Z","Ústav na výkon väzby a Ústav na výkon trestu odňatia slobody","00738255","Slovenská republika","Bratislava","81229","Chorvátska 5","MAKRO spol. s r.o. ","31326447","Slovenská republika","Bratislava","82017","Stará Vajnorská 17, P.O. BOX č. 1","Kúpna zmluva","Kuchynské potreby","39221000-7 Kuchynské vybavenie;39221100-8 Kuchynské potreby;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Chorvátska 5","28.6.2022 8:00:00","30.6.2022 14:00:00","","ks","201,0000","1083,330","20,000","1300,000","260,000","3.6.2022 9:38:00","",
"Z20224678","Z20224678_Z","Ústav na výkon väzby a Ústav na výkon trestu odňatia slobody","00738255","Slovenská republika","Bratislava","81229","Chorvátska 5","PhDr. Gabriela Spišáková - Majster Papier","33768897","Slovenská republika","Bratislava 5","85101","Wolkrova 5, P.O.BOX 212","Rámcová dohoda","Hubky, utierky na riad, alobal, mikrot. sáčky, pergamenový baliaci papier, servítky biele, fólia potravinárska","33711730-3 Špáradlá;33764000-3 Papierové servítky;37823300-6 Pergamenový papier;39224320-7 Špongie;39513200-3 Obrúsky;39514200-0 Kychynské utierky;39525600-4 Utierky na riad;44174000-0 Fólia;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Chorvátska 5","","","","bal/ks/kg","2170,0000","1324,980","20,000","1589,980","0,020","10.6.2022 10:38:00","",
"Z20224740","Z20224740_Z","Akadémia ozbrojených síl generála Milana Rastislava Štefánika","37910337","Slovenská republika","Liptovský Mikuláš","03101","Demänová 393","PHOENIX Zdravotnícke zásobovanie, a.s.","34142941","Slovenská republika","Bratislava","83104","Pribylinská 2/A","Kúpna zmluva","Očkovacie látky - FSME-IMMUN","33651600-4 Očkovacie látky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Liptovský Mikuláš","Liptovský Mikuláš","Demänová 393","8.6.2022 0:00:00","30.9.2022 0:00:00","","zákazka","1,0000","18690,910","10,000","20560,000","19,960","2.6.2022 12:38:00","",
"Z20224742","Z20224742_Z","Akadémia ozbrojených síl generála Milana Rastislava Štefánika","37910337","Slovenská republika","Liptovský Mikuláš","03101","Demänová 393","Diagnostic Medicína s.r.o.","50408585","Slovenská republika","Banská Bystrica","97401","Viestova 7B","Kúpna zmluva","Očkovacie látky - Havrix 1440","33651600-4 Očkovacie látky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Liptovský Mikuláš","Liptovský Mikuláš","Demänová 393","8.6.2022 0:00:00","30.9.2022 0:00:00","","zákazka","1,0000","8350,000","","8350,000","211,960","2.6.2022 13:08:00","",
"Z20224743","Z20224743_Z","Akadémia ozbrojených síl generála Milana Rastislava Štefánika","37910337","Slovenská republika","Liptovský Mikuláš","03101","Demänová 393","Diagnostic Medicína s.r.o.","50408585","Slovenská republika","Banská Bystrica","97401","Viestova 7B","Kúpna zmluva","Očkovacie látky - NIMENRIX","33651600-4 Očkovacie látky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Liptovský Mikuláš","Liptovský Mikuláš","Demänová 393","8.6.2022 0:00:00","30.9.2022 0:00:00","","zákazka","1,0000","9850,000","","9850,000","7,980","2.6.2022 13:08:00","",
"Z20224755","Z20224755_Z","Akadémia ozbrojených síl generála Milana Rastislava Štefánika","37910337","Slovenská republika","Liptovský Mikuláš","03101","Demänová 393","ITSK, s.r.o.","36556050","Slovenská republika","Nitra","94905","Zelená 29","Kúpna zmluva","Spotrebiče pre domácnosť","39700000-9 Spotrebiče pre domácnosť","Tovar","","Slovenská republika","Žilinský","Liptovský Mikuláš","Liptovský Mikuláš","Demänová 393","10.6.2022 0:00:00","30.6.2022 0:00:00","","zákazka","1,0000","1873,330","20,000","2248,000","252,000","2.6.2022 15:02:00","",
"Z20224894","Z20224894_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","CARPEX s. r. o.","51435799","Slovenská republika","Levice","93401","Nám. E. M. Šoltésovej 2221/8","Kúpna zmluva","Podlahové krytiny - linoleum, záťažové podlahy","44112220-6 Nepravé podlahy;44112230-9 Linoleum;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Nitriansky","Levice","Levice","Šafárikova 9","11.6.2022 12:33:00","2.7.2022 9:34:00","","ks","1,0000","5959,990","20,000","7151,990","0,010","10.6.2022 10:12:00","",
"Z20224966","Z20224966_Z","Dopravný podnik mesta Košice, akciová spoločnosť","31701914","Slovenská republika","Košice","04329","Bardejovská 6","LumaCorp, s.r.o.","51046725","Slovenská republika","Veľký Krtíš","99001","A. H. Škultétyho 351/56","Zmluva o poskytovaní služieb","Upratovanie košov na označníkoch zastávok električkovej dopravy","60000000-8 Dopravné služby (bez prepravy odpadu);90600000-3 Čistiace a asanačné služby v mestských alebo vidieckych oblastiach a súvisiace služby;90910000-9 Upratovacie služby","Služba","","Slovenská republika","Košický","Košice","Košice","Bardejovská 6","6.6.2022 0:00:00","31.12.2022 23:59:00","","Komplet","1,0000","9259,000","20,000","11110,800","3588,940","1.6.2022 11:54:01","",
"Z20223984","Z20223984_Z","Detská fakultná nemocnica s poliklinikou Banská Bystrica","37957937","Slovenská republika","Banská Bystrica ","97409","Námestie L.Svobodu 4","RADANAL s.r.o.","49813994","Česká republika","Pardubice","53003","Okružní 613","Rámcová dohoda","Diagnostické súpravy/kity pre stanovenie aminokyselín a acylkarnitínov zo suchej kvapky krvi","33124130-5 Diagnostický spotrebný materiál;33141625-7 Diagnostické súpravy;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","Námestie L. Svobodu, 4","","","","podľa rozpisu položiek","1,0000","109350,000","10,000","120285,000","0,000","3.6.2022 10:04:00","",
"Z20224908","Z20224908_Z","Žilinská univerzita v Žiline","00397563","Slovenská republika","Žilina","01026","Univerzitná 8215/1","ITSK, s.r.o.","36556050","Slovenská republika","Nitra","94905","Zelená 29","Kúpna zmluva","Zariadenia súvisiace s PC        ","30237000-9 Časti a príslušenstvo počítačov a spotrebný materiál k nim;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Univerzitná 8215/1, 010 26 Žilina, Fakulta riadenia a informatiky, Katedra manažérskych teórií","7.6.2022 8:00:00","24.6.2022 14:00:00","","ks","54,0000","1399,000","20,000","1678,800","101,000","3.6.2022 11:56:01","",
