"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z202211899","Z202211899_Z","Technické služby mesta Galanta","00045721","Slovenská republika","Galanta","92401","Kpt. Nálepku 1494/39","Up Déjeuner, s. r. o.","53528654","Slovenská republika","Bratislava","82101","Tomášikova 16529/23/D","Zmluva o poskytovaní služieb","Stravovacie karty","30199770-8 Stravné poukážky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Galanta","Galanta","Kpt. Nálepku 1494/39","1.12.2022 0:00:00","30.11.2025 0:00:00","","ks","72,0000","255142,370","","255142,370","127,610","4.11.2022 10:38:00","",
"Z202211926","Z202211926_Z","Generálne riaditeľstvo Zboru väzenskej a justičnej stráže","00212008","Slovenská republika","Bratislava","82108","Šagátova 1","AGEM Computers, spol. s r. o.","35692715","Slovenská republika","Bratislava","85101","Panónska 42","Kúpna zmluva","Spotrebný materiál k výpočtovej technike 3","30237300-2 Spotrebný materiál k počítačom","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Ružinov","Šagátova 1","7.11.2022 7:00:00","30.11.2022 13:00:00","","celý rozsah","1,0000","2258,830","20,000","2710,600","337,400","3.11.2022 12:48:00","",
"Z202211938","Z202211938_Z","Žilinská univerzita v Žiline","00397563","Slovenská republika","Žilina","01026","Univerzitná 8215/1","HENRYSO, s.r.o.","50687115","Slovenská republika","Nitra","94901","Fraňa Mojtu 22","Kúpna zmluva","Počítačové vybavenie a príslušenstvo","30213000-5 Osobné počítače;38652120-7 Videoprojektory;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Fakulta bezpečnostného Inžinierstva, Ul. 1. mája 32, 010 26  Žilina, miestnosť MA 302","4.11.2022 10:00:00","25.11.2022 14:00:00","","celok","1,0000","894,000","20,000","1072,800","66,000","2.11.2022 9:40:00","",
"Z202212473","Z202212473_Z","Mestská časť Bratislava-Petržalka","00603201","Slovenská republika","Bratislava","85212","Kutlíkova 17","GIEGO s.r.o.","51055724","Slovenská republika","Tvrdošín","02744","Vojtaššákova 846","Kúpna zmluva","Vybavenie telocvične a školského dvora telocvičným náradím a náčiním","37400000-2 Športový tovar a výbava;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava V","Bratislava - mestská časť Petržalka","Kutlíkova 17","7.11.2022 8:00:00","25.11.2022 14:00:00","","bal","36,0000","1192,000","20,000","1430,400","0,000","3.11.2022 9:38:00","",
"Z202211873","Z202211873_Z","Univerzita Komenského v Bratislave","00397865","Slovenská republika","Bratislava","81499","Šafárikovo nám. 6","WINTEC Slovakia s.r.o.","48269191","Slovenská republika","Banská Štiavnica","96901","Jána Hollého 381/7","Kúpna zmluva","Chladnička s mrazničkou (navrchu)","39711110-3 Chladničky s mrazničkou;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava","Bratislava","Univerzita Komenského v Bratislave, Lekárska fakulta, Špitálska 24, 813 72 Bratislava","10.11.2022 8:00:00","18.11.2022 14:00:00","","kompletný predmet zákazky","1,0000","185,000","20,000","222,000","0,000","4.11.2022 11:38:00","",
"Z202212206","Z202212206_Z","Ľubovnianska nemocnica, n.o.","37886851","Slovenská republika","Stará Ľubovňa","06401","Obrancov mieru 3","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika","Bojnice","97201","Opatovská cesta 4","Rámcová dohoda","Doplnková výživa - BEBA, NUTRILON, FRESUBIN","15884000-8 Dojčenská výživa;33690000-3 Rôzne liečivá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Stará Ľubovňa","Stará Ľubovňa","Obrancov 3","","","","zákazka","1,0000","9579,580","20,000","11495,500","0,090","2.11.2022 10:38:00","",
"Z202212354","Z202212354_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","Smart Home Invest, s.r.o.","50676229","Slovenská republika","Dunajská Streda","92901","Ulica Istvána Gyurcsóa 6119","Kúpna zmluva","Svietidlá, osvetľovacie zariadenia, svetelné zdroje a príslušenstvo","31520000-7 Lampy/svietidlá a príslušenstvo k nim;31521000-4 Lampy;31521100-5 Stolové lampy;31524000-5 Príslušenstvo k stropným alebo nástenným svietidlám;31524100-6 Príslušenstvo k stropným svietidlám;31532900-3 Žiarivkové svietidlá;31532910-6 Žiarivkové trubice;31532920-9 Žiarovky a žiarivkové lampy;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Ružomberok","Ružomberok","Zarevúca 2","8.11.2022 8:25:00","25.11.2022 8:25:00","","ks","1,0000","725,140","20,000","870,170","892,820","4.11.2022 11:10:00","",
"Z202212134","Z202212134_Z","Akadémia ozbrojených síl generála Milana Rastislava Štefánika","37910337","Slovenská republika","Liptovský Mikuláš","03101","Demänová 393","DATALAN, a.s.","35810734","Slovenská republika","Bratislava","85101","Krasovského 14","Zmluva o poskytovaní služieb","Obnova HW podpory zariadení CISCO, pre prvky wireless infraštruktúry a FW nevyhnutných pre zabezpečenie funkcionality a bezpečnosti pri prevádzke počítačovej siete ","72261000-2 Softvérové podporné služby","Služba","","Slovenská republika","Žilinský","Liptovský Mikuláš","Liptovský Mikuláš","Demänová 393","7.11.2022 10:43:00","16.11.2022 10:43:00","","1 zákazka","1,0000","20999,170","20,000","25199,000","19270,600","7.11.2022 8:58:00","",
"Z202211906","Z202211906_Z","Mesto Nitra","308307","Slovenská republika","Nitra","95006","Štefánikova trieda 60","Nelux, s.r.o.","35740710","Slovenská republika","Bratislava","82108","Koceľova 9","Rámcová dohoda","Posypová soľ na zimný posyp ciest s protispekacou prísadou - voľne ložená","34927100-2 Soľ na posyp ciest;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Nitra","Nitra","Štefánikova 60","","","","tona","1000,0000","159166,670","20,000","191000,000","15400,000","7.11.2022 10:14:00","",
"Z202211889","Z202211889_Z","Exportno-importná banka Slovenskej republiky, skrátene EXIMBANKA SR","35722959","Slovenská republika","Bratislava","81109","Grösslingová 1","Unicorn Systems SK s. r. o.","35771917","Slovenská republika","Bratislava","851 01","Central 5, Ševčenkova 34","Kúpna zmluva","Obnova a upgrade virtualizačného prostredia a SAN infraštruktúry pre databázové servery a SAP. Zmena platformy TSM zálohovacieho servera a obnova páskovej knižnice a zálohovacieho úložiska v EXIMBANKE SR","48800000-6 Informačné systémy a servery;48810000-9 Informačné systémy;48820000-2 Servery","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Grösslingová 1","7.11.2022 9:00:00","27.12.2022 9:00:00","","1","1,0000","199000,000","20,000","238800,000","200,000","4.11.2022 9:38:00","",
