"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z20174001","Z20174001_Z","RK Charita n.o.","50330951","Slovenská republika","Porúbka","06741","Porúbka 57","J&K CAPITAL, s.r.o.","47469081","Slovenská republika","Snina","06901","Študentská 2046/39","Rámcová dohoda","Dodávka hotového jedla a služieb s tým súvisiacich alebo ekvivalent","55520000-1 Služby hromadného stravovania;55521200-0 Donáška stravy;55523000-2 Služby hromadného stravovania pre iné podniky alebo iné inštitúcie;60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","Slovenská republika","Prešovský","Snina","Stakčín","Duchnovicova 284/3","","","","Stravna jednotka","9040,0000","22600,000","0,000","22600,000","0,000","2.3.2017 9:53:00",
"Z20176083","Z20176083_Z","Antidopingová agentúra Slovenskej republiky","50119231","Slovenská republika","Bratislava - mestská časť Dúbravka","84101","Hanulova 5/c","GLOBAMERICA, s.r.o","31398081","Slovenská republika","Bratislava","82108","Žellova 2","Zmluva o poskytovaní služieb","Letecká doprava - spiatočná letenka Viedeň (VIE) - Vancouver (YVR) s 1 prestupom ","60000000-8 Dopravné služby (bez prepravy odpadu);60410000-5 Pravidelné letecké dopravné služby","Služba","","Slovenská republika","Bratislavský","Bratislava IV","Bratislava - mestská časť Dúbravka","Hanulova 5/C","5.4.2017 15:04:00","10.4.2017 15:04:00","","ks","2,0000","2258,000","0,000","2258,000","342,000","8.3.2017 16:04:00",
"Z20176505","Z20176505_Z","Mestská časť Bratislava-Petržalka","00603201","Slovenská republika","Bratislava","85212","Kutlíkova 17","FBT Slovakia s. r. o.","50114255","Slovenská republika","Bratislava","84106","Tešedíkova 77/A","Zmluva o dielo","Realizácia oploteného výbehu psov  alebo ekvivalent","45000000-7 Stavebné práce","Stavebná práca;Služba","","Slovenská republika","Bratislavský","Bratislava V","Bratislava - mestská časť Petržalka","Mestská časť Bratislava-Petržalka, Kutlíkova 17, 852 12 Bratislava","15.3.2017 13:46:00","31.5.2017 13:46:00","","ks","1,0000","10000,000","","10000,000","2576,000","1.3.2017 14:30:00",
"Z20176179","Z20176179_Z","Mestská časť Košice - Dargovských hdrinov","00690988","Slovenská republika","Košice","04022","Dvorkinova 7","LE CHEQUE DEJEUNER s.r.o.","31396674","Slovenská republika","Bratislava","821 01","Tomášikova 23/D","Rámcová dohoda","Zabezpečenie stravovania zamestnancov prostredníctvom stravných poukážok         ","30199770-8 Stravné poukážky;55520000-1 Služby hromadného stravovania;60000000-8 Dopravné služby (bez prepravy odpadu);63522000-4 Služby sprostredkovateľov","Služba;Tovar","","Slovenská republika","Košický","Košice","Košice","Mestská časť Košice – Dargovských hrdinov, Dvorkinova 7, 040 22 Košice","","","","kompletné množstvo predmetu zákazky","1,0000","40992,330","","40992,330","1507,670","31.3.2017 14:54:00",
"Z20177631","Z20177631_Z","""DUNAJ"", Zariadenie sociálnych služieb Kováčov","00494160","Slovenská republika","Chľaba","94366","Kováčov 482","ITSK, s.r.o.","36556050","Slovenská republika","Nitra","94905","Zelená 29","Kúpna zmluva","Počítačové zostavy s príslušenstvom, softvérom a sieťovými prácami.","30000000-9 Kancelárske a počítacie stroje, vybavenie a spotrebný materiál s výnimkou nábytku a softvérových balíkov;30100000-0 Kancelárske stroje, vybavenie a spotrebný materiál s výnimkou počítačov, tlačiarní a nábytku;30110000-3 Stroje na spracovanie textu;30120000-6 Zariadenia na fotokopírovanie a ofsetovú tlač;30200000-1 Počítačové zariadenia a spotrebný materiál;30210000-4 Stroje na spracovanie údajov (hardvér);32000000-3 Rozhlas, televízia, komunikácie, telekomunikácie a príbuzné zariadenia;32400000-7 Siete;48000000-8 Softvérové balíky a informačné systémy;48600000-4 Databázový a operačný softvérový balík;48800000-6 Informačné systémy a servery;50000000-5 Opravárske a údržbárske služby;50300000-8 Opravy, údržba a súvisiace služby týkajúce sa osobných počítačov, kancelárskeho vybavenia, telekomunikačného a audiovizuálneho vybavenia;50800000-3 Rôzne opravárske a údržbárske služby;51000000-9 Inštalačné služby (s výnimkou softvéru);51300000-5 Inštalácia komunikačných zariadení;51500000-7 Inštalácia strojov a zariadení;51600000-8 Inštalácia počítačov a kancelárskeho vybavenia;60000000-8 Dopravné služby (bez prepravy odpadu);72000000-5 Služby informačných technológií: konzultácie, vývoj softvéru, internet a podpora","Tovar;Služba","","Slovenská republika","Nitriansky","Nové Zámky","Chľaba","Kováčov č. 482","","","20.3.2017 8:27:00","kus","12,0000","","","13000,000","","3.3.2017 9:38:00",
"Z20177639","Z20177639_Z","Domov sociálnych služieb a zariadenie pre seniorov Rača","30804191","Slovenská republika","Bratislava","83106","Pri vinohradoch 267","Drogéria u Kovára s. r. o.","45641242","Slovenská republika","Bratislava","84104","Kuklovská 2","Kúpna zmluva","stavebné lepidlo","24911200-5 Spojivá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Rača","Podbrezovská 28","6.3.2017 8:00:00","10.3.2017 13:00:00","","ks","10,0000","66,660","20,000","79,990","0,000","1.3.2017 10:38:00",
"Z20177634","Z20177634_Z","Domov sociálnych služieb a zariadenie pre seniorov Rača","30804191","Slovenská republika","Bratislava","83106","Pri vinohradoch 267","NICHOLTRACKT, s.r.o. ","31583466","Slovenská republika","Lučenec","98401","Fiľakovská 24 ","Kúpna zmluva","celoročné pneumatiky","34351100-3 Pneumatiky pre motorové vozidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Rača","Podbrezovská 28","6.3.2017 8:00:00","10.3.2017 13:00:00","","ks","2,0000","65,750","20,000","78,900","1,090","1.3.2017 10:38:00",
"Z20177703","Z20177703_Z","Mesto Holíč","00309541","Slovenská republika","Holíč","90851","Bratislavská 5","Euro Data SK, a.s.","44271875","Slovenská republika","Žilina","01004","Kvačalova 5","Kúpna zmluva","Kopírovací stroj - nový !!!","30121100-4 Fotokopírovacie stroje;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Skalica","Holíč","Bratislavská 5","13.3.2017 8:00:00","13.3.2017 14:00:00","","%","100,0000","1800,000","20,000","2160,000","840,000","1.3.2017 11:18:00",
"Z20177707","Z20177707_Z","Mesto Holíč","00309541","Slovenská republika","Holíč","90851","Bratislavská 5","LtcNet, s.r.o.","36733733","Slovenská republika","Holíč","90851","Bernolákova 1","Kúpna zmluva","Spotrebný materiál pre výpočtovnú techniku","30200000-1 Počítačové zariadenia a spotrebný materiál;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Skalica","Holíč","Bratislavská 5","","","13.3.2017 8:00:00","%","100,0000","642,500","20,000","771,000","150,000","1.3.2017 12:00:00",
"Z20177725","Z20177725_Z","Obec Fričkovce","00321958","Slovenská republika","Fričkovce","08642","Fričkovce 103","C.M.R. Slovakia, s.r.o.","31721079","Slovenská republika","Ľubotice","08006","Bardejovská 13","Zmluva o dielo","Rekonštrukcia kultúrno-správnej budovy","31216200-5 Bleskozvody;44111000-1 Stavebné materiály;44111520-2 Tepelnoizolačný materiál;44190000-8 Rôzne stavebné materiály;44221000-5 Okná, dvere a súvisiace prvky;45000000-7 Stavebné práce;45261000-4 Montáž strešných konštrukcií a súvisiace práce a pokrývačské práce;45261900-3 Opravy a údržba striech;45262520-2 Murárske práce;45400000-1 Kompletizačné (dokončovacie) práce;45410000-4 Omietkarské práce;45421100-5 Montáž dverí a okien a súvisiacich súčastí;45443000-4 Fasádne práce;60000000-8 Dopravné služby (bez prepravy odpadu);90512000-9 Služby na prepravu odpadu;45321000-3 Tepelnoizolačné práce","Stavebná práca;Služba","","Slovenská republika","Prešovský","Bardejov","Fričkovce","Fričkovce 103","6.3.2017 11:15:00","29.12.2017 15:00:00","","celok","1,0000","114434,100","20,000","137320,920","84679,080","1.3.2017 11:17:00",
