"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z20244432","Z20244432_Z","Trenčianska univerzita Alexandra Dubčeka v Trenčíne","31118259","Slovenská republika","Trenčín","91150","Študentská 2","VWR International s.r.o.","63073242","Česká republika","Stříbrná Skalice","28167","Pražská 442","Kúpna zmluva","Náhradné diely do sprejovej sušiarne Buchi Mini Spay dryer B-290","38000000-5 Laboratórne, optické a presné prístroje a vybavenie (s výnimkou skiel);60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Trenčín","Trenčín","Študentská 2","","","7/4/2024 2:42:00 PM","súbor","1.0000","2192.000","20.000","2630.400","0.000","6/10/2024 10:38:01 AM","",
"Z20244586","Z20244586_Z","TT-IT, s.r.o.","44102771","Slovenská republika","Trnava","91701","Trhová 2","XEVOS Solutions s.r.o.","27831345","Česká republika","Ostrava","70900","28. října 1584/281","Rámcová dohoda","Rámcová dohoda o dodávke licencií Office 365 Business","48223000-7 Softvérový balík pre elektronickú poštu;48310000-4 Softvérový balík na vytváranie dokumentov;48920000-3 Softvérový balík na automatizáciu kancelárskych prác;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Trnava","Trnava","Opoj 265","","","","rámec","620.0000","54300.000","20.000","65160.000","11810.000","6/13/2024 3:34:00 PM","",
"Z20244313","Z20244313_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","SPECTRO CS, s. r. o.","41034716","Česká republika","Ostrava","70030","Rudná 1361/51","Zmluva o poskytovaní služieb","Rutinná a štandardná údržba (RaŠÚ) laboratórnych zdravotníckych zariadení","50410000-2 Opravy a údržba meracích, skúšobných a kontrolných prístrojov;60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Centrum metrológie, skúšobníctva a OTD, Rajecká cesta 18, 010 01 Žilina","6/12/2024 7:00:00 AM","6/28/2024 1:00:00 PM","","súbor položiek","1.0000","2860.000","","2860.000","0.000","6/6/2024 2:08:00 PM","",
"Z20243958","Z20243958_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","BYTOVÝ TEXTIL Škodák a.s.","06021255","Česká republika","Napajedla","763 61","Kvítkovická 1528","Kúpna zmluva","Galantérny materiál","19210000-1 Tkaniny;19440000-2 Syntetické priadze alebo nite;33141128-3 Ihly na zošívanie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Prievidza","Zemianske Kostoľany","43. zásobovacia základňa, Pod horou","6/11/2024 6:00:00 AM","7/31/2024 1:00:00 PM","","súbor položiek","1.0000","1182.000","20.000","1418.400","0.000","6/5/2024 9:38:00 AM","",
"Z20244234","Z20244234_Z","Univerzita veterinárskeho lekárstva a farmácie v Košiciach","00397474","Slovenská republika","Košice -Sever","04181","Komenského 73","Axon Lab spol. s.r.o.","24175358","Česká republika","Praha 9","19800","Lednická 1533","Kúpna zmluva","Disky na stanovenie biochemických parametrov z biologických tekutín","33694000-1 Diagnostické činidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice I","Košice - mestská časť Sever","Komenského 73","6/7/2024 8:00:00 AM","6/21/2024 2:00:00 PM","","súbor","1.0000","1100.000","10.000","1210.000","0.000","6/5/2024 1:38:00 PM","",
"Z20244235","Z20244235_Z","Univerzita veterinárskeho lekárstva a farmácie v Košiciach","00397474","Slovenská republika","Košice -Sever","04181","Komenského 73","VWR International s.r.o.","63073242","Česká republika","Stříbrná Skalice","28167","Pražská 442","Kúpna zmluva","Laboratórne plasty, sklo a ostatný spotrebný laboratórny materiál","33140000-3 Zdravotnícky spotrebný materiál;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice I","Košice - mestská časť Sever","Komenského 73","6/7/2024 8:00:00 AM","6/28/2024 2:00:00 PM","","súbor","1.0000","2374.940","20.000","2849.930","0.000","6/5/2024 1:38:00 PM","",
"Z20244070","Z20244070_Z","Záchranná služba Košice","00606731","Slovenská republika","Košice","04091","Rastislavova 43","EKONA COR s.r.o.","04387601","Česká republika","Hranice IV-Drahotuše","75361","Hranická 225","Kúpna zmluva","Prenosné bezdrôtové vreckové ultrazvuky ","33124120-2 Diagnostické ultrazvukové prístroje;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice IV","Košice - mestská časť Juh","Rastislavova 43, 041 91 Košice","6/8/2024 8:00:00 AM","8/9/2024 3:00:00 PM","","ks","15.0000","56198.350","21.000","68000.000","36400.000","6/5/2024 10:20:00 AM","",
"Z20244489","Z20244489_Z","Mestská časť Bratislava - Karlova Ves","00603520","Slovenská republika","Bratislava","84262","Nám. sv. Františka 8","MAFRA, a.s.","45313351","Česká republika","Praha 5","15000","Karla Engliše 519/11","Rámcová dohoda","Tlač a doručenie dvojmesačníka","60000000-8 Dopravné služby (bez prepravy odpadu);79810000-5 Tlačiarenské služby","Služba;Tovar","","Slovenská republika","Bratislavský","Bratislava IV","Bratislava - mestská časť Karlova Ves","Námestie sv. Františka 8","","","","ks","114000.0000","17499.000","20.000","20998.800","0.000","6/12/2024 9:54:00 AM","",
"Z20244141","Z20244141_Z","Štátny veterinárny a potravinový ústav","42355613","Slovenská republika","Dolný Kubín","02601","Jánoškova 1611/58","VWR International s.r.o.","63073242","Česká republika","Stříbrná Skalice","28167","Pražská 442","Kúpna zmluva","Laboratórne zariadenie na stanovenie dusíka a obsahu bielkovín Kjeldahlovou metódou","38000000-5 Laboratórne, optické a presné prístroje a vybavenie (s výnimkou skiel);39300000-5 Rôzne zariadenia;51430000-5 Inštalácia laboratórnych zariadení;60000000-8 Dopravné služby (bez prepravy odpadu);80511000-9 Školenie pracovníkov","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava","Bratislava","Botanická ulica č. 15","7/4/2024 1:00:00 PM","8/15/2024 1:00:00 PM","","ks (podľa technickej špecifikácie)","2.0000","55000.000","20.000","66000.000","15046.390","6/5/2024 9:48:00 AM","",
"Z20244226","Z20244226_Z","Univerzita veterinárskeho lekárstva a farmácie v Košiciach","00397474","Slovenská republika","Košice -Sever","04181","Komenského 73","VWR International s.r.o.","63073242","Česká republika","Stříbrná Skalice","28167","Pražská 442","Kúpna zmluva","Špeciálne ochranné odevy","18100000-0 Pracovné odevy, špeciálne pracovné odevy a doplnky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice I","Košice - mestská časť Sever","Komenského 73","6/7/2024 8:00:00 AM","6/28/2024 2:00:00 PM","","súbor","1.0000","5416.670","20.000","6500.000","259.600","6/5/2024 12:46:00 PM","",
