"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201716612","Z201716612_Z","DREVOPRODUKT P + P, s.r.o. ","36423505","Slovenská republika","Vavrečka","02901","108","Železiarstvo HAMMER, s.r.o.","36428353","Slovenská republika","Krásno nad Kysucou","02302","Kalinov 1493","Zmluva o dielo","Drevoobrábacie stroje","42642100-9 Obrábacie stroje na drevo;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Námestovo","Vavrečka","108","31.7.2017 15:41:00","30.4.2018 15:42:00","","ks","1,0000","191900,000","20,000","230280,000","3877,000","30.6.2017 17:06:00",
"Z201721868","Z201721868_Z","Mesto Trebišov","00331996","Slovenská republika","Trebišov","07525","M. R. Štefánika 862/204","CESTY KOŠICE s.r.o.","46897992","Slovenská republika","Košice","04001","Mlynská 28","Zmluva o dielo","Oprava mestských cestných komunikácií a chodníkov","45233142-6 Práce na oprave ciest;45233220-7 Práce vrchnej stavby ciest;45233223-8 Obnova povrchu vozoviek;45233253-7 Práce vrchnej stavby chodníkov;60000000-8 Dopravné služby (bez prepravy odpadu)","Stavebná práca;Služba","","Slovenská republika","Košický","Trebišov","Trebišov","7 lokalít v intraviláne mesta Trebišov","5.6.2017 8:00:00","1.9.2017 14:00:00","","dielo","1,0000","45833,320","20,000","54999,990","14942,840","2.6.2017 10:26:00",
"Z201722640","Z201722640_Z","Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy","00227811","Slovenská republika","Vyšné Hágy","05984","1","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika","Bojnice","97201","Opatovská cesta 4","Rámcová dohoda","Minerálne doplnky - síran horečnatý","33617000-8 Minerálne doplnky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Poprad","","","","","","ks","1500,0000","820,000","10,000","902,000","101,000","7.6.2017 9:40:00",
"Z201722644","Z201722644_Z","Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy","00227811","Slovenská republika","Vyšné Hágy","05984","1","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika","Bojnice","97201","Opatovská cesta 4","Rámcová dohoda","Minerálne doplnky - chlorid draselný","33617000-8 Minerálne doplnky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Poprad","","","","","","ks","1720,0000","670,000","10,000","737,000","205,000","7.6.2017 9:48:00",
"Z201722686","Z201722686_Z","Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy","00227811","Slovenská republika","Vyšné Hágy","05984","1","MED - ART, spol. s r.o.","34113924","Slovenská republika","Nitra","94901","Hornočermánska 4","Rámcová dohoda","Systémové hormonálne prípravky, okrem pohl.","33642000-2 Systémové hormonálne prípravky okrem pohlavných hormónov;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Poprad","","","","","","ks","200,0000","4942,790","10,000","5437,070","257,610","7.6.2017 11:10:00",
"Z201723299","Z201723299_Z","Horská záchranná služba","37879693","Slovenská republika","Vysoké Tatry","06201","Horný Smokovec 52","VET 4your PET s.r.o.","45274061","Slovenská republika","Liptovský Mikuláš","03101","Stodolova 1895/5","Rámcová dohoda","Veterinárna starostlivosť ","60000000-8 Dopravné služby (bez prepravy odpadu);85200000-1 Veterinárne služby","Služba","","Slovenská republika","Prešovský","Poprad","Vysoké Tatry","Horný Smokovec, 52","","","","úkon","2666,0000","12500,000","20,000","15000,000","120,000","15.6.2017 12:24:00",
"Z201723350","Z201723350_Z","Úrad pre dohľad nad zdravotnou starostlivosťou","30796482","Slovenská republika","Bratislava","82924","Žellova 2","Lucia Hucíková - ŠKOLÁĆIK MAJO","47880775","Slovenská republika","Brezovica","02801","Pekárenská 277","Kúpna zmluva","Kancelársky nábytok","39112000-0 Stoličky;39113100-8 Kreslá;39130000-2 Kancelársky nábytok;39134100-1 Počítačové stoly;50850000-8 Opravy a údržba nábytku;51000000-9 Inštalačné služby (s výnimkou softvéru);60000000-8 Dopravné služby (bez prepravy odpadu);90500000-2 Služby súvisiace s likvidáciou odpadu a odpadom;90512000-9 Služby na prepravu odpadu","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Ružinov","Žellova 2, 829 24","3.7.2017 13:23:00","29.9.2017 13:26:00","","ks","52,0000","50833,330","20,000","61000,000","84200,000","2.6.2017 15:08:00",
"Z201723522","Z201723522_Z","Základná škola","36159042","Slovenská republika","Prešov","08001","Československej armády 22","BASCO SK, s.r.o.","34140328","Slovenská republika","Pezinok","90201","Šenkvická cesta 14/K/4636","Kúpna zmluva","Nábytková zostava INLANDIA 4 alebo dizajnovo zhodný ekvivalent","39160000-1 Školský nábytok;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Prešov","Prešov","Odborárska 30","14.8.2017 9:00:00","18.8.2017 14:00:00","","zostavy","4,0000","941,670","20,000","1130,000","1330,000","6.6.2017 11:04:00",
"Z201723530","Z201723530_Z","Základná škola","36159042","Slovenská republika","Prešov","08001","Československej armády 22","KONIMPEX, spoločnosť s ručením obmedzeným","36174874","Slovenská republika","Košice","04001","Jantárova 32","Kúpna zmluva","Vysoká dvojdverová skriňa z laminovanej dosky","39100000-3 Nábytok;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Prešovský","Prešov","Prešov","Odborárska 30","14.8.2017 9:00:00","18.8.2017 14:00:00","","kusov","8,0000","557,500","20,000","669,000","123,000","5.6.2017 9:58:00",
"Z201724069","Z201724069_Z","Fakultná nemocnica s poliklinikou J.A.Reimana Prešov","00610577","Slovenská republika","Prešov","08181","Hollého 14","INTRAVENA s.r.o.","31717802","Slovenská republika","Prešov","08001","Levočská 9","Rámcová dohoda","Rôzne (vária) - Kyselina (RS)-3-metyl-2-oxovalérová vápenatá soľ, Kyselina 4-metyl-2-oxovalérová, vápenatá soľ, Kyselina 2-oxo-3-fenylpropiónová, vápenatá soľ, Kyselina 3-metyl-2-oxomaslová, vápenatá soľ, Kyselina DL-2-hydroxy-4-metylsulfanylmaslová  vápenatá soľ, atď.","33600000-6 Farmaceutické výrobky;33690000-3 Rôzne liečivá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Prešov","Prešov","Hollého 14","","","","tableta","12700,0000","5256,630","10,000","5782,290","0,000","2.6.2017 10:08:00",
