"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z2025310","Z2025310_Z","Štátny geologický ústav Dionýza Štúra","31753604","Slovenská republika","Bratislava-Staré Mesto","81704","Mlynská dolina 1","LECO Instrumente Plzeň, spol. s r.o.","14706636","Česká republika","Plzeň","301 00","Purkyňova 3032/15, Jižní Předměstí","Kúpna zmluva","Špeciálny spotrebný materiál a inštalácia pre prístroj Makroelementárny analyzátor CHN628 Series Elemental Determinators, modul S628","34913000-0 Rôzne náhradné diely;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Spišská Nová Ves","Spišská Nová Ves","Markušovská cesta 1, 052 01  Spišská Nová Ves","2/17/2025 3:00:00 PM","5/30/2025 3:00:00 PM","","zákazka","1.0000","3587.770","23.000","4412.960","0.000","2/10/2025 1:38:00 PM","",
"Z2025292","Z2025292_Z","Liečebňa pre dlhodobo chorých Štiavnička","17336171","Slovenská republika","Ružomberok","03401","Štiavnička 132","Mäso Liptov s.r.o.","50302931","Slovenská republika","Liptovská Porúbka","03301","Liptovská Porúbka 443","Rámcová dohoda","Mäso a mäsové výrobky","15110000-2 Mäso;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Ružomberok","Štiavnička","","","","","v technickej špecifikácii","1.0000","","","7970.000","628.900","2/12/2025 8:48:00 AM","",
"Z2025485","Z2025485_Z","Obec Oščadnica","00314170","Slovenská republika","Oščadnica","02301","Nám. M. Bernáta 745","QUADMOTO s.r.o.","45289204","Slovenská republika","Vrbové","92203","Súkenícka 209/A","Kúpna zmluva","Záchranné terénne vozidlo pre hasičov","34113000-2 Vozidlá s náhonom štyroch kolies;34113300-5 Terénne vozidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Čadca","Oščadnica","Námestie M. Bernáta 745, 023 01 Oščadnica","2/20/2025 10:00:00 AM","8/21/2025 10:00:00 AM","","ks","1.0000","48373.980","23.000","59500.000","17498.000","2/18/2025 10:52:00 AM","",
"Z2025375","Z2025375_Z","Správa Tatranského národného parku so sídlom v Tatranskej Lomnici","54435293","Slovenská republika","Vysoké Tatry","05960","Tatranská Lomnica 14066","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika","Bratislava","82511","Mlynské nivy   44/a","Kúpna zmluva","Dodávka zemného plynu","09123000-7 Zemný plyn;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Poprad","Tatranská Lomnica","14066","3/1/2025 12:00:00 AM","2/28/2026 12:00:00 AM","","ks","1.0000","69101.140","23.000","84994.400","2361.660","2/12/2025 10:02:00 AM","",
"Z2025481","Z2025481_Z","Obec Družstevná pri Hornáde","00324116","Slovenská republika","Družstevná pri Hornáde","04431","Hlavná 38","TR TECHNIC s.r.o.","45906114","Slovenská republika","Lukavica","08621","39","Kúpna zmluva","Profesionálny motorový krovinorez STIHL FS 491 C-EM  alebo ekvivalent","16311100-9 Kosačky trávnikov, parkov alebo športovísk;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice - okolie","Družstevná pri Hornáde","Hlavná 38","3/3/2025 8:00:00 AM","3/31/2025 12:00:00 PM","","ks","6.0000","4799.890","23.000","5903.870","1596.130","2/17/2025 1:00:00 PM","",
"Z2025445","Z2025445_Z","Detská fakultná nemocnica s poliklinikou Banská Bystrica","37957937","Slovenská republika","Banská Bystrica ","97409","Námestie L.Svobodu 4","MED - ART, spol. s r.o.","34113924","Slovenská republika","Nitra","94901","Hornočermánska 4","Rámcová dohoda","Lieky ATC skupiny L01 - časť 5","33652100-6 Antineoplastické činidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","Nám. L. Svobodu 4","","","","podľa rozpisu položiek","1.0000","26218.310","5.000","27529.230","4966.210","2/17/2025 10:30:00 AM","",
"Z2025453","Z2025453_Z","Univerzita sv. Cyrila a Metoda v Trnave","36078913","Slovenská republika","Trnava","91701","Nám. J. Herdu 2","BIOTECH s.r.o.","35768444","Slovenská republika","Bratislava","84105","Kresánkova 12","Kúpna zmluva","Špeciálne laboratórne chemikálie pre prácu s rastlinami v podmienkach in vitro","24000000-4 Chemické výrobky;24300000-7 Základné anorganické a organické chemikálie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Trnava","Špačince","Hlavná 418/6, Špačince ","2/17/2025 8:00:00 AM","3/7/2025 3:00:00 PM","","balenie","15.0000","829.000","23.000","1019.670","0.000","2/14/2025 10:18:00 AM","",
"Z2025409","Z2025409_Z","Národná zoologická záhrada Bojnice","00358011","Slovenská republika","Bojnice","97201","Zámok a okolie 6","HYCA s.r.o.","35900008","Slovenská republika","Pezinok","90201","Viničnianska cesta 9","Kúpna zmluva","Obytné kontajnery","44211200-4 Obytné bunky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Prievidza","Bojnice","Zámok a okolie 6","2/24/2025 12:00:00 PM","5/30/2025 12:00:00 PM","","ks","3.0000","27330.000","","27330.000","0.000","2/20/2025 10:38:00 AM","",
"Z2025373","Z2025373_Z","Správa a údržba ciest Trnavského samosprávneho kraja","37847783","Slovenská republika","Trnava","91853","Bulharská 39","T a M trans spedition, s.r.o.","34140425","Slovenská republika","Šarovce","93552","545","Kúpna zmluva","Dodávka motorovej nafty do benkaloru (1)","09134100-8 Motorová nafta;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Trnava","Buková","Buková 315","2/13/2025 8:00:00 AM","2/17/2025 2:00:00 PM","","celok v zmysle technickej špecifikácie","1.0000","11186.180","23.000","13759.000","1541.000","2/10/2025 4:50:00 PM","",
"Z2025484","Z2025484_Z","Univerzita Komenského v Bratislave, Farmaceutická fakulta","00397865 (01)","Slovenská republika","Bratislava","83232","Odbojárov 10","VWR International s.r.o.","63073242","Česká republika","Stříbrná Skalice","28167","Pražská 442","Kúpna zmluva","Rozpúšťadlá","24320000-3 Základné organické chemikálie","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava","Bratislava","Farmaceutická fakulta, Katedra farmaceutickej analýzy a nukleárnej farmácie, Odbojárov 10, 83232 Bratislava, 2. poschodie.","2/24/2025 1:22:00 PM","4/22/2025 2:00:00 PM","","kompletný predmet zákazky","1.0000","570.000","23.000","701.100","1032.590","2/19/2025 1:50:00 PM","",
