"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201629101","Z201629101_Z","BOPAL, s.r.o.","36557293","Slovenská republika","Bratislava","83103","Osadná 2","VINCENTE s.r.o.","36362026","Slovenská republika","Piešťany","92101","Díčova 945/24","Kúpna zmluva","Zvýšenie konkurencieschopnosti spoločnosti prostredníctvom zavedenia inovatívnej technológie olepovania PVC profilov.","42994200-2 Strojové zariadenie na obrábanie plastov;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Nitriansky","Topoľčany","Nemčice","Výrobné priestory BOPAL, s.r.o. Hlohovská cesta 423, 955 01 Nemčice","2.1.2017 8:00:00","30.6.2017 12:00:00","","celok","1,0000","1854000,000","20,000","2224800,000","4000,000","10.11.2016 10:38:00",
"Z201630204","Z201630204_Z","Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy","00227811","Slovenská republika","Vyšné Hágy","05984","1","INTRAVENA s.r.o.","31717802","Slovenská republika","Prešov","08001","Levočská 9","Rámcová dohoda","Analgetiká - Paracetamol","33661200-3 Analgetiká;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Prešovský","Poprad","Vyšné Hágy","","","","","ako balík","1,0000","669,000","10,000","735,900","135,000","7.11.2016 9:32:00",
"Z201630205","Z201630205_Z","Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy","00227811","Slovenská republika","Vyšné Hágy","05984","1","MED - ART, spol. s r.o.","34113924","Slovenská republika","Nitra","94901","Hornočermánska 4","Rámcová dohoda","Analgetiká","33661200-3 Analgetiká;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Prešovský","Poprad","Vyšné Hágy","","","","","ako balík","1,0000","10348,240","10,000","11383,060","1775,310","9.11.2016 10:46:00",
"Z201630594","Z201630594_Z","Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy","00227811","Slovenská republika","Vyšné Hágy","05984","1","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika","Bojnice","97201","Opatovská cesta 4","Rámcová dohoda","Kortikosteroidy na systémové použitie","33642200-4 Kortikosteroidy na systémové použitie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Prešovský","Poprad","Vyšné Hágy","","","","","ako balík","1,0000","20349,000","10,000","22383,900","1258,020","28.11.2016 9:50:00",
"Z201630609","Z201630609_Z","Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy","00227811","Slovenská republika","Vyšné Hágy","05984","1","INTRAVENA s.r.o.","31717802","Slovenská republika","Prešov","08001","Levočská 9","Rámcová dohoda","Anestetiká - Propofol","33661100-2 Anestetiká;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Prešovský","Poprad","Vyšné Hágy","","","","","ako balík","1,0000","3300,000","10,000","3630,000","416,100","25.11.2016 11:54:00",
"Z201630664","Z201630664_Z","Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy","00227811","Slovenská republika","Vyšné Hágy","05984","1","MED - ART, spol. s r.o.","34113924","Slovenská republika","Nitra","94901","Hornočermánska 4","Rámcová dohoda","Antimykotiká - Flukonazol","33651200-0 Antimykotiká na systémové použitie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Prešovský","Poprad","Vyšné Hágy","","","","","ako balík","1,0000","1169,990","10,000","1286,990","455,010","2.11.2016 10:24:00",
"Z201630873","Z201630873_Z","Knižnica Józsefa Szinnyeiho v Komárne, Szinnyei József Könyvtár Komárom","36102784","Slovenská republika","Komárno","94533","Ul. Eötvösa 35","MICROCOMP - Computersystém s r.o.","31410952","Slovenská republika","Nitra","94901","Kupecká 9","Kúpna zmluva","Obnova a modernizácia technického vybavenia","30121430-6 Digitálne rozmnožovacie stroje;30213000-5 Osobné počítače;30216130-6 Snímače čiarového kódu","Tovar","","Slovenská republika","Nitriansky","Komárno","Komárno","Eötvösa 35","7.11.2016 10:30:00","30.11.2016 10:28:00","","ks","17,0000","5663,200","20,000","6795,840","503,760","4.11.2016 11:02:00",
"Z201632199","Z201632199_Z","Základná škola","36159042","Slovenská republika","Prešov","08001","Československej armády 22","JURIGA spol. s r. o.","31344194","Slovenská republika","Bratislava","85101","Gercenova 3","Kúpna zmluva","Originálne tonerové náplne pre tlačiarne","30125100-2 Tonerové náplne","Tovar;Služba","20. Podporné a pomocné dopravné služby","Slovenská republika","Prešovský","Prešov","Prešov","Československej armády 22","14.11.2016 9:00:00","16.11.2016 12:00:00","","kusov produktov podľa špecifikácie","11,0000","1058,330","20,000","1270,000","270,000","3.11.2016 11:02:00",
"Z201632461","Z201632461_Z","Ústav na výkon väzby a Ústav na výkon trestu odňatia slobody","738255","Slovenská republika","Bratislava","81229","Chorvátska 5","FISWELL s. r. o.","44645686","Slovenská republika","Bratislava","82102","Trnavská cesta 34","Kúpna zmluva","Detektor kovov","35124000-9 Detektory kovov;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Chorvátska 5","5.12.2016 8:00:00","9.12.2016 13:00:00","","ks","1,0000","3866,700","20,000","4640,040","14,950","11.11.2016 11:38:00",
"Z201632327","Z201632327_Z","Nemocnica Alexandra Wintera n. o.","36084221","Slovenská republika","Piešťany","92163","Winterova 66","MAGNA ENERGIA a.s.","35743565","Slovenská republika","Piešťany","92101","Nitrianska 18/7555 ","Zmluva o poskytovaní služieb","Združená dodávka elektrickej energie","09310000-5 Elektrická energia;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Trnavský","Piešťany","Piešťany","Winterova 66","1.1.2017 0:00:00","31.12.2017 23:59:00","","MWh ","946,7000","103680,690","20,000","124416,830","0,000","21.11.2016 10:38:00",
