"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z202115327","Z202115327_Z","Krajská prokuratúra","00166456","Slovenská republika","Banská Bystrica","97562","Partizánska cesta 1","Up Déjeuner, s. r. o.","53528654","Slovenská republika","Bratislava","82101","Tomášikova 16529/23/D","Rámcová dohoda","Zabezpečenie stravovania zamestnancov prostredníctvom stravných poukážok","30199770-8 Stravné poukážky","Tovar;Služba","","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","Partizánska cesta 1","","","","ks","23500,0000","112743,600","","112743,600","256,400","3.8.2021 14:44:00","",
"Z202115512","Z202115512_Z","Správa mestskej zelene v Košiciach","17078202","Slovenská republika","Košice","04001","Rastislavova 79","ALRC, s.r.o. ","36588750","Slovenská republika","Košice","04001","Vrabčia 2","Kúpna zmluva","Mobilná kosačka so zberom a nulovým polomerom zatáčania","16310000-1 Kosačky;16311000-8 Kosačky trávnikov;16311100-9 Kosačky trávnikov, parkov alebo športovísk;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice IV","Košice - mestská časť Juh","Rastislavova 79","5.8.2021 10:30:00","6.9.2021 10:30:00","","ks","1,0000","12487,000","20,000","14984,400","3,000","2.8.2021 11:08:00","",
"Z202115808","Z202115808_Z","Mesto Žiar nad Hronom","321125","Slovenská republika","Žiar nad Hronom","96519","Š. Moysesa 46","IMPA Žiar nad Hronom s.r.o.","31558062","Slovenská republika","Ladomerská Vieska","96501","Vieska 285","Kúpna zmluva","Nové osobné motorové vozidlo Kombi","34100000-8 Motorové vozidlá;34110000-1 Osobné automobily;34115200-8 Motorové vozidlá na prepravu menej než 10 osôb;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Žiar nad Hronom","Žiar nad Hronom","Š. Moysesa 46","1.10.2021 7:00:00","29.10.2021 15:30:00","","ks","1,0000","15600,000","20,000","18720,000","0,000","2.8.2021 10:38:00","",
"Z202115905","Z202115905_Z","Národná transfúzna služba SR","30853915","Slovenská republika","Bratislava","83101","Ďumbierska 3/L","DOMA Prešov, s.r.o.","47825502","Slovenská republika","Prešov","08001","Petrovanská 34","Rámcová dohoda","Bagety","15800000-6 Rôzne potravinárske výrobky;15811511-1 Pripravené sendviče;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","","","","miestom plnenia sú pracoviská Objednávateľa podľa Zoznamu pracovísk Objednávateľa","","","","súbor","1,0000","62000,000","20,000","74400,000","9185,000","6.8.2021 10:54:00","",
"Z202115943","Z202115943_Z","Technická univerzita v Košiciach","00397610","Slovenská republika","Košice","04200","Letná 9","Up Déjeuner, s. r. o.","53528654","Slovenská republika","Bratislava","82101","Tomášikova 16529/23/D","Kúpna zmluva","Zabezpečenie stravovania zamestnancov prostredníctvom elektronických stravných kariet a stravných lístkov","30199770-8 Stravné poukážky;30237131-6 Elektronické karty;55520000-1 Služby hromadného stravovania;60000000-8 Dopravné služby (bez prepravy odpadu)","Služba;Tovar","","Slovenská republika","Prešovský","Prešov","Prešov","Bayerova , Štútova 31","1.9.2021 0:00:00","31.8.2022 23:59:00","","JV","1,0000","196285,440","","196285,440","3394,560","2.8.2021 10:00:00","",
"Z202115951","Z202115951_Z","Úrad pre dohľad nad zdravotnou starostlivosťou","30796482","Slovenská republika","Bratislava","82924","Žellova 2","SIAD Slovakia spol. s r. o.","35746343","Slovenská republika","Bratislava","83104","Rožňavská 17","Rámcová dohoda","Dodávka technických a medicinálnych plynov pre potreby súdnolekárskych a patologicko-anatomických pracovísk Úradu pre dohľad nad zdravotnou starostlivosťou","24110000-8 Technické plyny;24111000-5 Vodík, argón, vzácne plyny, dusík a kyslík;24111500-0 Lekárske plyny;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Ružinov","Žellova 2","","","","mesiac","12,0000","10332,500","20,000","12399,000","3531,000","2.8.2021 11:50:00","",
"Z202116047","Z202116047_Z","Hotelová akadémia, Južná trieda 10, Košice","31946615","Slovenská republika","Košice","04001","Južná trieda 10","GASTROTECHNIKA, s.r.o. ","46660437","Slovenská republika","Košice","04001","Slovenská 93","Kúpna zmluva","Elektrický  konvektomat s nástrekovou alebo bojlerovou technológiou  tvorby pary a podstavcom","39310000-8 Zariadenia hromadného stravovania;39312000-2 Zariadenia na prípravu jedál;39314000-6 Priemyselné vybavenie kuchýň;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice","Košice","Južná trieda 10","10.8.2021 9:54:00","20.8.2021 9:54:00","","ks","1,0000","5376,670","20,000","6452,000","2548,000","6.8.2021 11:10:00","",
"Z202116083","Z202116083_Z","Základná škola Ľudovíta Fullu","35546841","Slovenská republika","Košice","04022","Maurerova 21","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika","Žilina","01001","Kálov 356","Kúpna zmluva","Stravné lístky ","30199770-8 Stravné poukážky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice III","Košice - m. č. Dargovských hrdinov","Maurerova 21","16.8.2021 8:00:00","15.8.2023 12:00:00","","ks","1,0000","18661,680","","18661,680","488,320","2.8.2021 10:52:00","",
"Z202116095","Z202116095_Z","Štátny geologický ústav Dionýza Štúra","31753604","Slovenská republika","Bratislava-Staré Mesto","81704","Mlynská dolina 1","Mikrochem Trade, spol. s r.o.","35948655","Slovenská republika","Pezinok","90201","Za dráhou 33","Rámcová dohoda","Všeobecný spotrebný materiál","09211000-1 Mazacie oleje a mazivá;15994200-4 Filtračný papier;19520000-7 Plastové výrobky;33793000-5 Sklenené výrobky pre laboratóriá;38000000-5 Laboratórne, optické a presné prístroje a vybavenie (s výnimkou skiel);38437000-7 Laboratórne pipety a príslušenstvo;42671100-1 Stojany na laboratórne náradie;42968000-9 Dávkovače;44618350-3 Plastové vrchnáky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","","","","","","","","komplet","3,0000","71458,330","20,000","85750,000","41398,800","5.8.2021 15:10:00","",
"Z202116104","Z202116104_Z","DOMOV PRI KAŠTIELI n. o.","52540651","Slovenská republika","Žiar nad Hronom","96501","SNP 1247/16A","Ib-elektro s.r.o.","46375210","Slovenská republika","Rimavská Sobota","97901","Železničiarska 48","Kúpna zmluva","Elektronika č.3 - dezinfekcia","31000000-6 Elektrické stroje, prístroje, zariadenia a spotrebný tovar; osvetlenie;42999100-6 Vysávače prachu nie pre domácnosť;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Žiar nad Hronom","Žiar nad Hronom","SNP 1247/16A","18.10.2021 7:00:00","2.11.2021 15:00:00","","ks","11,0000","3583,330","20,000","4300,000","2420,000","2.8.2021 11:24:00","",
