"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z202125266","Z202125266_Z","Dopravný podnik mesta Košice, akciová spoločnosť","31701914","Slovenská republika","Košice","04329","Bardejovská 6","TAMAS MM s.r.o.","44422211","Slovenská republika","Košice - Krásna nad Hornádom","04018","Ukrajinská 13","Kúpna zmluva","Náhradné diely na autobusy Citelis - hnacie ústrojenstvo","34121100-2 Autobusy verejnej dopravy;34121200-3 Kĺbové autobusy;42111000-0 Motory a hnacie zariadenia;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Košický","Košice I","Košice - mestská časť Džungľa","Hornádska 10","","","7.1.2022 13:30:00","celok","1,0000","104,000","20,000","124,800","16,000","3.1.2022 8:54:00","",
"Z202125109","Z202125109_Z","Nemocnica s poliklinikou Myjava","00610721","Slovenská republika","Myjava","90701","Staromyjavská 59","Diversey Slovensko, s.r.o.","35835401","Slovenská republika","Bratislava","83106","Rybničná ulica 40","Rámcová dohoda","Tekuté pracie prostriedky a dávkovací systém.","39831000-6 Pracie prostriedky","Tovar;Služba","","Slovenská republika","Trenčiansky","Myjava","Myjava","Staromyjavská 59","","","","celok","1,0000","8484,000","20,000","10180,800","336,000","3.1.2022 9:08:00","",
"Z202125100","Z202125100_Z","Zariadenie pre seniorov Komárno","00352489","Slovenská republika","Komárno","94505","Špitálska 16","MABONEX SLOVAKIA spol. s r.o. ","31428819","Slovenská republika","Piešťany","92101","Krajinská cesta 3","Rámcová dohoda","Múka, cukor","15610000-7 Mlynské výrobky;15612100-2 Pšeničná múka;15612110-5 Hrubá múka;15612130-1 Hladká múka;15831000-2 Cukor;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Komárno","Komárno","Špitálska 16","","","","ks,kg","1,0000","2609,580","20,000","3131,500","0,500","3.1.2022 9:54:00","",
"Z202124548","Z202124548_Z","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","RADIX MEDICAL spol. s r. o.","53718879","Slovenská republika","Banská Bystrica","97405","Kremnička 36","Kúpna zmluva","Laparoskopická zostava vrátane súvisiacich služieb ","33164000-7 Laparoskopické prístroje;51110000-6 Inštalácia elektrických zariadení;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","Námestie L.Svobodu 1","20.1.2022 0:00:00","21.3.2022 0:00:00","","súbor","1,0000","112229,000","20,000","134674,800","8,360","3.1.2022 10:08:00","",
"Z202125157","Z202125157_Z","Zariadenie pre seniorov Komárno","00352489","Slovenská republika","Komárno","94505","Špitálska 16","MABONEX SLOVAKIA spol. s r.o. ","31428819","Slovenská republika","Piešťany","92101","Krajinská cesta 3","Rámcová dohoda","Mrazené výrobky, mrazené ryby, mrazená zelenina","15112000-6 Hydina;15220000-6 Mrazené ryby, rybie filé a ostatné rybie mäso;15312000-8 Zemiakové výrobky;15331170-9 Mrazená zelenina;15896000-5 Hlboko zmrazené výrobky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Komárno","Komárno","Špitálska 16","","","","ks,kg","1,0000","20583,330","20,000","24700,000","8300,000","3.1.2022 10:26:00","",
"Z202125064","Z202125064_Z","Národný ústav detských chorôb","00607231","Slovenská republika","Bratislava","83340","Limbová 1","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika","Bojnice","97201","Opatovská cesta 4","Rámcová dohoda","Sevoflurán","33661100-2 Anestetiká;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Limbova 1","","","","fľaša PEN","500,0000","39365,000","10,000","43301,500","0,000","3.1.2022 10:38:00","",
"Z202124846","Z202124846_Z","Finančné riaditeľstvo Slovenskej republiky","42499500","Slovenská republika","Banská Bystrica","97401","Lazovná 63","2imPress s.r.o.","35750774","Slovenská republika","Bratislava","83104","Vajnorská 135","Kúpna zmluva","Tlačiarenské služby pre tlač časopisu","60000000-8 Dopravné služby (bez prepravy odpadu);79810000-5 Tlačiarenské služby;79824000-6 Tlačiarenské a distribučné služby","Služba","","Slovenská republika","","","","","21.2.2022 8:39:00","12.12.2022 8:39:00","","ks","21000,0000","1600,000","20,000","1920,000","10078,800","3.1.2022 10:38:00","",
"Z202124747","Z202124747_Z","Odvoz a likvidácia odpadu a.s. v skratke: OLO a.s.","00681300","Slovenská republika","Bratislava","82104","Ivanská cesta 22","B.T.SERVIS SK, s.r.o.","36844659","Slovenská republika","Sliač","962 31","Letecká 2","Rámcová dohoda","Rúško, respirátor FFP2 bez výdychového ventilu a respirátor FFP3 s výdychovým ventilom              ","35113400-3 Ochranné a bezpečnostné odevy;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Ružinov","Ivanská cesta 22 ","","","","celok","1,0000","6900,000","","6900,000","16393,000","3.1.2022 11:06:00","",
"Z202125178","Z202125178_Z","Zariadenie pre seniorov Komárno","00352489","Slovenská republika","Komárno","94505","Špitálska 16","MABONEX SLOVAKIA spol. s r.o. ","31428819","Slovenská republika","Piešťany","92101","Krajinská cesta 3","Rámcová dohoda","Mlieko a mliečne výrobky ","15500000-3 Mliečne výrobky;15511000-3 Mlieko;15512000-0 Smotana;15544000-3 Tvrdý syr;15550000-8 Mliečne výrobky rôznych druhov;15551300-8 Jogurt;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Komárno","Komárno","Špitálska 16","","","","ks,liter,kg","1,0000","","","28890,000","10,000","3.1.2022 11:24:00","",
"Z202124950","Z202124950_Z","Centrum sociálnych služieb - KOLONKA","00632368","Slovenská republika","Púchov","02001","J. Smreka 486","INMEDIA, spol. s r.o.","36019208","Slovenská republika","Zvolen","96001","Námestie SNP 11","Kúpna zmluva","Rôzne potravinárske výrobky","15800000-6 Rôzne potravinárske výrobky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Púchov","Púchov","J. Smreka 486/12","4.1.2022 13:10:00","31.12.2022 13:10:00","","celok","1,0000","","","13629,000","0,250","3.1.2022 11:37:59","",
"Z202124370","Z202124370_Z","Národný ústav srdcových a cievnych chorôb, a.s.","35971126","Slovenská republika","Bratislava","83348","Pod Krásnou hôrkou 1","MED - ART, spol. s r.o.","34113924","Slovenská republika","Nitra","94901","Hornočermánska 4","Kúpna zmluva","Antitymocytový imunoglobulín","33652300-8 Imunosupresívne činidlá","Tovar","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Pod Krásnou hôrkou 1","7.1.2022 10:42:00","7.1.2024 0:00:00","","lag","800,0000","132615,000","10,000","145876,500","5913,000","3.1.2022 12:28:00","",
"Z202125065","Z202125065_Z","Národný ústav detských chorôb","00607231","Slovenská republika","Bratislava","83340","Limbová 1","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika","Bojnice","97201","Opatovská cesta 4","Rámcová dohoda","Teikoplanín","33651100-9 Látky ničiace baktérie na systémové použitie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Limbova 1","","","","liekovka injekčná sklenená","250,0000","21310,000","10,000","23441,000","330,000","3.1.2022 12:28:00","",
