"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201812679","Z201812679_Z","Výskumný ústav vodného hospodárstva","00156850","Slovenská republika","Bratislava","81249","Nábr. arm. gen. L. Svobodu 5","Lucia Hucíková - ŠKOLÁĆIK MAJO","47880775","Slovenská republika","Brezovica","02801","Pekárenská 277","Kúpna zmluva","Nábytok, kancelársky nábytok","39000000-2 Nábytok (vrátane kancelárskeho nábytku), zariadenie interiéru, domáce spotrebiče (s výnimkou osvetlenia) a čistiace prostriedky;39100000-3 Nábytok;39130000-2 Kancelársky nábytok;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Nábr. arm. gen. L. Svobodu 5, ","9.4.2018 8:00:00","15.6.2018 14:00:00","","celý rozsah špecifikácie","1,0000","1809,000","20,000","2170,800","1891,000","4.4.2018 12:58:00",
"Z201812682","Z201812682_Z","Výskumný ústav vodného hospodárstva","00156850","Slovenská republika","Bratislava","81249","Nábr. arm. gen. L. Svobodu 5","NABIMEX, s.r.o.","36022331","Slovenská republika","Zvolen","960 01","Borovianska 2488/37","Kúpna zmluva","Nábytok, kancelársky nábytok","39000000-2 Nábytok (vrátane kancelárskeho nábytku), zariadenie interiéru, domáce spotrebiče (s výnimkou osvetlenia) a čistiace prostriedky;39100000-3 Nábytok;39130000-2 Kancelársky nábytok;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Nábr. arm. gen. L. Svobodu 5, ","10.4.2018 8:00:00","12.6.2018 14:00:00","","celý rozsah špecifikácie","1,0000","1869,000","20,000","2242,800","2331,000","5.4.2018 12:56:00",
"Z201812686","Z201812686_Z","Výskumný ústav vodného hospodárstva","00156850","Slovenská republika","Bratislava","81249","Nábr. arm. gen. L. Svobodu 5","Lucia Hucíková - ŠKOLÁĆIK MAJO","47880775","Slovenská republika","Brezovica","02801","Pekárenská 277","Kúpna zmluva","Nábytok, kancelársky nábytok","39000000-2 Nábytok (vrátane kancelárskeho nábytku), zariadenie interiéru, domáce spotrebiče (s výnimkou osvetlenia) a čistiace prostriedky;39100000-3 Nábytok;39130000-2 Kancelársky nábytok;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Nábr. arm. gen. L. Svobodu 5, ","11.4.2018 8:00:00","12.6.2018 14:00:00","","celý rozsah špecifikácie","1,0000","4100,000","20,000","4920,000","2400,000","6.4.2018 12:22:00",
"Z201812704","Z201812704_Z","Výskumný ústav vodného hospodárstva","00156850","Slovenská republika","Bratislava","81249","Nábr. arm. gen. L. Svobodu 5","BEGA, s.r.o.","36547654","Slovenská republika","Lehota","95136","Hlavná 5","Kúpna zmluva","Nábytok, kancelársky nábytok","39000000-2 Nábytok (vrátane kancelárskeho nábytku), zariadenie interiéru, domáce spotrebiče (s výnimkou osvetlenia) a čistiace prostriedky;39100000-3 Nábytok;39130000-2 Kancelársky nábytok;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Nábr. arm. gen. L. Svobodu 5, ","11.4.2018 8:00:00","14.6.2018 14:00:00","","celý rozsah špecifikácie","1,0000","3880,000","20,000","4656,000","2080,000","6.4.2018 13:52:00",
"Z201812833","Z201812833_Z","Malá Fatra","42219574","Slovenská republika","Žilina","01131","Námestie obetí komunizmu č.1","MARUNA, s.r.o. ","45401322","Slovenská republika","Terchová","01306","Terchová 999","Kúpna zmluva","Viacúčelový stroj-POLARIS RANGER s príslušenstvom","34113200-4 Terénne a cestné vozidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Námestie obetí komunizmu č.1","20.4.2018 7:02:00","31.5.2018 7:02:00","","celok","1,0000","18875,000","20,000","22650,000","2310,000","6.4.2018 11:40:00",
"Z201812903","Z201812903_Z","ŽILBYT, s.r.o.","46723994","Slovenská republika","Žilina","01015","Nanterská 8399/29","ELPAS, s.r.o.","36403199","Slovenská republika","Divina","01331","Divina 166","Zmluva o dielo","Inštalácia ePRVN (elektronických pomerových rozdeľovačov vykurovacích nákladov)","38551000-2 Merače energie;51210000-7 Inštalácia meracích zariadení;60000000-8 Dopravné služby (bez prepravy odpadu);90500000-2 Služby súvisiace s likvidáciou odpadu a odpadom","Služba;Tovar","","Slovenská republika","Žilinský","Žilina","Žilina","Nanterská 8399/29","1.5.2018 10:00:00","28.9.2018 10:00:00","","ks","3060,0000","64999,990","20,000","77999,990","91666,010","5.4.2018 10:58:00",
"Z201813093","Z201813093_Z","Úrad pre verejné obstarávanie","31797903","Slovenská republika","Bratislava","82109","Ružová dolina 10","CLEAN TONERY, s.r.o.","35891866","Slovenská republika","Pezinok","90201","Za Hradbami 27","Rámcová dohoda","ORIGINÁLNE TONERY","30125100-2 Tonerové náplne;30125110-5 Toner do laserových tlačiarní/faxových prístrojov;30125120-8 Toner do fotokopírovacích strojov","Tovar","","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Ružinov","Ružová dolina 10","","","","súbor všetkých položiek","1,0000","26666,670","20,000","32000,000","640,000","5.4.2018 10:38:00",
"Z201813345","Z201813345_Z","Slovenská zdravotnícka univerzita v Bratislave","00165361","Slovenská republika","Bratislava ","83303","Limbová 12","LABO - SK, s.r.o.","36365556","Slovenská republika","Bratislava","81102","Slávičie údolie 102/A","Rámcová dohoda","Laboratórny spotrebný materiál","33100000-1 Zdravotnícke vybavenie;33140000-3 Zdravotnícky spotrebný materiál;33192500-7 Skúmavky;33790000-4 Laboratórny, zdravotnícky alebo farmaceutický sklenený tovar;38000000-5 Laboratórne, optické a presné prístroje a vybavenie (s výnimkou skiel);38437000-7 Laboratórne pipety a príslušenstvo;38437100-8 Pipety;38437110-1 Pipetové hroty;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava","Bratislava","Limbová 14","","","","sada","1,0000","14400,000","20,000","17280,000","532,000","4.4.2018 10:38:00",
"Z201813452","Z201813452_Z","Mesto Žilina","00321796","Slovenská republika","Žilina","01131","Námestie obetí komunizmu 1","Hauerland spol. s r.o.","35777885","Slovenská republika","Bratislava","81104","Matúšova 56","Kúpna zmluva","Propagačné materiály","18931100-5 Batohy;18932000-1 Športové tašky;22816100-4 Poznámkové bloky;30194500-0 Písacie pomôcky;30237220-7 Podložky pod myš;37822100-7 Pastelky;39221120-4 Šálky a poháre;39221150-3 Termosky;39264000-0 Príslušenstvo pre rýchloviazače alebo zoraďovače;39294100-0 Informačné a propagačné výrobky;39295200-8 Dáždniky;39500000-7 Textilné výrobky;39514100-9 Uteráky;44424300-1 Reflexné pásky;60000000-8 Dopravné služby (bez prepravy odpadu);18331000-8 Tričká s krátkym rukávom;30192121-5 Guľôčkové perá;39254120-4 Nástenné hodiny","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Radničná 1","","","10.5.2018 9:00:00","ks","18465,0000","","","34778,000","1222,000","10.4.2018 10:46:00",
"Z201813461","Z201813461_Z","Spojená škola, Tilgnerova 14, Bratislava","31750214","Slovenská republika","Bratislava","84105","Tilgnerova 14","Ing. Peter Gerši - GC Tech.","36880574","Slovenská republika","Trenčín","91101","Jilemnického 6","Kúpna zmluva","Kancelársky papier","30197642-8 Papier na fotokopírovanie a xerografický papier;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava IV","Bratislava - mestská časť Karlova Ves","Tilgnerova 14","6.4.2018 10:00:00","12.4.2018 10:00:00","","krabica","40,0000","413,320","20,000","495,990","4,000","4.4.2018 9:52:00",
