"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z20187264","Z20187264_Z","Národná banka Slovenska","30844789","Slovenská republika","Bratislava - Staré Mesto","81325","Imricha Karvaša 1","HUMUSOFT, spol. s r.o.","40525872","Česká republika","Praha","18600","Pobřežní 20","Kúpna zmluva","Programové vybavenie MATLAB","48461000-7 Analytický alebo vedecký softvérový balík;72267000-4 Služby na údržbu a opravu softvéru","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Imricha Karvaša 1","5.3.2018 9:00:00","16.3.2018 21:00:00","","predmet zákazky ako celok","1,0000","19400,000","21,000","23474,000","0,000","1.3.2018 10:38:00",
"Z20187642","Z20187642_Z","Centrum sociálnych služieb Letokruhy","00647756","Slovenská republika","Žilina","01008","Karpatská 3117/9","INMEDIA, spol. s r.o.","36019208","Slovenská republika","Zvolen","96001","Námestie SNP 11","Rámcová dohoda","Vajcia akosť A trieda L, M","03142500-3 Vajcia;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Karpatská 3117/9","","","","súbor","1,0000","6666,670","20,000","8000,000","4720,000","2.3.2018 9:54:00",
"Z20187757","Z20187757_Z","Ústav na výkon väzby a Ústav na výkon trestu odňatia slobody","00738352","Slovenská republika","Žilina","01024","Hlboká cesta 21","INMEDIA, spol. s r.o.","36019208","Slovenská republika","Zvolen","96001","Námestie SNP 11","Rámcová dohoda","Paštéty, ryby v oleji","15131310-1 Paštéta;15131490-6 Pripravené bravčové pokrmy;15131600-1 Hovädzie a teľacie výrobky;15235000-4 Konzervované ryby;15871274-5 Nátierky na chlieb;15897200-4 Výrobky v konzerve;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Hlboká cesta č. 21","","","","sada","1,0000","3125,000","20,000","3750,000","1389,000","2.3.2018 10:38:00",
"Z20187967","Z20187967_Z","Centrum výcviku Lešť","00804932","Slovenská republika","Pliešovce","96263","Lešť","FRANCE-TECH, spol. s r.o.","36189359","Slovenská republika","Košice","04011","Rozvojová 1","Kúpna zmluva","Nákup a dodávka nového ľahkého dodávkového automobilu ","34136100-0 Ľahké dodávkové automobily;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Zvolen","Lešť (vojenský obvod)","Centrum výcviku Lešť, 962 63 Pliešovce","12.3.2018 8:00:00","30.4.2018 12:00:00","","ks","1,0000","15954,170","20,000","19145,000","854,990","2.3.2018 11:32:00",
"Z20188200","Z20188200_Z","Ministerstvo pôdohospodárstva a rozvoja vidieka Slovenskej republiky ","00156621","Slovenská republika","Bratislava","81266","Dobrovičova 12","PRESS & BURG s.r.o.","36445550","Slovenská republika","Bratislava","85102","Hrobákova 1633/1","Rámcová dohoda","Zabezpečenie cateringových služieb na rok 2018","55300000-3 Reštauračné služby a podávanie jedál;55400000-4 Služby spojené s podávaním nápojov;79952000-2 Služby na organizovanie podujatí","Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Dobrovičova 12","","","","celok","1,0000","16191,670","20,000","19430,000","2139,000","1.3.2018 17:16:00",
"Z20188235","Z20188235_Z","Saneca Pharmaceuticals a. s.","46833323","Slovenská republika","Hlohovec","92027","Nitrianska 100","Chromservis SK s.r.o.","45515930","Slovenská republika","Bratislava","836 03","Nobelova 34","Kúpna zmluva","HPLC spotrebný materiál","38432200-4 Chromatografy;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Hlohovec","Hlohovec","Nitrianska 100","2.4.2018 0:00:00","30.4.2018 0:00:00","","súbor","1,0000","33998,000","20,000","40797,600","2,000","8.3.2018 14:38:00",
"Z20188241","Z20188241_Z","Saneca Pharmaceuticals a. s.","46833323","Slovenská republika","Hlohovec","92027","Nitrianska 100","VWR International GmbH","FN 189903 w","Rakúska republika","Viedeň","1150","Graumanngasse 7","Kúpna zmluva","Laboratórny spotrebný materiál","33680000-0 Farmaceutické potreby;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Hlohovec","Hlohovec","Nitrianska 100","2.4.2018 0:00:00","30.4.2018 0:00:00","","súbor","1,0000","31000,000","20,000","37200,000","3000,000","8.3.2018 9:54:00",
"Z20188244","Z20188244_Z","Saneca Pharmaceuticals a. s.","46833323","Slovenská republika","Hlohovec","92027","Nitrianska 100","Mikrochem Trade, spol. s r.o.","35948655","Slovenská republika","Pezinok","90201","Za dráhou 33","Kúpna zmluva","Laboratórne sklo","33793000-5 Sklenené výrobky pre laboratóriá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Hlohovec","Hlohovec","Nitrianska 100","2.4.2018 0:00:00","30.4.2018 0:00:00","","súbor","1,0000","22950,000","20,000","27540,000","12050,000","8.3.2018 15:08:00",
"Z20188246","Z20188246_Z","Saneca Pharmaceuticals a. s.","46833323","Slovenská republika","Hlohovec","92027","Nitrianska 100","Mgr. Petr Stavinoha","75341093","Česká republika","Brno - Žabovřesky","61600","Bochořákova 2537/11","Kúpna zmluva","Platinový téglik","33790000-4 Laboratórny, zdravotnícky alebo farmaceutický sklenený tovar;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Hlohovec","Hlohovec","Nitrianska 100","2.4.2018 0:00:00","30.4.2018 0:00:00","","súbor","1,0000","4850,000","20,000","5820,000","4350,000","9.3.2018 8:20:00",
"Z20188250","Z20188250_Z","Saneca Pharmaceuticals a. s.","46833323","Slovenská republika","Hlohovec","92027","Nitrianska 100","VWR International GmbH","FN 189903 w","Rakúska republika","Viedeň","1150","Graumanngasse 7","Kúpna zmluva","Náhradné diely na sklenné duplikátorové reaktory LENZ","34913000-0 Rôzne náhradné diely;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Hlohovec","Hlohovec","Nitrianska 100","2.4.2018 0:00:00","30.4.2018 0:00:00","","súbor","1,0000","9090,000","20,000","10908,000","4910,000","9.3.2018 10:54:00",
