"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z20179826","Z20179826_Z","Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy","00227811","Slovenská republika","Vyšné Hágy","05984","1","DCX spol. s r.o.","47133694","Slovenská republika","Bratislava - mestská časť Staré Mesto","81109","ul. 29. augusta 36/A ","Rámcová dohoda","Parenterálna výživa - glukóza 10% 500ml","33692210-2 Roztoky pre parenterálnu výživu;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Poprad","Vyšné Hágy","","","","","ks","500,0000","429,000","10,000","471,900","0,000","4.4.2017 9:08:00",
"Z201712556","Z201712556_Z","EKO - podnik VPS","491870","Slovenská republika","Bratislava","83290","Halašova 20","Ing. Martin Mikulaj - CARNIHERBA","32076711","Slovenská republika","Bratislava","81102","Slávičie údolie 1569/10","Rámcová dohoda","Odborné orezy stromov, výruby stromov v sťažených podmienkach na pozemkoch v správe verejného obstarávateľa.","77211400-6 Orezávanie stromov;77211500-7 Údržba stromov","Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Halašova 20","","","","celý predmet zákazky ","1,0000","35000,000","20,000","42000,000","1080,000","4.4.2017 10:38:00",
"Z201713905","Z201713905_Z","Národný ústav srdcových a cievnych chorôb, a.s.","35971126","Slovenská republika","Bratislava","83348","Pod Krásnou hôrkou 1","MED - ART, spol. s r.o.","34113924","Slovenská republika","Nitra","94901","Hornočermánska 4","Kúpna zmluva","magnesium sulfuricum 10%","33617000-8 Minerálne doplnky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Pod Krásnou hôrkou 1","19.4.2017 8:58:00","19.4.2019 0:00:00","","10ml ampulka","52000,0000","27247,990","10,000","29972,790","0,010","6.4.2017 9:36:00",
"Z201713993","Z201713993_Z","Krajský súd v Nitre","35629738","Slovenská republika","Nitra","95048","Štúrova 9","Tibor Varga TSV PAPIER","32627211","Slovenská republika","Lučenec","98401","Vajanského 80","Kúpna zmluva","Kancelárske potreby","30192000-1 Kancelárske potreby;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Nitra","Nitra - Staré Mesto","Štúrova 9","11.4.2017 8:00:00","12.4.2017 13:00:00","","podľa popisu","1503,0000","","","450,000","550,000","5.4.2017 15:16:00",
"Z201714300","Z201714300_Z","Mesto Žilina","00321796","Slovenská republika","Žilina","01131","Námestie obetí komunizmu 1","POINT a.s. Žilina","31569706","Slovenská republika","Žilina","01008","Vysokoškolákov 35","Kúpna zmluva","Nákup špeciálneho osobného motorového vozidla (typ NISSAN NV200 KOMBI / ekvivalent)","34100000-8 Motorové vozidlá;34110000-1 Osobné automobily;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Osiková 26","","","5.6.2017 14:00:00","ks","1,0000","","","20160,000","0,000","5.4.2017 9:07:59",
"Z201714325","Z201714325_Z","Petržalský domov seniorov","30775205","Slovenská republika","Brtislava","85101","Rusovská cesta 58","STC MARTIN, s.r.o.","36427993","Slovenská republika","Martin","03601","E.B.Lukáča 2","Rámcová dohoda","Čistiace a pracie prostriedky, výrobky na upratovanie","33771000-5 Hygienické výrobky z papiera;39224300-1 Metly a kefy a iné výrobky na upratovanie domácností;39830000-9 Čistiace výrobky;39831000-6 Pracie prostriedky;39831200-8 Saponáty;39831300-9 Čistiace prostriedky na podlahu;39831600-2 Čistiace prostriedky na toalety;39832000-3 Čistiace prostriedky na riad;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava V","Bratislava - mestská časť Petržalka","Rusovská cesta 58","","","","ks","10967,0000","13250,000","20,000","15900,000","3265,990","6.4.2017 9:44:00",
"Z201713078","Z201713078_Z","Slovenský hydrometeorologický ústav","00156884","Slovenská republika","Bratislava","833 15","Jeséniova 17","BURSA, s.r.o.","36055123","Slovenská republika","Banská Bystrica","97401","Partizánska cesta 70","Zmluva o poskytovaní služieb","Vypracovanie projektovej dokumentácie na rekonštrukciu a obnovu 120 monitorovacích objektov podzemných vôd resp. prírodných vôd na prameňoch a nacenenie predpokladaných rekonštrukčných prác v súlade so spracovaným projektom pre každý prameň samostatne","41100000-0 Prírodná voda;71320000-7 Inžinierske projektovanie","Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Jeséniova 17","20.4.2017 8:00:00","31.10.2017 14:00:00","","počet","120,0000","147000,000","20,000","176400,000","59000,000","6.4.2017 12:50:00",
"Z201714380","Z201714380_Z","Štátny pedagogický ústav","30807506","Slovenská republika","Bratislava","83000","Pluhová 8","PRYZMAT Slovakia, s.r.o.","35882891","Slovenská republika","Bratislava","81107","Krížna 19","Kúpna zmluva","tonery (originál)","30125000-1 Časti a príslušenstvo fotokopírovacích prístrojov;30125100-2 Tonerové náplne;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","","","","7.4.2017 9:30:00","ks","40,0000","1258,330","20,000","1510,000","986,000","4.4.2017 10:42:00",
"Z201714395","Z201714395_Z","Mestská časť Bratislava - Dúbravka","00603406","Slovenská republika","Bratislava","84402","Žatevná 2","Dopravné značenie Bratislava, s. r. o.","50461869","Slovenská republika","Štvrtok na Ostrove","93040","Alžbetínska 169","Rámcová dohoda","Zvislé dopravné značenie a vodorovné dopravné značenie na miestnych komunikáciách","34920000-2 Cestné príslušenstvo;45233221-4 Natieračské práce povrchu vozoviek","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava IV","Bratislava - mestská časť Dúbravka","","","","","celý predmet zákazky","1,0000","43741,580","20,000","52489,900","6190,100","5.4.2017 11:04:00",
"Z201714403","Z201714403_Z","Ústredný kontrolný a skúšobný ústav poľnohospodársky","00156582","Slovenská republika","Bratislava - Nové Mesto","83316","Matúškova 21","Lamitec, spol. s r.o.","35710691","Slovenská republika","Bratislava","82104","Pestovateľská 16147/9","Kúpna zmluva","Kancelárske potreby","30192000-1 Kancelárske potreby;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Matúškova č. 21","10.4.2017 9:55:00","11.4.2017 9:56:00","","balenie","1,0000","329,170","20,000","395,000","985,000","4.4.2017 10:50:00",
