"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z2022654","Z2022654_Z","Spišská katolícka charita","35514221","Slovenská republika","Spišská Nová Ves","05201","Slovenská 1765/30","Mário Drahoš","53103092","Slovenská republika","Veľké Zálužie","95135","Titváň 39/14","Kúpna zmluva","Čistiace a dezinfekčné prostriedky , hygienické potreby","19640000-4 Polyetylénový odpad a odpadkové vrecká a vaky;33760000-5 Toaletný papier, vreckovky, uteráky na ruky a servítky;39800000-0 Čistiace a leštiace výrobky;39830000-9 Čistiace výrobky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Spišská Nová Ves","Spišské Vlachy","Požiarnická 49","4.2.2022 8:00:00","7.2.2022 13:00:00","","ks","2035,0000","766,670","20,000","920,000","280,000","1.2.2022 8:46:00","",
"Z2022602","Z2022602_Z","Ústav na výkon väzby a Ústav na výkon trestu odňatia slobody","00738255","Slovenská republika","Bratislava","81229","Chorvátska 5","CIBEX, s.r.o.","46491091","Slovenská republika","Žilina","01001","Kamenná 11","Kúpna zmluva","Pánska polokošeľa biela dlhý rukáv","18100000-0 Pracovné odevy, špeciálne pracovné odevy a doplnky;18235300-8 Tričká s dlhým rukávom;39221180-2 Kuchárske potreby;39500000-7 Textilné výrobky;60000000-8 Dopravné služby (bez prepravy odpadu);18333000-2 Polokošele","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Chorvátska 5","7.2.2022 8:00:00","11.2.2022 14:00:00","","ks","30,0000","245,830","20,000","295,000","139,160","1.2.2022 9:18:00","",
"Z2022250","Z2022250_Z","Technická univerzita vo Zvolene","00397440","Slovenská republika","Zvolen","96053","T. G. Masaryka 24","KVANT spol. s r.o.","31398294","Slovenská republika","Bratislava","84248","Fakulta matematiky, fyziky a informatiky UK, Mlynská Dolina ","Kúpna zmluva","Laboratórny hlbokomraziaci box","42513100-6 Mraziace zariadenia;51100000-3 Inštalácia elektrických a mechanických zariadení;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Zvolen","Zvolen","T. G. Masaryka 24","21.3.2022 7:00:00","16.5.2022 15:00:00","","ks","1,0000","12135,830","20,000","14563,000","0,800","1.2.2022 10:38:00","",
"Z2022352","Z2022352_Z","Stredná odborná škola technická, Kukučínova 23, Košice","00893340","Slovenská republika","Košice","04001","Kukučínova 23","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika","Žilina","01001","Kálov 356","Rámcová dohoda","Stravné poukážky ","30199770-8 Stravné poukážky;55520000-1 Služby hromadného stravovania;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice I","Košice - mestská časť Staré Mesto","Kukučínova 23","","","","ks","10000,0000","40979,500","","40979,500","20,490","1.2.2022 10:38:00","",
"Z2022269","Z2022269_Z","Lesopoľnohospodársky majetok Ulič, štátny podnik","00492531","Slovenská republika","Ulič","06767","Ulič 96","Sano - Moderná výživa zvierat s.r.o.","31354190","Slovenská republika","Bratislava","84104","Dlhé Diely I. 23/a","Kúpna zmluva","Kŕmna zmes ako náhrada mlieka pre odchov teliat. ","03114200-5 Krmoviny;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Snina","Ulič","067 67 Ulič 96","7.2.2022 7:00:00","14.2.2022 14:00:00","","kg","1500,0000","2970,000","20,000","3564,000","0,000","1.2.2022 10:38:00","",
"Z2022468","Z2022468_Z","Obec Trnava pri Laborci","00325902","Slovenská republika","Trnava pri Laborci","07231","Trnava pri Laborci 163","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika","Žilina","01001","Kálov 356","Kúpna zmluva","Stravné lístky alebo ekvivalent","30199770-8 Stravné poukážky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Michalovce","Trnava pri Laborci","Trnava pri Laborci, 163","15.3.2022 8:00:00","30.12.2022 23:59:00","","ks","1100,0000","4947,530","","4947,530","2,460","1.2.2022 10:38:01","",
"Z20221169","Z20221169_Z","SERVIS DpH, s. r. o.","52809528","Slovenská republika","Družstevná pri Hornáde","04431","Hlavná 40","UNICAR, s.r.o.","36409022","Slovenská republika","Liptovský Mikuláš","03101","ul. 1. Mája č 68/1848","Kúpna zmluva","Peugeot Boxer 435 L4, 2.2 BlueHDi 165k dvojkabína kabína, 3-stranný sklápač alebo ekvivalentý výrobok","34130000-7 Motorové vozidlá na prepravu tovaru;34136000-9 Dodávkové automobily;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice - okolie","Družstevná pri Hornáde","Hlavná 40","14.3.2022 13:55:00","31.10.2022 13:55:00","","ks","1,0000","32190,000","20,000","38628,000","2808,000","28.2.2022 14:54:00","",
"Z20221398","Z20221398_Z","Krajská prokuratúra","00166456","Slovenská republika","Banská Bystrica","97562","Partizánska cesta 1","Tibor Varga TSV PAPIER","32627211","Slovenská republika","Lučenec","98401","Vajanského 80","Kúpna zmluva","Spotrebný kancelársky materiál","30197000-6 Drobné kancelárske vybavenie;30199000-0 Papiernický tovar a iné položky;30199230-1 Obálky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","Partizánska cesta 1","2.3.2022 14:18:00","7.3.2022 14:19:00","","ks/bal","1586,0000","3720,000","20,000","4464,000","2535,980","28.2.2022 15:10:00","",
"Z20221098","Z20221098_Z","Mesto Galanta","00305936","Slovenská republika","Galanta","92418","Mierové námestie 940/1","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika","Žilina","01001","Kálov 356","Zmluva o poskytovaní služieb","Zabezpečenie stravovania zamestnancov prostredníctvom stravných lístkov","30199770-8 Stravné poukážky;55520000-1 Služby hromadného stravovania;60000000-8 Dopravné služby (bez prepravy odpadu)","Služba;Tovar","","Slovenská republika","Trnavský","Galanta","Galanta","Mierové nám. č.  940/1","4.3.2022 20:05:00","29.2.2024 20:05:00","","ks","27222,0000","112542,430","","112542,430","67,570","28.2.2022 15:38:00","",
"Z20221540","Z20221540_Z","Obec Prusy","00311006","Slovenská republika","Prusy","95703","111","BINS s.r.o.","45510393","Slovenská republika","Nitra","949 01","Vašinova 61","Kúpna zmluva","Nádoba na odpad 120 l plast - čierny","34928480-6 Kontajnery a nádoby na odpad a odpadky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Bánovce nad Bebravou","Prusy","Prusy 111","3.3.2022 15:30:00","11.3.2022 15:30:00","","ks","10,0000","185,000","20,000","222,000","115,000","28.2.2022 16:20:00","",
