"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201730101","Z201730101_Z","Košický samosprávny kraj","35541016","Slovenská republika","Košice","04266","Námestie Maratónu mieru 1","BEGA, s.r.o.","36547654","Slovenská republika","Lehota","95136","Hlavná 5","Kúpna zmluva","Vybavenie priestorov Integrovaného poradenského centra - Interiérové vybavenie","39000000-2 Nábytok (vrátane kancelárskeho nábytku), zariadenie interiéru, domáce spotrebiče (s výnimkou osvetlenia) a čistiace prostriedky;39112000-0 Stoličky;39113000-7 Rôzne sedadlá a stoličky;39113100-8 Kreslá;39120000-9 Stoly, skrine, písacie stoly a knižnice;39121000-6 Písacie stoly a stoly;39121100-7 Písacie stoly;39121200-8 Stoly;39122000-3 Skrine a knižnice;39130000-2 Kancelársky nábytok;39136000-4 Vešiaky na kabáty;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice I","Košice - mestská časť Staré Mesto","Strojárenská 3","17.7.2017 8:00:00","11.10.2017 16:00:00","","súbor","1,0000","2158,000","20,000","2589,600","4,390","6.7.2017 16:38:00",
"Z201730197","Z201730197_Z","Košický samosprávny kraj","35541016","Slovenská republika","Košice","04266","Námestie Maratónu mieru 1","HENRYSO, s.r.o.","50687115","Slovenská republika","Nitra","94901","Fraňa Mojtu 22","Kúpna zmluva","Vybavenie priestorov Integrovaného poradenského centra - Prevádzkové stroje, prístroje","30100000-0 Kancelárske stroje, vybavenie a spotrebný materiál s výnimkou počítačov, tlačiarní a nábytku;30123500-2 Dierovacie stroje;30195000-2 Tabule;30197210-1 Krúžkové viazače;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice I","Košice - mestská časť Staré Mesto","Strojárenská 3","17.7.2017 8:00:00","11.10.2017 16:00:00","","súbor","1,0000","269,070","20,000","322,890","0,010","6.7.2017 16:38:00",
"Z201730210","Z201730210_Z","Košický samosprávny kraj","35541016","Slovenská republika","Košice","04266","Námestie Maratónu mieru 1","HENRYSO, s.r.o.","50687115","Slovenská republika","Nitra","94901","Fraňa Mojtu 22","Kúpna zmluva","Vybavenie priestorov Integrovaného poradenského centra - Kávovar","39711310-5 Elektrické kávovary;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice I","Košice - mestská časť Staré Mesto","Strojárenská 3","17.7.2017 8:00:00","11.10.2017 16:00:00","","súbor","1,0000","275,000","20,000","330,000","27,600","6.7.2017 16:44:00",
"Z201730619","Z201730619_Z","Obec Zákamenné","00315001","Slovenská republika","Zákamenné","02956","Zákamenné 1002","DKL-Trans. s.r.o.","46344586","Slovenská republika","Rabča","02944","Ferletova 1111/2","Kúpna zmluva","Dodanie kameniva","14210000-6 Štrk, piesok, drvený kameň a štrkopiesky (do betónu);14212300-3 Drvený a mletý kameň;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Námestovo","Zákamenné","Zákamenné 1002","13.7.2017 10:00:00","13.10.2017 10:00:00","","celok","1,0000","31900,000","20,000","38280,000","8220,000","3.7.2017 10:08:00",
"Z201730722","Z201730722_Z","OBECNÝ PODNIK SLUŽIEB CHTELNICA, spol. s r.o.","36231258","Slovenská republika","Chtelnica","92205","Nám. 1. mája 4595/52","STAVCENTRUM SPIŠ s.r.o.","36658677","Slovenská republika","Spišská Nová Ves","05201","Fabíniho 28","Kúpna zmluva","tepelnoizolačný materiál","31650000-7 Izolačné príslušenstvo;44111520-2 Tepelnoizolačný materiál;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Piešťany","Chtelnica","","7.7.2017 10:00:00","27.7.2017 10:00:00","","ks","11346,8800","32000,000","20,000","38400,000","8000,000","3.7.2017 9:42:00",
"Z201730966","Z201730966_Z","Seniorcentrum Staré mesto","42133661","Slovenská republika"," Bratislava","81103","Podjavorinskej 6","Tuzexx s. r. o.","45542759","Slovenská republika","Bratislava","81106","Sládkovičova 4 ","Zmluva o poskytovaní služieb","Pranie, chemické čistenie, žehlenie a doprava prádla","60000000-8 Dopravné služby (bez prepravy odpadu);98310000-9 Pranie a chemické čistenie","Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Podjavorinskej 6","10.7.2017 8:04:00","9.7.2020 0:00:00","","ks","49200,0000","21666,670","20,000","26000,000","499,600","3.7.2017 8:52:00",
"Z201731000","Z201731000_Z","Centrum sociálnych služieb-Bôrik","00648710","Slovenská republika","Nitrianske Pravno","97213","Žltá 319/25","CIBEX, s.r.o.","46491091","Slovenská republika","Žilina","01001","Kamenná 11","Kúpna zmluva","Pracovná obuv","18830000-6 Ochranná obuv;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Prievidza","Nitrianske Pravno","Žltá 319/25","1.8.2017 8:56:00","4.8.2017 8:57:00","","celok","1,0000","804,170","20,000","965,000","134,990","3.7.2017 9:44:00",
"Z201730954","Z201730954_Z","Stredná odborná škola, Námestie SNP 5, Partizánske","50424891","Slovenská republika","Partizánske","95823","Námestie SNP 5","DIDACTIC Martin, s.r.o.","36374881","Slovenská republika","Martin","03601","Novomeského 5/24","Kúpna zmluva","CNC sústruh a programová stanica a software 12 ks","30213000-5 Osobné počítače;42621100-6 CNC sústruhy;60000000-8 Dopravné služby (bez prepravy odpadu);72268000-1 Dodávky softvéru","Tovar;Služba","","Slovenská republika","Trenčiansky","Partizánske","Partizánske","Námestie SNP 5","1.8.2017 0:00:00","31.8.2017 0:00:00","","Technická špecifikácia predmetu zákazky- celok","1,0000","95041,670","20,000","114050,000","93,280","3.7.2017 10:38:00",
"Z201731007","Z201731007_Z","Správa ciest Žilinského samosprávneho kraja","42054575","Slovenská republika","Žilina","01001","M. Rázusa 104","CESTY SK s.r.o.","36580058","Slovenská republika","Košice","04001","Mojmírova 8","Zmluva o dielo","Zosilnenie povrchu cesty v okrese Čadca, k.ú. Olešná (4 úseky) ","45000000-7 Stavebné práce;45233142-6 Práce na oprave ciest;45233223-8 Obnova povrchu vozoviek;60000000-8 Dopravné služby (bez prepravy odpadu)","Stavebná práca","","Slovenská republika","Žilinský","Čadca","Olešná","","14.7.2017 6:00:00","31.7.2017 13:00:00","","m2","20300,0000","149999,000","20,000","179998,800","70001,000","3.7.2017 10:03:03",
"Z201729815","Z201729815_Z","Jadrová a vyraďovacia spoločnosť, a.s.","35946024","Slovenská republika","Bratislava","82102","Tomášikova 22","IBO s.r.o.","36340073","Slovenská republika","Trenčín","91105","Bratislavská 50","Kúpna zmluva","Ultrazvukový odpudzovač vtáctva","31000000-6 Elektrické stroje, prístroje, zariadenia a spotrebný tovar; osvetlenie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Trnava","Jaslovské Bohunice","Areál JE V1","14.7.2017 0:00:00","14.8.2017 0:00:00","","ks","1,0000","330,000","20,000","396,000","0,000","6.7.2017 10:38:00",
"Z201731046","Z201731046_Z","Okresný súd Banská Bystrica","00165735","Slovenská republika","Banská Bystrica","97559","Skuteckého 28","Simply supplies a.s.","36283355","Slovenská republika","Bratislava","83104","Bojnická 3","Kúpna zmluva","laserová tlačiareň sieťová ","30232110-8 Laserové tlačiarne;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","Skuteckého 28","","","20.7.2017 9:00:00","ks","10,0000","","","3740,000","160,000","10.7.2017 10:00:00",
