"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z20244503","Z20244503_Z","Inšpektorát práce Banská Bystrica","00166375","Slovenská republika","Banská Bystrica","97433","Partizánska cesta 98","SLOVNAFT, a.s. ","31322832","Slovenská republika","Bratislava ","82412","Vlčie hrdlo 1","Rámcová dohoda","Nákup pohonných hmôt do motorových vozidiel na palivové karty","09132100-4 Bezolovnatý benzín;09134100-8 Motorová nafta;30163100-0 Karty na čerpanie pohonnýchlátok","Tovar;Služba","","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","Partizánska cesta 98","","","","liter","10500.0000","15185.460","20.000","18222.550","377.450","7/8/2024 9:42:00 AM","",
"Z20244913","Z20244913_Z","Univerzitná nemocnica L. Pasteura Košice","00606707","Slovenská republika","Košice","04190","Rastislavova 43","Branislav Polák TOM - line","41949552","Slovenská republika","Pezinok","90201","Mýtna 42","Rámcová dohoda","Kancelárske a lekárske stoličky","39110000-6 Sedadlá, stoličky a podobné výrobky a súvisiace časti;39112000-0 Stoličky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice IV","Košice - mestská časť Juh","Rastislavova 43, 041 90 Košice","","","","celok","1.0000","14999.000","20.000","17998.800","8329.500","7/1/2024 4:16:00 PM","",
"Z20244946","Z20244946_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","RAMOTECH s. r. o.","52700763","Slovenská republika","Bardejov","08501","Richvald 123","Kúpna zmluva","Ostatné interiérové vybavenie																																																	","30190000-7 Rôzne kancelárske zariadenia a kancelárske potreby;39100000-3 Nábytok;39130000-2 Kancelársky nábytok;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Zvolen","Zvolen","Borovianska cesta 1","7/4/2024 7:33:00 AM","8/8/2024 10:00:00 AM","","súbor (podľa technickej špecifikácie)","1.0000","4491.800","20.000","5390.160","0.000","7/1/2024 10:38:00 AM","",
"Z20244974","Z20244974_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","ŠTÝL EU s.r.o.","45329478","Slovenská republika","Vyšný Kazimír","09409","Vyšný Kazimír 23","Kúpna zmluva","Nádoby, obaly a obalový materiál","18925200-1 Puzdrá;44610000-9 Cisterny, zásobníky, kontajnery a tlakové nádoby;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Michalovce","Michalovce","Hviezdoslavova 1","7/8/2024 8:00:00 AM","7/31/2024 2:00:00 PM","","súbor podľa opisného formulára","1.0000","2940.000","20.000","3528.000","668.800","7/2/2024 9:14:00 AM","",
"Z20245006","Z20245006_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","Radek Tykva","63942224","Česká republika","Líšnice","25210","Líšnice e.v.512","Zmluva o poskytovaní služieb","Opravy a servis Modulárnych hál s nafukovacou konštrukciou, Stanov univerzálnych TPSE s nafukovacou konštrukciou a ich príslušenstva","31000000-6 Elektrické stroje, prístroje, zariadenia a spotrebný tovar; osvetlenie;50000000-5 Opravárske a údržbárske služby;50530000-9 Opravy a údržba strojov;50800000-3 Rôzne opravárske a údržbárske služby;50830000-2 Oprava odevov a textilu;60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","Slovenská republika","Nitriansky","Topoľčany","Topoľčany","Tovarnícka 1249","7/15/2024 7:53:00 AM","9/30/2024 7:53:00 AM","","Počty sú uvedené v opisnom formulári. ","1.0000","16458.330","20.000","19750.000","249.200","7/8/2024 10:40:00 AM","",
"Z20244965","Z20244965_Z","Mesto Hlohovec","00312509","Slovenská republika","Hlohovec","92001","M.R.Štefánika 1","JURIGA spol. s r. o.","31344194","Slovenská republika","Bratislava","85101","Gercenova 3","Rámcová dohoda","Originál tonery do Konica Minolta, Lexmark a atramentové kazety Canon ImagePROGRAF TM-300","30120000-6 Zariadenia na fotokopírovanie a ofsetovú tlač;30125000-1 Časti a príslušenstvo fotokopírovacích prístrojov;30125100-2 Tonerové náplne;30125110-5 Toner do laserových tlačiarní/faxových prístrojov;60000000-8 Dopravné služby (bez prepravy odpadu);90500000-2 Služby súvisiace s likvidáciou odpadu a odpadom;90510000-5 Likvidácia a spracovanie odpadu","Tovar;Služba","","Slovenská republika","Trnavský","Hlohovec","Hlohovec","M. R. Štefánika 1","","","","ks","85.0000","4416.670","20.000","5300.000","569.990","7/1/2024 11:24:00 AM","",
"Z20245016","Z20245016_Z","Prešovská univerzita v Prešove","17070775","Slovenská republika","Prešov","08001","Ul. 17. novembra 15","DMC, s.r.o.","36777455","Slovenská republika","Nové Zámky","94064","J. Murgaša 100","Zmluva o poskytovaní služieb","Tlačiarenské služby","60000000-8 Dopravné služby (bez prepravy odpadu);79810000-5 Tlačiarenské služby","Služba;Tovar","","Slovenská republika","Prešovský","Prešov","Prešov","ul. Biskupa Gojdiča 2, GTF","","","7/15/2024 10:00:00 AM","ks","50.0000","144.550","10.000","159.000","215.000","7/1/2024 9:46:00 AM","",
"Z20245017","Z20245017_Z","Prešovská univerzita v Prešove","17070775","Slovenská republika","Prešov","08001","Ul. 17. novembra 15","CLEAN TONERY, s.r.o.","35891866","Slovenská republika","Pezinok","90201","Za Hradbami 27","Kúpna zmluva","Tonery a príslušenstvo","30125000-1 Časti a príslušenstvo fotokopírovacích prístrojov;30125100-2 Tonerové náplne;30125120-8 Toner do fotokopírovacích strojov;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Prešov","Prešov","ul. 17. novembra č.15, Rektorát","","","7/17/2024 11:00:00 AM","ks","28.0000","2157.700","20.000","2589.240","0.000","7/1/2024 9:38:00 AM","",
"Z20245018","Z20245018_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","IGGY-TRADE s.r.o.","46729445","Slovenská republika","Čajkov","93524","Čajkov 126","Kúpna zmluva","Kancelárske potreby																																																","30192000-1 Kancelárske potreby;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Zvolen","Zvolen","Borovianska cesta 1","7/8/2024 9:03:00 AM","8/9/2024 9:04:00 AM","","súbor (podľa technickej špecifikácie)","1.0000","12255.490","20.000","14706.590","0.000","7/3/2024 9:40:00 AM","",
"Z20245023","Z20245023_Z","Generálne riaditeľstvo Zboru väzenskej a justičnej stráže","00212008","Slovenská republika","Bratislava","82108","Šagátova 1","Vision IT Solutions, a. s.","36815799","Slovenská republika","Bratislava","81109","Pribinova 25","Kúpna zmluva","Aktualizácia (support od výrobcu) bezpečnostného prvku siete – HW","50324100-3 Údržba systémov;72250000-2 Služby týkajúce sa podpory systému;72261000-2 Softvérové podporné služby","Služba","","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Ružinov","Šagátova 1","7/18/2024 12:01:00 AM","12/31/2024 11:59:00 PM","","v celom rozsahu","1.0000","30840.000","20.000","37008.000","0.000","7/4/2024 9:38:00 AM","",
