"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z20246230","Z20246230_Z","Mesto Poprad","00326470","Slovenská republika","Poprad","05801","Nábrežie Jána Pavla II. 2802/3","ICETECHNIK.CZ, s.r.o.","08996792","Česká republika","Hostín u Vojkovic","27744","č.p. 133","Kúpna zmluva","ZŠ - Rolba na ľadovú plochu","37481000-3 Stroje na úpravu ľadovej plochy;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Poprad","Poprad","Nábrežie Jána Pavla II. 2802/3","8/6/2024 7:30:00 AM","9/16/2024 4:00:00 PM","","kus","1.0000","143800.000","21.000","173998.000","0.000","8/2/2024 10:38:00 AM","",
"Z20246663","Z20246663_Z","Nemocnica s poliklinikou n.o. Kráľovský Chlmec","45737967","Slovenská republika","Kráľovský Chlmec","07701","Nemocničná 8","EKONA COR s.r.o.","04387601","Česká republika","Hranice IV-Drahotuše","75361","Hranická 225","Kúpna zmluva","Nákup 2 injekčných dávkovačov","33000000-0 Zdravotnícke vybavenie, farmaceutický materiál a výrobky osobnej starostlivosti;60000000-8 Dopravné služby (bez prepravy odpadu);80511000-9 Školenie pracovníkov","Tovar;Služba","","Slovenská republika","Košický","Trebišov","Kráľovský Chlmec","Nemocničná 1125/8","9/2/2024 12:00:00 AM","10/16/2024 4:00:00 PM","","ks","2.0000","1800.000","21.000","2178.000","386.000","8/15/2024 1:38:00 PM","",
"Z20246664","Z20246664_Z","Nemocnica s poliklinikou n.o. Kráľovský Chlmec","45737967","Slovenská republika","Kráľovský Chlmec","07701","Nemocničná 8","EKONA COR s.r.o.","04387601","Česká republika","Hranice IV-Drahotuše","75361","Hranická 225","Kúpna zmluva","Nákup EKG prístroja","33123200-0 Elektrokardiografické prístroje;60000000-8 Dopravné služby (bez prepravy odpadu);80511000-9 Školenie pracovníkov","Tovar;Služba","","Slovenská republika","Košický","Trebišov","Kráľovský Chlmec","Nemocničná 1125/8","9/2/2024 12:00:00 AM","10/16/2024 4:00:00 PM","","ks","1.0000","750.000","21.000","907.500","1185.800","8/15/2024 11:44:00 AM","",
"Z20246560","Z20246560_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","SPORTBART, s.r.o.","06680429","Česká republika","Ústí nad Orlicí","56201","Barcalova 142","Kúpna zmluva","Športové a rekreačné vybavenie","37410000-5 Výbava pre športy vo voľnej prírode alebo na ihrisku;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","8/19/2024 2:05:00 PM","9/3/2024 2:05:00 PM","","celý predmet zákazky ","1.0000","220.830","20.000","265.000","83.000","8/9/2024 1:08:00 PM","",
"Z20246348","Z20246348_Z","Ústav na výkon trestu odňatia slobody","00738417","Slovenská republika","Nitra-Chrenová","95061","Vašinova 124/59","BYTOVÝ TEXTIL Škodák a.s.","06021255","Česká republika","Napajedla","763 61","Kvítkovická 1528","Kúpna zmluva","Tkané materiály","19212000-5 Bavlnené tkaniny;19212310-1 Tkaniny v plátnovej väzbe;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Nitra","Nitra","Vašinova 124/59","8/9/2024 8:00:00 AM","11/29/2024 2:00:00 PM","","podľa technickej špecifikácie predmetu zákazky","1.0000","4500.000","20.000","5400.000","0.000","8/6/2024 9:38:00 AM","",
"Z20246739","Z20246739_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","SPORTBART, s.r.o.","06680429","Česká republika","Ústí nad Orlicí","56201","Barcalova 142","Kúpna zmluva","Športové a rekreačné vybavenie","18412000-0 Športové odevy;18523000-1 Stopky;37451700-1 Futbalové lopty;37451730-0 Futbalové tréningové pomôcky;37452200-3 Basketbalové lopty;37452900-0 Volejbalové lopty;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Martin","Martin","Československej armády 3","8/19/2024 10:59:00 AM","9/3/2024 10:59:00 AM","","zákazka","1.0000","832.000","20.000","998.400","0.000","8/14/2024 9:38:00 AM","",
"Z20246736","Z20246736_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","BYTOVÝ TEXTIL Škodák a.s.","06021255","Česká republika","Napajedla","763 61","Kvítkovická 1528","Kúpna zmluva","Výstroj - galantérny materiál ","18451000-5 Gombíky;18453000-9 Zipsy;19210000-1 Tkaniny;19435000-4 Šijacie priadze a nite z prírodných vlákien;19435100-5 Šijacie nite;39562000-9 Plsť;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Trenčín","Nemšová","Slovenskej armády 52","8/15/2024 11:00:00 AM","8/21/2024 2:00:00 PM","","súbor( podľa technickej špecifikácie)- m, ks, bal","1.0000","11583.330","20.000","13900.000","1700.000","8/14/2024 8:40:00 AM","",
"Z20246703","Z20246703_Z","Slovenská zdravotnícka univerzita v Bratislave","00165361","Slovenská republika","Bratislava ","83303","Limbová 12","Thermo Fisher Diagnostics CZ s.r.o.","27754146","Česká republika","Brněnské Ivanovice","62000","Kaštanová 539/64","Kúpna zmluva","Krvné kultúry","24960000-1 Rôzne chemické výrobky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava","Bratislava","Limbová 14","8/16/2024 10:00:00 AM","9/3/2024 1:00:00 PM","","sada","1.0000","394.200","","","511.800","8/13/2024 2:54:00 PM","",
"Z20246657","Z20246657_Z","Dopravný podnik mesta Košice, akciová spoločnosť","31701914","Slovenská republika","Košice","04329","Bardejovská 6","ADIP, spol. s r. o.","42341001","Česká republika","Ostrava","70200","Vítkovická 3083/1","Kúpna zmluva","Náhradné diely na autobusy Solaris U12 - hnacie ústrojenstvo","34121100-2 Autobusy verejnej dopravy;42111000-0 Motory a hnacie zariadenia;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Košický","Košice","Košice","Hornádska 10","","","8/20/2024 1:30:00 PM","celok","1.0000","860.000","","860.000","0.000","8/13/2024 11:24:00 AM","",
"Z20246411","Z20246411_Z","Správa ciest Košického samosprávneho kraja","35555777","Slovenská republika","Košice","04266","Námestie Maratónu mieru 1","Pasz s. r. o.","05004209","Česká republika","Orlová","73511","V Zimném dole 758","Rámcová dohoda","Studená asfaltová zmes ","44113320-4 Obalené cestné kamene;44113700-2 Materiály na opravu ciest;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice","Košice","Námestie Maratónu mieru 1","","","","tona","160.0000","31000.000","20.000","37200.000","8680.000","8/5/2024 12:50:00 PM","",
