"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201715242","Z201715242_Z","Národný onkologický ústav","00165336","Slovenská republika","Bratislava","83110","Klenová 1","B.Braun Medical s.r.o.","31350780","Slovenská republika","Bratislava","83103","Hlučínska 3","Rámcová dohoda","Alkoholový dezinfekčný prostriedok k priamemu použitiu pre rýchlu dezinfekciu malých plôch a predmetov","24455000-8 Dezinfekčné prostriedky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Klenová 1","","","","ban","80,0000","1600,000","","","24,000","3.5.2017 13:38:00",
"Z201717523","Z201717523_Z","Mesto Trnava","00313114","Slovenská republika","Trnava","91771","Hlavná 1","PANORAMA SLOVAKIA, s.r.o.","36045926","Slovenská republika","Lučenec","98401","Kolonáda 4685","Zmluva o dielo","Výmena výplní otvorov a stavebné úpravy ","44221100-6 Okná;44221200-7 Dvere;45000000-7 Stavebné práce;45262520-2 Murárske práce;45440000-3 Maliarske, natieračské a sklenárske práce","Stavebná práca;Tovar;Služba","","Slovenská republika","Trnavský","Trnava","Trnava","Ulica Kornela Mahra 11","26.6.2017 8:00:00","25.8.2017 10:00:00","","celok","1,0000","117845,000","20,000","141414,000","135662,400","3.5.2017 10:03:02",
"Z201718059","Z201718059_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","SYNTCHEM, spol. s r.o.","36010481","Slovenská republika","Chrenovec-Brusno","972 32","Chrenovec-Brusno 198","Kúpna zmluva","Dekontaminačná utierka ","33631200-4 Zmäkčovadlá a ochranné prostriedky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Žilinský","Liptovský Mikuláš","Liptovský Mikuláš","Pod Stráňami 1","15.5.2017 8:00:00","29.9.2017 13:00:00","","ks/balenie","120,0000","11520,000","20,000","13824,000","0,000","3.5.2017 10:18:00",
"Z201718385","Z201718385_Z","Centrum sociálnych služieb - Jesienka","00596264","Slovenská republika","Myjava","90701","Staromyjavská 77","JVD papier s.r.o.","36273350","Slovenská republika","Myjava","90701","M. R. Štefánika 564","Kúpna zmluva","Zlúčeniny na čistenie","24000000-4 Chemické výrobky;24300000-7 Základné anorganické a organické chemikálie;39800000-0 Čistiace a leštiace výrobky;39830000-9 Čistiace výrobky;39831000-6 Pracie prostriedky;39831240-0 Zlúčeniny na čistenie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Myjava","Myjava","Staromyjavská 77","15.5.2017 12:01:00","30.4.2018 12:01:00","","ks","91,0000","","","10491,000","1,000","10.5.2017 10:38:00",
"Z201716171","Z201716171_Z","Slovenský hydrometeorologický ústav","00156884","Slovenská republika","Bratislava","833 15","Jeséniova 17","RNDr. Ján Šepeľák","47789581","Slovenská republika","Michalovce","07101","Pri sýpke 1225/12","Kúpna zmluva","Nákup laboratórnych pomôcok.","33790000-4 Laboratórny, zdravotnícky alebo farmaceutický sklenený tovar;38437000-7 Laboratórne pipety a príslušenstvo;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Jeséniova 17","18.5.2017 8:00:00","20.7.2017 14:00:00","","položky","29,0000","7499,000","20,000","8998,800","1551,000","5.5.2017 14:09:59",
"Z201718499","Z201718499_Z","Základná škola","36159042","Slovenská republika","Prešov","08001","Československej armády 22","Ing. Martin Kováč - Gastrotechnika plus","33905690","Slovenská republika","Košice - mestská časť Sever","040 01","Slovenská 93","Kúpna zmluva","Elektrický parný konvektomat UNOX ChefTopMindMaps Plus XEVC-2021-EPR alebo kvalitatívne a funkčne zhodný ekvivalent","39312000-2 Zariadenia na prípravu jedál;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Prešov","Prešov","Československej armády 22","19.6.2017 9:00:00","4.7.2017 15:00:00","","kus","1,0000","10247,500","20,000","12297,000","9123,000","3.5.2017 14:10:00",
"Z201718759","Z201718759_Z","Krajská prokuratúra","00166456","Slovenská republika","Banská Bystrica","97562","Partizánska cesta 1","H & M autoopravy - predaj s.r.o.","31559786","Slovenská republika","Banská Bystrica","974 00","Jakubská cesta 1/A","Kúpna zmluva","Nové úžitkové motorové vozidlo Mitsubishi L200 (alebo evivalent)","34144700-5 Úžitkové vozidlá","Tovar;Služba","","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","Partizánska cesta 1","1.6.2017 12:08:00","31.8.2017 12:08:00","","ks","1,0000","","","25000,000","0,000","5.5.2017 12:48:00",
"Z201718571","Z201718571_Z","Základná škola s materskou školou Oravské Veselé ","37810341","Slovenská republika","Oravské Veselé","02962","č.377","Ján Soveľ","33065438","Slovenská republika","Nálepkovo","05333","Hlavná 527/120","Kúpna zmluva","Drevná štiepka energetická","03416000-9 Drevný odpad;09111400-4 Drevné palivá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Námestovo","Oravské Veselé","377","1.6.2017 13:48:00","30.9.2017 13:49:00","","tona","200,0000","9899,990","20,000","11879,990","120,010","12.5.2017 14:46:00",
"Z201716137","Z201716137_Z","Nemocnica svätého Michala, a. s.","44570783","Slovenská republika","Bratislava","81108","Satinského I.7770/1","INTES Poprad, s.r.o.","36449814","Slovenská republika","Poprad","05801","Námestie sv. Egídia 95","Kúpna zmluva","Diagnostické ultrazvukové prístroje","33124120-2 Diagnostické ultrazvukové prístroje","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","","Satinského I.7770/1, 811 08","15.5.2017 10:00:00","15.6.2017 10:00:00","","kompletné plnenie predmetu zákazky","1,0000","41350,000","20,000","49620,000","1365,000","3.5.2017 10:38:00",
"Z201719104","Z201719104_Z","STEFE Trnava, s. r. o.","36277215","Slovenská republika","Trnava","91732","Františkánska 16","RAMICON, s.r.o.","44004575","Slovenská republika","Trnava","917 05","Rajčurská 4133/17","Zmluva o dielo","VÝMENA OKIEN V POSILŇOVŇI 2017","45262520-2 Murárske práce;45410000-4 Omietkarské práce;45421100-5 Montáž dverí a okien a súvisiacich súčastí;45421130-4 Montáž dverí a okien;45442100-8 Maliarske a natieračské práce;60000000-8 Dopravné služby (bez prepravy odpadu)","Stavebná práca;Tovar;Služba","","Slovenská republika","Trnavský","Trnava","Trnava","Kornela Mahra 23","11.5.2017 9:00:00","26.6.2017 9:00:00","","súbor","1,0000","5350,000","20,000","6420,000","0,000","9.5.2017 9:08:00",
