"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z20251205","Z20251205_Z","Sociálna poisťovňa","30807484","Slovenská republika","Bratislava","81363","29. augusta 8 - 10","Aspecta, s.r.o","45919887","Slovenská republika","Trnava","91708","Čerešňová 28","Kúpna zmluva","Obnova subscripcií IBM Informix + Obnova subscripcií IBM Filenet","48000000-8 Softvérové balíky a informačné systémy;72261000-2 Softvérové podporné služby","Tovar","","Slovenská republika","","","","","4/2/2025 8:00:00 AM","2/28/2026 12:00:00 AM","","ks","651.0000","46233.400","23.000","56867.080","0.000","4/1/2025 8:24:00 AM","",
"Z20251223","Z20251223_Z","Sociálna poisťovňa","30807484","Slovenská republika","Bratislava","81363","29. augusta 8 - 10","Alanata a. s.","54629331","Slovenská republika","Bratislava","85101","Krasovského 14","Kúpna zmluva","Subskripcie Red Hat Enterprise Linux for Wintel","48000000-8 Softvérové balíky a informačné systémy;72261000-2 Softvérové podporné služby","Tovar","","Slovenská republika","","","","","4/2/2025 8:00:00 AM","11/15/2026 12:00:00 AM","","ks","197.0000","118699.190","23.000","146000.000","21895.000","4/1/2025 8:26:00 AM","",
"Z20251222","Z20251222_Z","Sociálna poisťovňa","30807484","Slovenská republika","Bratislava","81363","29. augusta 8 - 10","Alanata a. s.","54629331","Slovenská republika","Bratislava","85101","Krasovského 14","Kúpna zmluva","Subskripcie Red Hat for IBM","48000000-8 Softvérové balíky a informačné systémy;72261000-2 Softvérové podporné služby","Tovar","","Slovenská republika","","","","","4/2/2025 8:00:00 AM","11/15/2026 12:00:00 AM","","ks","22.0000","24308.940","23.000","29900.000","40492.900","4/1/2025 8:30:00 AM","",
"Z20251221","Z20251221_Z","Sociálna poisťovňa","30807484","Slovenská republika","Bratislava","81363","29. augusta 8 - 10","Aspecta, s.r.o","45919887","Slovenská republika","Trnava","91708","Čerešňová 28","Kúpna zmluva","Subskripcia Red Hat k APC","48000000-8 Softvérové balíky a informačné systémy;72261000-2 Softvérové podporné služby","Tovar","","Slovenská republika","","","","","4/2/2025 8:00:00 AM","4/2/2026 12:00:00 AM","","ks","17.0000","205246.750","23.000","252453.500","17396.200","4/1/2025 8:32:00 AM","",
"Z20251208","Z20251208_Z","Dopravný podnik mesta Košice, akciová spoločnosť","31701914","Slovenská republika","Košice","04329","Bardejovská 6","Steeling, s.r.o.","31720943","Slovenská republika","Košice - Západ","04011","Plzenská 8/1843","Kúpna zmluva","Náhradné diely na autobusy SOR - hnacie ústrojenstvo","34121100-2 Autobusy verejnej dopravy;42111000-0 Motory a hnacie zariadenia;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Košický","Košice","Košice","Hornádska 10","","","4/8/2025 1:30:00 PM","celok","1.0000","2659.900","23.000","3271.680","0.080","4/1/2025 8:54:00 AM","",
"Z20251214","Z20251214_Z","Dopravný podnik mesta Košice, akciová spoločnosť","31701914","Slovenská republika","Košice","04329","Bardejovská 6","Steeling, s.r.o.","31720943","Slovenská republika","Košice - Západ","04011","Plzenská 8/1843","Kúpna zmluva","Náhradné diely na autobusy Sor NB12, NB18 ","34121100-2 Autobusy verejnej dopravy;34121200-3 Kĺbové autobusy;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice","Košice","Hornádska 10","","","4/8/2025 1:30:00 PM","celok","1.0000","2230.000","23.000","2742.900","0.000","4/1/2025 9:24:00 AM","",
"Z20251525","Z20251525_Z","Slovenská zdravotnícka univerzita v Bratislave","00165361","Slovenská republika","Bratislava ","83303","Limbová 12","ITSK, s.r.o.","36556050","Slovenská republika","Nitra","94905","Zelená 29","Kúpna zmluva","IT technika","30000000-9 Kancelárske a počítacie stroje, vybavenie a spotrebný materiál s výnimkou nábytku a softvérových balíkov;30234500-3 Pamäťové archivačné médiá;31154000-0 Zdroje nepretržitého/stáleho napájania;33195100-4 Monitory;38520000-6 Skenery;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava","Bratislava","Limbová 14","4/24/2025 10:00:00 AM","5/12/2025 1:00:00 PM","","sada","1.0000","1799.700","23.000","2213.630","863.300","4/17/2025 4:12:00 PM","",
"Z20251526","Z20251526_Z","UNIVERZITA J. SELYEHO","37961632","Slovenská republika","Komárno","94501","Bratislavská cesta 3322","Ing. Peter Gerši - GC Tech.","36880574","Slovenská republika","Trenčín","91101","Jilemnického 6","Kúpna zmluva","Kancelárske potreby","30192000-1 Kancelárske potreby;30199000-0 Papiernický tovar a iné položky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Komárno","Komárno","Univerzitná knižnica, Hradná 2, budova Konferenčného centra","4/23/2025 8:00:00 AM","4/30/2025 3:00:00 PM","","zostava","1.0000","186.990","23.000","230.000","139.710","4/17/2025 4:48:00 PM","",
"Z20251519","Z20251519_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","GIEGO s.r.o.","51055724","Slovenská republika","Tvrdošín","02744","Vojtaššákova 846","Kúpna zmluva","Stavebné materiály","44111500-6 Izolátory a izolačné príslušenstvo;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Galanta","Sereď","Kasárenská 1005/54","4/22/2025 8:00:00 AM","4/30/2025 1:00:00 PM","","súbor podľa technickej špecifikácie ","1.0000","1601.630","23.000","1970.000","1529.350","4/17/2025 2:30:00 PM","",
"Z20251522","Z20251522_Z","Domov sociálnych služieb - Zemianske Podhradie","00351725","Slovenská republika","Zemianske Podhradie","91307","4","Marián Šupa","11906022","Slovenská republika","Veľké Kostoľany","92207","Hollého 164","Kúpna zmluva","""Záhradný malotraktor s príslušenstvom""","16311100-9 Kosačky trávnikov, parkov alebo športovísk;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Trenčiansky","Nové Mesto nad Váhom","Zemianske Podhradie","Zemianske Podhradie 4","4/22/2025 1:50:00 PM","4/29/2025 1:28:00 PM","","1","1.0000","3048.780","23.000","3750.000","1148.990","4/17/2025 2:36:00 PM","",
