"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201539866","Z201539866_Z","Psychiatrická nemocnica Veľké Zálužie","00607274","Slovenská republika","Veľké Zálužie","95135","Rínok 334","VZP Adrika s.r.o.","46438335","Slovenská republika","Nitra","94901","Bystrá 931/9 ","Kúpna zmluva","Polohovacie postele - kovové (biele), nočné stolíky- kovové(biele), matrace- nepremokavé","39143110-0 Postele a lôžkoviny a špeciálne mäkké vybavenie;39143112-4 Matrace;39143123-4 Nočné stolíky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Nitriansky","Nitra","Veľké Zálužie","Rínok 334","1.3.2016 8:54:00","9.3.2016 8:55:00","","ks","45,0000","7875,000","20,000","9450,000","2424,000","15.2.2016 10:02:00",
"Z2016143","Z2016143_Z","Kancelária prezidenta Slovenskej republiky","30845157","Slovenská republika","Bratislava","81000","Hodžovo námestie 1","Sokol trade spol. s r.o.","36605735","Slovenská republika","Košice","04011","Husárska 33","Zmluva o dielo","Rekonštrukcia vilového domu","44000000-0 Stavebné konštrukcie a materiály; pomocné výrobky pre konštrukcie (s výnimkou elektrických prístrojov);44100000-1 Konštrukčné materiály a súvisiace prvky;44110000-4 Konštrukčné materiály;44111000-1 Stavebné materiály;44111100-2 Tehly;44111200-3 Cement;44111300-4 Keramické výrobky;44111400-5 Nátery a obklady/izolácie/opláštenie múrov;44111500-6 Izolátory a izolačné príslušenstvo;44111520-2 Tepelnoizolačný materiál;44111530-5 Elektroizolačné príslušenstvo;44111600-7 Tvarovky;44111700-8 Dlaždice;44111800-9 Malta (stavebná);44111900-0 Keramické dlaždice;44112000-8 Rôzne stavebné konštrukcie;45000000-7 Stavebné práce;45100000-8 Príprava staveniska;45110000-1 Búranie budov a demolačné práce a zemné práce;45112400-9 Výkopové práce;45200000-9 Práce na kompletnej alebo čiastočnej stavbe a práce inžinierskych stavieb;45400000-1 Kompletizačné (dokončovacie) práce;45300000-0 Stavebno-inštalačné práce","Stavebná práca;Tovar;Služba","1. Opravy a údržba","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Pažického ul. č.3, 811 06 Bratislava","15.2.2016 8:00:00","18.8.2016 12:00:00","","súbor","1,0000","444152,500","20,000","532983,000","","2.2.2016 15:03:00",
"Z2016457","Z2016457_Z","Knižnica Józsefa Szinnyeiho v Komárne, Szinnyei József Könyvtár Komárom","36102784","Slovenská republika","Komárno","94533","Ul. Eötvösa 35","LE CHEQUE DEJEUNER s.r.o.","31396674","Slovenská republika","Bratislava","821 01","Tomášikova 23/D","Rámcová dohoda","Stravné lístky alebo ekvivalent","30199770-8 Stravné poukážky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Nitriansky","Komárno","Komárno","Eötvösa 35","","","","3,4","5000,0000","16821,500","","16821,500","2178,500","12.2.2016 9:04:00",
"Z2016528","Z2016528_Z","Rozhlas a televízia Slovenska","47232480","Slovenská republika","Bratislava-Karlova Ves","84545","Mlynská dolina","ITSK, s.r.o.","36556050","Slovenská republika","Nitra","94905","Zelená 29","Kúpna zmluva","Diskové pole NAS","30233141-1 Nadbytočné pole nezávislých diskov (RAID);60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava","Bratislava","","15.2.2016 9:00:00","4.3.2016 17:00:00","","diskové pole","1,0000","13790,000","20,000","16548,000","4204,000","3.2.2016 11:08:00",
"Z2016538","Z2016538_Z","IDEA - Domov sociálnych služieb","00691933","Slovenská republika","Prakovce","05562","Breziny 264","Magdaléna Kokoruďová - REPROS","34906231","Slovenská republika","Prešov ","08006","Fintická  12521/107B","Kúpna zmluva","Čistiace prostriedky alebo ekvivalent","18424300-0 Jednorazové rukavice;39224300-1 Metly a kefy a iné výrobky na upratovanie domácností;39542000-3 Handry;39811000-0 Prípravky na parfumovanie alebo dezodoráciu miestností;39831220-4 Odmasťovacie prostriedky;39831300-9 Čistiace prostriedky na podlahu;39831600-2 Čistiace prostriedky na toalety;39832000-3 Čistiace prostriedky na riad;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Košický","Gelnica","Prakovce","Breziny 264","10.2.2016 17:26:00","31.12.2016 17:26:00","","podľa rozpisu v špecifikácii","1,0000","9249,000","20,000","11098,800","12801,190","2.2.2016 8:24:00",
"Z2016670","Z2016670_Z","Správa služieb diplomatickému zboru, a.s.","35822163","Slovenská republika","Brastislava","81106","Palisády 31","PROCONTROL - SK, s.r.o.","47569301","Slovenská republika","Žilina","01001","Dolná Trnovská 7/17 ","Zmluva o poskytovaní služieb","Odborné prehliadky a skúšky vyhradených technických zariadení elektrických ","50532000-3 Opravy a údržba elektrických strojov, prístrojov a súvisiaceho vybavenia","Služba","27. Ostatné služby","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","","1.3.2016 14:00:00","28.2.2017 12:53:00","","balík služieb","1,0000","12900,000","20,000","15480,000","6100,000","19.2.2016 14:03:00",
"Z2016680","Z2016680_Z","Ministerstvo zahraničných vecí a európskych záležitostí Slovenskej republiky","00699021","Slovenská republika","Bratislava","83336","Hlboká cesta 2","TooNet, s.r.o.","44962070","Slovenská republika","Bratislava","82103","Seberiniho 1","Kúpna zmluva","Web Application Firewall F5 BIG-IP 2000s alebo ekvivalent ","32413100-2 Sieťové smerovače;48730000-4 Softvérový balík na zaistenie bezpečnosti;48821000-9 Sieťové servery;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Hlboká cesta 2","","","10.2.2016 13:00:00","ks","2,0000","61357,500","20,000","73629,000","4361,010","1.2.2016 9:54:00",
"Z2016685","Z2016685_Z","Ministerstvo zahraničných vecí a európskych záležitostí Slovenskej republiky","00699021","Slovenská republika","Bratislava","83336","Hlboká cesta 2","TooNet, s.r.o.","44962070","Slovenská republika","Bratislava","82103","Seberiniho 1","Kúpna zmluva","Firewall Palo Alto 500 alebo ekvivalent","32413100-2 Sieťové smerovače;48730000-4 Softvérový balík na zaistenie bezpečnosti;48821000-9 Sieťové servery;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Hlboká cesta 2","","","10.2.2016 14:30:00","ks","4,0000","22765,830","20,000","27319,000","4671,800","1.2.2016 12:04:00",
"Z2016696","Z2016696_Z","Ministerstvo zahraničných vecí a európskych záležitostí Slovenskej republiky","00699021","Slovenská republika","Bratislava","83336","Hlboká cesta 2","TooNet, s.r.o.","44962070","Slovenská republika","Bratislava","82103","Seberiniho 1","Kúpna zmluva","Extreme Networks Summit X460-G2 48t 10GE4 alebo ekvivalent","32422000-7 Sieťové komponenty","Tovar","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Hlboká cesta 2","","","10.2.2016 14:00:00","ks","2,0000","10833,330","20,000","13000,000","6790,010","1.2.2016 11:22:00",
"Z2016718","Z2016718_Z","Národný onkologický ústav","00165336","Slovenská republika","Bratislava","83110","Klenová 1","B.Braun Medical s.r.o.","31350780","Slovenská republika","Bratislava","83103","Hlučínska 3","Kúpna zmluva","Čistiaci a dezinfekčný prostriedok termostabilných aj termolabilných nástrojov a zdravotníckych pomôcok","24455000-8 Dezinfekčné prostriedky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Klenová 1","3.3.2016 8:00:00","10.3.2016 12:00:00","","ban","40,0000","2191,000","","","0,000","22.2.2016 10:37:59",
