"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201750656","Z201750656_Z","Stredná odborná škola záhradnícka Gustáva Čejku Malinovo","31817483","Slovenská republika","Malinovo","90045","Bratislavská 44","Stebel Tek s.r.o.","51050919","Slovenská republika","Košice","04001","Južná trieda 4/B","Zmluva o dielo","Bleskozvodov","60000000-8 Dopravné služby (bez prepravy odpadu);45312310-3 Práce na ochrane pred bleskom","Stavebná práca;Služba;Tovar","","Slovenská republika","Bratislavský","Senec","Malinovo","Bratislavská 44","14.2.2018 11:33:00","28.2.2018 11:34:00","","1","1,0000","6998,000","0,000","6998,000","1,000","16.1.2018 12:10:00",
"Z201765343","Z201765343_Z","Univerzita Pavla Jozefa Šafárika v Košiciach","00397768","Slovenská republika","Košice","04180","Šrobárova 2","CORTEC s.r.o.","45584168","Slovenská republika","Košice","040 13","Magnezitárska or.č.: 2/A 1720","Kúpna zmluva","Chladiace skrine a transportné vozíky","39314000-6 Priemyselné vybavenie kuchýň;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice","Košice","Medická 6","8.1.2018 8:00:00","19.1.2018 14:00:00","","bal","1,0000","2540,000","20,000","3048,000","0,000","4.1.2018 12:24:00",
"Z201764760","Z201764760_Z","Slovenská inovačná a energetická agentúra","00002801","Slovenská republika","Bratislava","82799","Bajkalská 27","Miroslav Prekop - AUTODIELŇA","43249132","Slovenská republika","Trenčianska Turná","91321","717","Rámcová dohoda","Opravy, údržba, technická kontrola a súvisiace služby pre motorové vozidlá  ","50110000-9 Opravy a údržbárske služby pre motorové vozidlá a súvisiace vybavenie;50112000-3 Oprava a údržba osobných motorových vozidiel","Služba","","Slovenská republika","Trenčiansky","Trenčín","Trenčín","Hurbanova 59","","","","sluzba pre ks vozidiel","5,0000","3180,000","20,000","3816,000","300,000","5.1.2018 9:03:00",
"Z201768857","Z201768857_Z","Lesopoľnohospodársky majetok Ulič, štátny podnik","00492531","Slovenská republika","Ulič","06767","Ulič 96","PETROLTRANS, a.s.","36592170","Slovenská republika","Trebišov","07501","Cukrovarská 22","Kúpna zmluva","Motorová nafta","09134100-8 Motorová nafta;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Snina","Ulič","Ulič 96","15.1.2018 7:00:00","19.1.2018 14:00:00","","l","30000,0000","27300,000","20,000","32760,000","2700,000","3.1.2018 10:40:00",
"Z201768860","Z201768860_Z","Mesto Žilina","00321796","Slovenská republika","Žilina","01131","Námestie obetí komunizmu 1","T+T, a.s.","36400491","Slovenská republika","Žilina","01001","Andreja Kmeťa 18","Zmluva o poskytovaní služieb","Spracovanie zeleného biologicky rozložiteľného odpadu","60000000-8 Dopravné služby (bez prepravy odpadu);90510000-5 Likvidácia a spracovanie odpadu","Služba","","Slovenská republika","Žilinský","Žilina","Žilinská Lehota","Námestie obetí komunizmu 1","11.1.2018 0:00:00","1.1.2019 0:00:00","","tona","3000,0000","70000,000","20,000","84000,000","0,000","4.1.2018 13:03:00",
"Z201768875","Z201768875_Z","Univerzita Pavla Jozefa Šafárika v Košiciach","00397768","Slovenská republika","Košice","04180","Šrobárova 2","BIOTECH s.r.o.","35768444","Slovenská republika","Bratislava","84105","Kresánkova 12","Kúpna zmluva","Disc Dispenzer, 90 mm, for 6 Catridges  (dávkovač diskov (90 mm) pre 6 kaziet)","33000000-0 Zdravotnícke vybavenie, farmaceutický materiál a výrobky osobnej starostlivosti;33100000-1 Zdravotnícke vybavenie;33190000-8 Rôzne lekárske zariadenia a výrobky;38000000-5 Laboratórne, optické a presné prístroje a vybavenie (s výnimkou skiel);60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice","Košice","Trieda SNP č. 1","18.1.2018 8:00:00","26.1.2018 14:00:00","","ks","2,0000","416,000","20,000","499,200","16,800","8.1.2018 10:38:00",
"Z201769381","Z201769381_Z","Mesto Žilina","00321796","Slovenská republika","Žilina","01131","Námestie obetí komunizmu 1","Xepap, spol. s r. o.","31628605","Slovenská republika","Zvolen","96001","Jesenského 4703","Kúpna zmluva","kancelársky papier ","30197642-8 Papier na fotokopírovanie a xerografický papier;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","námestie obetí komunizmu 1","","","17.1.2018 9:00:00","ks/bal.","13770,0000","30000,000","20,000","36000,000","1200,000","3.1.2018 10:18:00",
"Z201769403","Z201769403_Z","Univerzita Konštantína Filozofa v Nitre","00157716","Slovenská republika","Nitra","94974","Trieda Andreja Hlinku 1","Lamitec, spol. s r.o.","35710691","Slovenská republika","Bratislava","82104","Pestovateľská 16147/9","Kúpna zmluva","Stolové kalkulačky","30141200-1 Stolové kalkulačky","Tovar","","Slovenská republika","Nitriansky","Nitra","Nitra","Tr.A.Hlinku 1, Dražovská 4, Dražovská 2","18.1.2018 8:00:00","31.1.2018 15:00:00","","súbor","1,0000","148,330","20,000","178,000","181,040","9.1.2018 9:52:00",
"Z201769409","Z201769409_Z","Univerzita Konštantína Filozofa v Nitre","00157716","Slovenská republika","Nitra","94974","Trieda Andreja Hlinku 1","EURO-MONT SK s.r.o.","46206094","Slovenská republika","Banská Bystrica ","97401","Robotnícka 3905/6 ","Kúpna zmluva","Žalúzie na okná a siete proti hmyzu na okná","39515430-8 Vodorovné žalúzie;39525500-3 Siete proti hmyzu;45421145-2 Montáž žalúzií","Tovar;Stavebná práca","","Slovenská republika","Nitriansky","Nitra","Nitra","Slančíkovej 1, Dražovská 2","18.1.2018 8:00:00","28.2.2018 16:00:00","","súbor","1,0000","7583,330","20,000","9100,000","13690,400","9.1.2018 10:36:00",
"Z201769429","Z201769429_Z","Univerzita Konštantína Filozofa v Nitre","00157716","Slovenská republika","Nitra","94974","Trieda Andreja Hlinku 1","Ondrej Gergel MOGER","30329132","Slovenská republika","Krásno","95843","105","Rámcová dohoda","Ochranné pracovné odevy a obuv","18110000-3 Pracovné odevy;18830000-6 Ochranná obuv","Tovar","","Slovenská republika","Nitriansky","Nitra","Nitra","Nábrežie mládeže 1","","","","súbor","1,0000","1956,580","20,000","2347,900","52,100","9.1.2018 10:08:00",
