"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z20161702","Z20161702_Z","Obec Prietrž","00309869","Slovenská republika","Prietrž","90611","Prietrž 126","CESTY NITRA, a.s. ","34128344","Slovenská republika","Nitra","94978","Murgašova 6 ","Zmluva o dielo","Cesta k pamätníku - rekonštrukcia ","45000000-7 Stavebné práce;45233120-6 Stavebné práce na výstavbe ciest;45233223-8 Obnova povrchu vozoviek;60000000-8 Dopravné služby (bez prepravy odpadu)","Stavebná práca;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Trnavský","Senica","Prietrž","","1.3.2017 0:00:00","31.5.2017 0:00:00","","subor položiek","1,0000","73420,000","20,000","88104,000","39096,000","4.3.2016 9:03:02",
"Z20162970","Z20162970_Z","Hvezdáreň a planetárium M.R.Štefánika v Hlohovci","36088269","Slovenská republika","Hlohovec","92001","Sládkovičova 41","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika","Žilina","01001","Kálov 356","Zmluva o poskytovaní služieb","Zabezpečenie stravných lístkov pre zamestnancov objednávateľa.","30199770-8 Stravné poukážky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","15. Tlačiarenské a publikačné služby za poplatok alebo na základe zmluvy","Slovenská republika","Trnavský","Hlohovec","Hlohovec","Sládkovičova 41","1.4.2016 11:06:00","31.3.2017 11:06:00","","ks","1770,0000","6129,980","","6129,980","170,000","4.3.2016 11:56:00",
"Z20163490","Z20163490_Z","Národná transfúzna služba SR","30853915","Slovenská republika","Bratislava","83101","Ďumbierska 3/L","EUROPEA group, spol. s r.o.","31324932","Slovenská republika","Bratislava","821 07","Šípová 3/a","Kúpna zmluva","Záložný zdroj UPS a prídavná batéria k záložnému zdroju.","31154000-0 Zdroje nepretržitého/stáleho napájania;31400000-0 Akumulátory, galvanické články a batérie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Ďumbierska 3/L","11.3.2016 13:00:00","7.4.2016 16:30:00","","ks","6,0000","4486,900","20,000","5384,280","1184,520","1.3.2016 8:38:00",
"Z20163867","Z20163867_Z","Výskumná agentúra","31819494","Slovenská republika","Bratislava","84101","Hanulova 5/B","RICOH Slovakia s.r.o.","31331785","Slovenská republika","Bratislava","82108","Koceľova 9","Zmluva o poskytovaní služieb","prenájom čiernobielych a farebných multifunkčných zariadení a s tým súvisiace služby","30120000-6 Zariadenia na fotokopírovanie a ofsetovú tlač;30121100-4 Fotokopírovacie stroje;30232110-8 Laserové tlačiarne;30232130-4 Farebné grafické tlačiarne;50313100-3 Opravy fotokopírovacích strojov;50313200-4 Údržba fotokopírovacích strojov;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava IV","Bratislava - mestská časť Dúbravka","","1.4.2016 9:57:00","1.4.2022 9:57:00","","predmet zákazky","1,0000","","","58500,000","116499,000","4.3.2016 11:02:00",
"Z20163897","Z20163897_Z","Malokarpatské osvetové stredisko v Modre","00180289","Slovenská republika","Modra","90001","Horná 20","mediaTOP, s.r.o.","36812650","Slovenská republika","Bratislava","84104","Segnerova 1/B","Zmluva o poskytovaní služieb","Ozvučenie hudobného podujatia, nasvietenie scény, premietanie videozáznamu, natáčanie videozáznamu, spracovanie na DVD","60000000-8 Dopravné služby (bez prepravy odpadu);92000000-1 Rekreačné, kultúrne a športové služby;92300000-4 Služby v oblasti zábavy;92340000-6 Tanečné a zábavné podujatia;92370000-5 Služby zvukového technika;98300000-6 Rôzne služby","Služba","26. Rekreačné, kultúrne a športové služby","Slovenská republika","Bratislavský","Malacky","Gajary","Skuteckého 440/51","","","2.4.2016 13:00:00","ozvučenie,osvetlenie,videozáznam podujatia/deň","1,0000","670,000","0,000","670,000","8,000","18.3.2016 10:03:00",
"Z20163921","Z20163921_Z","Nemocnica s poliklinikou Prievidza so sídlom v Bojniciach","17335795","Slovenská republika","Bojnice","97201","Nemocničná 2","AMIREX, a.s.","36522295","Slovenská republika","Nitra","94901","Hodžova 7","Kúpna zmluva","USG prístroj pre gynekologicko-pôrodnícke oddelenie","33112000-8 Echo, ultrazvukové a dopplerovské zobrazovacie zariadenia;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","1. Opravy a údržba","Slovenská republika","Trenčiansky","Prievidza","Bojnice","Nemocničná 2","17.3.2016 13:00:00","22.4.2016 13:00:00","","ks","1,0000","51500,000","20,000","61800,000","2580,000","8.3.2016 10:35:59",
"Z20163990","Z20163990_Z","Technická inšpekcia, a.s.","36653004","Slovenská republika","Bratislava","82101","Trnavská cesta 56","RNDr. Ján Šepeľák","47789581","Slovenská republika","Michalovce","07101","Pri sýpke 1225/12","Kúpna zmluva","Prenosné meracie prístroje ","38300000-8 Meracie prístroje;38420000-5 Nástroje na meranie prietoku, hladiny a tlaku kvapalín a plynov;38423100-7 Tlakomery;38424000-3 Prístroje na meranie a kontrolu;38431000-5 Detekčné prístroje;38431100-6 Detektory plynu;38431300-8 Detektory na vyhľadávanie porúch;38432100-3 Analyzátory plynu;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","20. Podporné a pomocné dopravné služby","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Ružinov","Trnavská cesta 56","1.4.2016 10:00:00","12.5.2016 10:00:00","","Kompletne celá zákazka ","1,0000","8260,000","","","240,000","7.3.2016 10:50:00",
"Z20162897","Z20162897_Z","Inštitút pre pracovnú rehabilitáciu občanov so zdravotným postihnutím","00603457","Slovenská republika","Bratislava-Karlova Ves","84240","Mokrohájska 1","ALCONET, s.r.o.","36419702","Slovenská republika","Liptovský Mikuláš","03101","M. Pišúta 979/4","Kúpna zmluva","Prístroj na psychologické testovanie s príslušenstvom","33124130-5 Diagnostický spotrebný materiál;33156000-8 Prístroje na psychologické testovanie;48180000-3 Softvérový balík pre zdravotníctvo;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava IV","Bratislava - mestská časť Karlova Ves","Mokrohájska  1","15.3.2016 15:29:00","31.3.2016 15:29:00","","klp","1,0000","5516,660","20,000","6619,990","0,000","1.3.2016 14:38:00",
"Z20162825","Z20162825_Z","Národný onkologický ústav","00165336","Slovenská republika","Bratislava","83110","Klenová 1","CLEAN TONERY, s.r.o.","35891866","Slovenská republika","Pezinok","90201","Za Hradbami 27","Kúpna zmluva","Tonery - originál I/16","30125100-2 Tonerové náplne;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Klenová 1","11.3.2016 8:00:00","15.3.2016 11:00:00","","ks","140,0000","9230,000","","","20,000","1.3.2016 11:38:00",
"Z20164034","Z20164034_Z","Obec Rudňany","00329533","Slovenská republika","Rudňany","05323","234","TOMS-SK, s.r.o.","36621323","Slovenská republika","Detva","96212","Jesenského 6","Kúpna zmluva","Nákup nového rýpadla-nakladača CATERPILLAR 427 F2","16700000-2 Traktory/ťahače;34144710-8 Nakladače na kolesách;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","1. Opravy a údržba","Slovenská republika","Košický","Spišská Nová Ves","Rudňany","Rudňany 234","11.3.2016 8:00:00","10.6.2016 14:00:00","","ks","1,0000","64900,000","20,000","77880,000","109,200","1.3.2016 11:38:00",
"Z20164054","Z20164054_Z","Slovenská agentúra životného prostredia","00626031","Slovenská republika","Banská Bystrica","97590","Tajovského 28","ASPECT-VYHNE, a.s.","36354694","Slovenská republika","Bratislava","83101","Hattalova 12/A","Zmluva o poskytovaní služieb","Školenie zamestnancov spojené s pracovnou poradou ","55000000-0 Hotelové, reštauračné a maloobchodné služby;55100000-1 Hotelové služby;55110000-4 Hotelové ubytovacie služby;55120000-7 Služby na organizovanie stretnutí a konferencií v hoteloch;55130000-0 Iné hotelové služby;55300000-3 Reštauračné služby a podávanie jedál","Služba","17. Hotelové a reštauračné služby","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","14.3.2016 15:23:00","15.3.2016 15:23:00","","celok, všetky požadované služby","1,0000","11376,900","20,000","13652,280","0,000","2.3.2016 10:03:02",
"Z20163035","Z20163035_Z","Národný onkologický ústav","00165336","Slovenská republika","Bratislava","83110","Klenová 1","EKONA COR s.r.o.","04387601","Česká republika","Hranice IV-Drahotuše","75361","Hranická 225","Kúpna zmluva","Systém sestra-pacient","33195200-5 Centrálne monitorovacie stanice;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Klenová 1","21.3.2016 0:00:00","23.3.2016 0:00:00","","ks","1,0000","4980,000","","4980,000","4870,000","1.3.2016 11:00:00",
"Z20164060","Z20164060_Z","Spojená škola","42089841","Slovenská republika","Chminianske Jakubovany","08233","Chminianske Jakubovany 21","Marián Uhlár","14373564","Slovenská republika","Gelnica","05601","Hlavná 29","Kúpna zmluva","Kúpeľňová spodná skrinka OLSEN SPA pod umývadlo alebo ekvivalent","39141300-5 Skrine;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Prešovský","Prešov","Chminianske Jakubovany","21","16.3.2016 10:08:00","23.3.2016 8:09:00","","kusov","1,0000","2166,660","20,000","2599,990","398,810","7.3.2016 8:52:00",
"Z20164065","Z20164065_Z","Akadémia Policajného zboru v Bratislave","00735779","Slovenská republika","Bratislava","83517","Sklabinská 1","JKL, s. r. o.","35885891","Slovenská republika","Dunajská Lužná","90042","Krajná 28/13","Zmluva o dielo","Servis, oprava počítačov, tlačiarní, monitorov, počítačových sietí a kancelárskej techniky.","50320000-4 Opravy a údržba osobných počítačov;50532000-3 Opravy a údržba elektrických strojov, prístrojov a súvisiaceho vybavenia","Služba","1. Opravy a údržba","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Rača","Sklabinska 1","10.3.2016 12:00:00","28.2.2019 23:40:00","","roky","3,0000","20000,000","20,000","24000,000","6000,000","1.3.2016 8:03:01",
"Z20164070","Z20164070_Z","Akadémia Policajného zboru v Bratislave","00735779","Slovenská republika","Bratislava","83517","Sklabinská 1","HAI, spol. s r.o.","31335217","Slovenská republika","Bratislava","82102","Trnavská cesta 82/D","Kúpna zmluva","nákup licencií a služby s tým spojené","60000000-8 Dopravné služby (bez prepravy odpadu);72268000-1 Dodávky softvéru","Služba","7. Počítačové a súvisiace služby ","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Rača","Sklabinska 1","","","11.3.2016 12:00:00","ks","46,0000","","","3588,000","3220,000","2.3.2016 9:03:00",
"Z20164071","Z20164071_Z","SUBSIDIUM - ŠZ, ZpS a DSS","00695327","Slovenská republika","Rožňava","04801","Betliarska 18","REAL INVENT, s.r.o.","36422363","Slovenská republika","Skalité","02314","u Tomice 671","Kúpna zmluva","Polohovacie postele, matrace a nočné stolíky","33000000-0 Zdravotnícke vybavenie, farmaceutický materiál a výrobky osobnej starostlivosti;33192000-2 Zdravotnícky nábytok;33192100-3 Lôžka na zdravotnícke účely;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Košický","Rožňava","Rožňava","Betliarska 18, 048 01 Rožňava","31.3.2016 0:00:00","30.9.2016 0:00:00","","ks","60,0000","","","13400,000","4135,000","1.3.2016 11:00:00",
"Z20164057","Z20164057_Z","Mesto Galanta","00305936","Slovenská republika","Galanta","92418","Mierové námestie 940/1","Mess-Exx, s.r.o.","46303219","Slovenská republika","Poprad","05801","J. Curie 37","Zmluva o dielo","Stavebné úpravy neogotického kaštieľa (NGK)","45212300-9 Stavebné práce na stavbe budov určených pre umenie a kultúru;45233120-6 Stavebné práce na výstavbe ciest;45431000-7 Dláždenie a obkladanie;45432000-4 Kladenie podláh a dlažbových krytín, povrchová úprava stien;45432112-2 Kladenie dlažby;45442100-8 Maliarske a natieračské práce;60000000-8 Dopravné služby (bez prepravy odpadu);90500000-2 Služby súvisiace s likvidáciou odpadu a odpadom;45300000-0 Stavebno-inštalačné práce","Stavebná práca;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Trnavský","Galanta","Galanta","Neogotický kaštieľ Galanta, Mestský park Galanta, súčasť národnej kultúrnej pamiatky č.18/1","","","31.5.2016 12:00:00","Celok","1,0000","74999,580","20,000","89999,500","30000,500","3.3.2016 12:03:01",
