"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201641744","Z201641744_Z","Mestská časť Košice - Západ","00690970","Slovenská republika","Košice","04011","Trieda SNP 39","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika","Bratislava","82511","Mlynské nivy   44/a","Zmluva o poskytovaní služieb","Dodávka elektrickej energie","09310000-5 Elektrická energia","Tovar;Služba","","Slovenská republika","Košický","Košice II","Košice - mestská časť Západ","Trieda SNP 39","1.3.2017 0:00:00","28.2.2018 23:59:00","","MWh","218,0000","30188,910","20,000","36226,690","0,000","1.12.2016 10:38:00",
"Z201641846","Z201641846_Z","Obec Krušovce","00699250","Slovenská republika","Krušovce","95631","Štefánikova 129","OFFICE STAR, s.r.o.","46323546","Slovenská republika","Bratislava","83104","Šancová 63/3568","Kúpna zmluva","Kancelársky papier alebo ekvivalent","30192000-1 Kancelárske potreby;30197620-8 Písací papier;30197642-8 Papier na fotokopírovanie a xerografický papier;30197643-5 Papier na fotokopírovanie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Nitriansky","Topoľčany","Krušovce","Štefánikova 129","","","9.12.2016 12:00:00","krabica (5 balíkov v krabici)","10,0000","115,840","20,000","139,010","0,980","1.12.2016 9:38:00",
"Z201641838","Z201641838_Z","Domov dôchodcov a domov sociálnych služieb Veľký Krtíš","00647551","Slovenská republika","Veľký Krtíš","99001","Škultétyho 329","LE CHEQUE DEJEUNER s.r.o.","31396674","Slovenská republika","Bratislava","821 01","Tomášikova 23/D","Kúpna zmluva","darčekové poukážky","30199750-2 Poukážky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Veľký Krtíš","Veľký Krtíš","Škultétyho 329","5.12.2016 7:44:00","8.12.2016 7:46:00","","ks","138,0000","1379,950","","1379,950","0,050","1.12.2016 9:38:01",
"Z201641860","Z201641860_Z","Obec Sečovská Polianka","00332828","Slovenská republika","Sečovská Polianka","09414","Hlavná 132/135","Elektroservis VV, s.r.o.","44602731","Slovenská republika","Vranov nad Topľou","09303","Čemernianska 50","Kúpna zmluva","Vybavenie kuchyne","39137000-1 Zmäkčovače vody;39141000-2 Kuchynský nábytok a vybavenie;39151100-6 Regály;39221000-7 Kuchynské vybavenie;39310000-8 Zariadenia hromadného stravovania;39312000-2 Zariadenia na prípravu jedál;39711100-0 Chladničky a mrazničky;39711200-1 Prístroje na spracovanie potravín;39711340-4 Ohrievače tanierov;39711360-0 Rúry (na pečenie);39711400-3 Pražiace pece, trúby, ohrievače jedla a variče;39711430-2 Ohrievače jedla;39713100-4 Umývačky riadu;51100000-3 Inštalácia elektrických a mechanických zariadení","Tovar;Služba","","Slovenská republika","Prešovský","Vranov nad Topľou","Sečovská Polianka","Sečovská Polianka č. 558","3.4.2017 8:00:00","31.5.2017 16:00:00","","komplet","1,0000","45405,000","20,000","54486,000","17514,000","5.12.2016 9:38:00",
"Z201642211","Z201642211_Z","Univerzita Konštantína Filozofa v Nitre","00157716","Slovenská republika","Nitra","94974","Trieda Andreja Hlinku 1","PhDr. Gabriela Spišáková - Majster Papier","33768897","Slovenská republika","Bratislava 5","85101","Wolkrova 5, P.O.BOX 212","Rámcová dohoda","Obalový materiál a výrobky z plastov","19520000-7 Plastové výrobky","Tovar","","Slovenská republika","Nitriansky","Nitra","Nitra","Trieda A. Hlinku 1, Nábrežie mládeže 1, Nábrežie mládeže 91, Dražovská 2, Dražovská 4, Kraskova 1, Štefánikova 67, Hodžova 1","","","","súbor","1,0000","3936,180","20,000","4723,420","128,580","5.12.2016 10:38:00",
"Z201642234","Z201642234_Z","Dopravný podnik mesta Košice, akciová spoločnosť","31701914","Slovenská republika","Košice","04329","Bardejovská 6","CBM CR s.r.o.","02712601","Česká republika","Praha 10","10000","Omská 1020/45","Kúpna zmluva","Náhradné diely na autobusy Citelis","34300000-0 Časti a príslušenstvo vozidiel a ich motorov;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Košický","Košice","Košice","Hornádska 10","","","9.12.2016 10:00:00","ks","1267,0000","560,000","","560,000","330,000","1.12.2016 9:28:00",
"Z201642238","Z201642238_Z","Dopravný podnik mesta Košice, akciová spoločnosť","31701914","Slovenská republika","Košice","04329","Bardejovská 6","CBM CR s.r.o.","02712601","Česká republika","Praha 10","10000","Omská 1020/45","Kúpna zmluva","Náhradné diely na autobusy Sor NB 12, NB 18","34300000-0 Časti a príslušenstvo vozidiel a ich motorov;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Košický","Košice","Košice","Hornádska 10","","","12.12.2016 10:00:00","ks","578,0000","3882,000","","3882,000","213,000","2.12.2016 9:00:00",
"Z201642246","Z201642246_Z","Dopravný podnik mesta Košice, akciová spoločnosť","31701914","Slovenská republika","Košice","04329","Bardejovská 6","ZLINER s.r.o.","45479534","Česká republika","Zlín","76112","tř. Tomáše Bati 283","Kúpna zmluva","Náhradné diely na autobusy Sor NB 12, NB 18","34300000-0 Časti a príslušenstvo vozidiel a ich motorov;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Košický","Košice","Košice","Hornádska 10","","","9.12.2016 10:00:00","ks","170,0000","1895,000","","1895,000","0,000","1.12.2016 11:38:00",
"Z201642288","Z201642288_Z","Ministerstvo pôdohospodárstva a rozvoja vidieka Slovenskej republiky ","00156621","Slovenská republika","Bratislava","81266","Dobrovičova 12","DAG SLOVAKIA, a. s.","44886021","Slovenská republika","Prešov","08001","Volgogradská 9","Zmluva o dielo","Rekonštrukcia elektroinštalácie v administratívnej budove","31524120-2 Stropné svetlá;45111300-1 Demontážne práce;60000000-8 Dopravné služby (bez prepravy odpadu);45311200-2 Elektroinštalačné práce v neobytných budovách","Stavebná práca;Služba;Tovar","","Slovenská republika","Banskobystrický","Zvolen","Zvolen","Námestie SNP č. 50","","","20.12.2016 15:00:00","komplet","1,0000","66600,000","20,000","79920,000","3828,000","1.12.2016 13:03:01",
"Z201642287","Z201642287_Z","Fakultná nemocnica s poliklinikou J.A.Reimana Prešov","00610577","Slovenská republika","Prešov","08181","Hollého 14","MED - ART, spol. s r.o.","34113924","Slovenská republika","Nitra","94901","Hornočermánska 4","Rámcová dohoda","Cytostatiká - paklitaxel (nanočastice viazané na albumín) ","33600000-6 Farmaceutické výrobky;33652000-5 Antineoplastické a imunomodulačné činidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Prešov","Prešov","Hollého 14","","","","liekovka","18,0000","4290,470","10,000","4719,520","174,320","1.12.2016 9:22:00",
"Z201642298","Z201642298_Z","Fakultná nemocnica s poliklinikou J.A.Reimana Prešov","00610577","Slovenská republika","Prešov","08181","Hollého 14","DCX spol. s r.o.","47133694","Slovenská republika","Bratislava - mestská časť Staré Mesto","81101","Gorkého 5","Rámcová dohoda","Anestetiká - propofol","33600000-6 Farmaceutické výrobky;33661100-2 Anestetiká;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Prešov","Prešov","Hollého 14","","","","ampulka","3500,0000","6181,820","10,000","6800,000","997,900","1.12.2016 10:10:00",
"Z201642304","Z201642304_Z","Fakultná nemocnica s poliklinikou J.A.Reimana Prešov","00610577","Slovenská republika","Prešov","08181","Hollého 14","MED - ART, spol. s r.o.","34113924","Slovenská republika","Nitra","94901","Hornočermánska 4","Rámcová dohoda","Cytostatiká - cetuximab 100mg/20ml","33600000-6 Farmaceutické výrobky;33652000-5 Antineoplastické a imunomodulačné činidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","","","","","","","","liekovka","59,0000","9960,690","10,000","10956,760","0,130","1.12.2016 11:18:03",
"Z201642310","Z201642310_Z","Fakultná nemocnica s poliklinikou J.A.Reimana Prešov","00610577","Slovenská republika","Prešov","08181","Hollého 14","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika","Bojnice","97201","Opatovská cesta 4","Rámcová dohoda","Antitrombotiká - Nadroparín 47,5KU/5ml","33600000-6 Farmaceutické výrobky;33621100-0 Antitrombotické činidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Prešov","Prešov","Hollého 14","","","","liekovka","900,0000","9471,820","10,000","10419,000","291,000","1.12.2016 11:46:01",
"Z201642322","Z201642322_Z","Fakultná nemocnica s poliklinikou J.A.Reimana Prešov","00610577","Slovenská republika","Prešov","08181","Hollého 14","MED - ART, spol. s r.o.","34113924","Slovenská republika","Nitra","94901","Hornočermánska 4","Rámcová dohoda","Cytostatiká - rituximab 100mg","33600000-6 Farmaceutické výrobky;33652000-5 Antineoplastické a imunomodulačné činidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Prešov","Prešov","Hollého 14","","","","liekovka","8,0000","1666,860","10,000","1833,550","0,010","1.12.2016 14:08:00",
"Z201642434","Z201642434_Z","Ekonomická univerzita v Bratislave","00399957","Slovenská republika","Bratislava","85235","Dolnozemská cesta 1","GENESIS POZEMNÉ STAVBY, s.r.o.","46059105","Slovenská republika","Šamorín-Mliečno","93101","Pešia cesta 250/76","Zmluva o dielo","rekonštrukcia predajne","45210000-2 Stavebné práce na stavbe budov;60000000-8 Dopravné služby (bez prepravy odpadu)","Stavebná práca;Služba","","Slovenská republika","Bratislavský","Bratislava V","Bratislava - mestská časť Petržalka","Dolnozemská 1","14.12.2016 8:23:00","16.1.2017 8:24:00","","predmet zákazky","1,0000","15199,000","20,000","18238,800","1680,000","2.12.2016 8:19:00",
"Z201642454","Z201642454_Z","Ekonomická univerzita v Bratislave","00399957","Slovenská republika","Bratislava","85235","Dolnozemská cesta 1","Auto Ideal s.r.o.","35845295","Slovenská republika","Bratislava","83104","Vajnorská 97/A ","Kúpna zmluva","osobné motorové vozidlo","34110000-1 Osobné automobily;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava V","Bratislava - mestská časť Petržalka","Dolnozemská 1","14.12.2016 9:14:00","31.1.2017 9:14:00","","predmet zákazky","1,0000","8980,000","20,000","10776,000","0,000","1.12.2016 9:52:00",
"Z201642455","Z201642455_Z","Mestská časť Bratislava - Ružinov","00603155","Slovenská republika","Bratislava","82705","Mierová 21","SATES, a.s.","31628541","Slovenská republika","Považská Bystrica","01701","Slovenských partizánov 1423/1","Rámcová dohoda","Zvislé dopravné značenie a vodorovné dopravné značenie","34920000-2 Cestné príslušenstvo;34992200-9 Dopravné značky;45233290-8 Inštalácia dopravných značiek","Tovar;Služba;Stavebná práca","","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Ružinov","Mierová 21","","","","celok","1,0000","28689,500","20,000","34427,400","10452,600","5.12.2016 10:38:00",
"Z201642463","Z201642463_Z","Stredná odborná škola masmediálnych a informačných štúdií","30775400","Slovenská republika","Bratislava","83414","Kadnárova 7","ITSK, s.r.o.","36556050","Slovenská republika","Nitra","94905","Zelená 29","Kúpna zmluva","Notebook","30213100-6 Prenosné počítače;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Rača","Kadnárova 7","9.12.2016 9:27:00","16.12.2016 9:28:00","","ks","1,0000","1330,820","20,000","1596,980","83,020","2.12.2016 10:06:00",
"Z201642461","Z201642461_Z","Stredná priemyselná škola stavebná a geodetická","42253888","Slovenská republika","Bratislava","82664","Drieňová 35","Daffer spol. s r. o.","36320439","Slovenská republika","Prievidza","97101","Včelárska 1","Kúpna zmluva","Športové potreby","37400000-2 Športový tovar a výbava;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Ružinov","Drieňová 35","12.12.2016 9:25:00","16.12.2016 9:26:00","","ks","73,0000","1054,170","20,000","1265,000","235,000","8.12.2016 10:12:00",
