"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z202310219","Z202310219_Z","Záchranná služba Košice","00606731","Slovenská republika","Košice","04091","Rastislavova 43","K&M MEDIA s.r.o.","44879806","Slovenská republika","Čadca","02201","Podzávoz 2303","Kúpna zmluva","Zdravotnícke batohy","33141620-2 Lekárske kufríky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice IV","Košice - mestská časť Juh","Rastislavova 43, 041 91 Košice","10/5/2023 8:00:00 AM","1/22/2024 3:00:00 PM","","ks","60.0000","4083.330","20.000","4900.000","2588.000","10/2/2023 10:38:00 AM","",
"Z202310349","Z202310349_Z","Žilinský samosprávny kraj","37808427","Slovenská republika","Žilina","01109","Komenského 48","Asseco Central Europe, a. s.","35760419","Slovenská republika","Bratislava - mestská časť Ružinov","82104","Galvaniho 19045/19","Zmluva o poskytovaní služieb","Technologický upgrade systému pre podporu elektronickej správy registratúry Fabasoft na verziu 2023","72212311-2 Služby na vývoj softvéru na riadenie dokumentov","Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Komenského 18","10/20/2023 12:00:00 AM","12/31/2023 11:59:00 PM","","kpl","1.0000","32855.000","20.000","39426.000","0.000","10/9/2023 10:38:00 AM","",
"Z202310334","Z202310334_Z","Dopravný podnik mesta Košice, akciová spoločnosť","31701914","Slovenská republika","Košice","04329","Bardejovská 6","Steeling, s.r.o.","31720943","Slovenská republika","Košice - Západ","04011","Plzenská 8/1843","Kúpna zmluva","Náhradné diely na autobusy Sor NB12, NB18 ","34121100-2 Autobusy verejnej dopravy;34121200-3 Kĺbové autobusy;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice","Košice","Hornádska 10","","","10/16/2023 1:30:00 PM","celok","1.0000","839.800","20.000","1007.760","0.200","10/2/2023 9:54:00 AM","",
"Z202310306","Z202310306_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","CHEMOLAK a.s.","31411851","Slovenská republika","Smolenice","919 04","Továrenská7 7","Kúpna zmluva","NÁTEROVÉ HMOTY, TUŽIDLÁ A RIEDIDLÁ  ALEBO EKVIVALENT","44800000-8 Náterové farby, laky a tmely;44810000-1 Náterové farby;44832200-3 Riedidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Rajecká cesta 18","10/30/2023 9:09:00 AM","11/9/2023 9:10:00 AM","","celý predmet zákazky","1.0000","1520.830","20.000","1825.000","164.600","10/2/2023 9:50:00 AM","",
"Z202310333","Z202310333_Z","Dopravný podnik mesta Košice, akciová spoločnosť","31701914","Slovenská republika","Košice","04329","Bardejovská 6","Steeling, s.r.o.","31720943","Slovenská republika","Košice - Západ","04011","Plzenská 8/1843","Kúpna zmluva","Náhradné diely na autobusy SOR - hnacie ústrojenstvo","34121100-2 Autobusy verejnej dopravy;42111000-0 Motory a hnacie zariadenia;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Košický","Košice","Košice","Hornádska 10","","","10/16/2023 1:30:00 PM","celok","1.0000","1390.000","20.000","1668.000","0.000","10/2/2023 9:24:00 AM","",
"Z202310401","Z202310401_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","FERMAT SK s.r.o.","50963791","Slovenská republika","Sereď","92601","Čepeňská 2369/34","Kúpna zmluva","Stavebné materiály ","44111000-1 Stavebné materiály;44190000-8 Rôzne stavebné materiály;44192000-2 Iné rôzne stavebné materiály;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","Slovenská republika","Trenčiansky","Trenčín","Nemšová","Slovenskej armády 52","10/4/2023 6:00:00 AM","10/27/2023 1:00:00 PM","","súbor (podľa technickej špecifikácie)-ks","1.0000","1242.000","20.000","1490.400","0.000","10/2/2023 10:44:00 AM","",
"Z202310376","Z202310376_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","SPORT ELEMENT s.r.o.","36814644","Slovenská republika","Košice","040 01","Hlavná 67","Kúpna zmluva","Nákup skialpov","37411120-9 Lyže;37411140-5 Viazania;37411160-1 Lyžiarsky výstroj;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Zvolen","Sliač","Československej armády 1182","10/9/2023 7:00:00 AM","10/20/2023 1:00:00 PM","","súhrn požadovaného množstva","1.0000","2500.000","20.000","3000.000","34.800","10/5/2023 9:08:00 AM","",
"Z202310427","Z202310427_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","Pixel Print s.r.o.","50557050","Slovenská republika","Vyšný Orlík","09011","47","Kúpna zmluva","Značky a súvisiace prvky","30199760-5 Etikety;44423400-5 Značky a súvisiace prvky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Martin","Martin","42.zásobovacia základňa  ul. Československej armády 3, 036 01 Martin","10/23/2023 1:17:00 PM","11/24/2023 1:18:00 PM","","podľa technickej špecifikácie","1.0000","4430.000","0.000","4430.000","517.320","10/2/2023 11:16:00 AM","",
"Z202310328","Z202310328_Z","Prešovská univerzita v Prešove","17070775","Slovenská republika","Prešov","08001","Ul. 17. novembra 15","ALEZA INTERIER, s.r.o.","36740870","Slovenská republika","Bratislava","83152","Na Grunte 5A","Kúpna zmluva","Nábytok – Kancelárska stolička ","39100000-3 Nábytok;39112000-0 Stoličky;39130000-2 Kancelársky nábytok;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Prešov","Prešov","ul. 17. novembra č.1, Filozofická fakulta","","","10/20/2023 2:00:00 PM","ks","30.0000","673.330","20.000","808.000","471.000","10/4/2023 10:06:00 AM","",
"Z202310130","Z202310130_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava","83247","Kutuzovova 8","IGGY-TRADE s.r.o.","46729445","Slovenská republika","Čajkov","93524","Čajkov 126","Kúpna zmluva","Potraviny na liturgické účely","15000000-8 Potraviny, nápoje, tabak a príbuzné produkty;15900000-7 Nápoje, tabak a príbuzné produkty;15930000-6 Vína;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Zvolen","Zvolen","Borovianska cesta 1","10/9/2023 3:33:00 PM","11/10/2023 3:34:00 PM","","súbor","1.0000","1870.000","20.000","2244.000","0.000","10/2/2023 4:14:00 PM","",
