"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z20168697","Z20168697_Z","Obec Hlinné","00332411","Slovenská republika","Hlinné","09435","Hlinné 74","PLUTKO, s.r.o.","36580040","Slovenská republika","Michalovce","07101","Priemyselná 27/1707","Kúpna zmluva","Trvalé dopravné značenie","34992200-9 Dopravné značky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Prešovský","Vranov nad Topľou","Hlinné","Hlinné 74","21.6.2016 8:00:00","30.6.2016 16:00:00","","celok podľa uvedeného rozpisu","1,0000","","","6550,000","2656,000","9.6.2016 16:43:59",
"Z20169035","Z20169035_Z","Technicko-hospodárska správa ústavov spoločenských vied SAV","00212041","Slovenská republika","Bratislava","81364","Klemensova 19","DANUBIASERVICE, a.s.","31397549","Slovenská republika","Bratislava","82104","Rožňavská 30","Kúpna zmluva","nákup osobného automobilu ","34110000-1 Osobné automobily;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Klemensova 19","1.7.2016 9:24:00","26.8.2016 9:25:00","","ks","1,0000","9196,160","20,000","11035,390","0,000","20.6.2016 10:06:00",
"Z20169317","Z20169317_Z","Akadémia Policajného zboru v Bratislave","00735779","Slovenská republika","Bratislava","83517","Sklabinská 1","LASER servis, spol. s.r.o. ","35755989","Slovenská republika","Šenkvice","90081","Lipová 3","Zmluva o poskytovaní služieb","Dodanie spotrebného materiálu do tlačianí","30125100-2 Tonerové náplne;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Rača","Sklabinska 1","17.6.2016 12:04:00","17.6.2018 12:05:00","","ks","1,0000","5399,920","20,000","6479,900","2600,080","7.6.2016 14:43:59",
"Z201610784","Z201610784_Z","Univerzita veterinárskeho lekárstva a farmácie v Košiciach","00397474","Slovenská republika","Košice","04181","Komenského 73","DREVEX EU, s.r.o.","36835463","Slovenská republika","Pravenec","97216","81","Kúpna zmluva","Stoličky a lavice do zdravotníckeho zariadenia","39110000-6 Sedadlá, stoličky a podobné výrobky a súvisiace časti;39180000-7 Laboratórny nábytok","Tovar","","Slovenská republika","Košický","Košice","Košice","Komenského 73","23.6.2016 8:00:00","30.12.2016 12:00:00","","množstva uvedene v opise ","1,0000","14721,670","20,000","17666,000","3934,000","13.6.2016 12:25:59",
"Z201610785","Z201610785_Z","Univerzita veterinárskeho lekárstva a farmácie v Košiciach","00397474","Slovenská republika","Košice","04181","Komenského 73","DELTA COMMERCE, s.r.o ","44787677","Slovenská republika","Báč","93030","Báč 236","Kúpna zmluva","Stredne veľký trezor","44421300-0 Trezory","Tovar","","Slovenská republika","Košický","Košice","Košice","Komenského 73","23.6.2016 8:00:00","30.12.2016 10:00:00","","počet kusov trezorov","2,0000","1316,670","20,000","1580,000","28,000","13.6.2016 9:19:59",
"Z201611359","Z201611359_Z","Ministerstvo dopravy, výstavby a regionálneho rozv","30416094","Slovenská republika","Bratislava","81005","Námestie slobody č. 6","ELPO, s.r.o.","36450359","Slovenská republika","Poprad","05801","Okružná 761/25","Zmluva o poskytovaní služieb","Kontrola hasiacich prístrojov, hydrantov a požiarnych klapiek","35111320-4 Prenosné hasiace prístroje;44480000-8 Rôzne zariadenia požiarnej ochrany;44482000-2 Zariadenia požiarnej ochrany;44482100-3 Požiarnické hadice;44482200-4 Požiarne hydranty;50610000-4 Služby na opravu a údržbu bezpečnostných zariadení;71631100-1 Inšpekcia strojov a strojových zariadení","Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","","","","","13.6.2016 9:00:00","17.6.2016 14:00:00","","projekt","1,0000","1480,000","0,000","1480,000","2480,000","1.6.2016 14:03:00",
"Z201611541","Z201611541_Z","Mesto Púchov","00317748","Slovenská republika","Púchov","02018","Štefánikova 821/21","GFCH spol. s r.o.","00614521","Slovenská republika","Žilina","01001","Vojtecha Tvrdého 777/12 ","Zmluva o dielo","Dažďová kanalizácia a vsakovací objekt","44163130-0 Kanalizačné rúry;44164310-3 Rúry a príslušenstvo (spojky);45232400-6 Stavebné práce na stavbe kanalizácie;60000000-8 Dopravné služby (bez prepravy odpadu);45332300-6 Kladenie kanalizačných potrubí","Stavebná práca;Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Trenčiansky","Púchov","Púchov","Železničná ulica","1.9.2016 8:00:00","30.9.2016 15:00:00","","celok","1,0000","9600,000","20,000","11520,000","480,000","24.6.2016 10:03:02",
"Z201611546","Z201611546_Z","Elektroenergetické montáže, a.s.","36412767","Slovenská republika","Žilina","010 01","Pri Rajčianke 2926/10","OFFICE STAR, s.r.o.","46323546","Slovenská republika","Bratislava","83104","Šancová 63/3568","Rámcová dohoda","Kancelársky papier A4","30197620-8 Písací papier;30197630-1 Papier na tlač alebo iné grafické účely;30197642-8 Papier na fotokopírovanie a xerografický papier;30197643-5 Papier na fotokopírovanie;30197644-2 Xerografický papier;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Žilinský","Žilina","Žilina","Pri *rajčianke 2926/10","","","","balík","150,0000","329,000","20,000","394,800","21,000","13.6.2016 10:05:59",
"Z201611551","Z201611551_Z","Mesto Púchov","00317748","Slovenská republika","Púchov","02018","Štefánikova 821/21","Ekologické stavby spol. s r.o.","31580220","Slovenská republika","Považská Bystrica","01701","Železničná 80/13","Zmluva o dielo","Kanalizačná prípojka","44163130-0 Kanalizačné rúry;44164310-3 Rúry a príslušenstvo (spojky);45232400-6 Stavebné práce na stavbe kanalizácie;60000000-8 Dopravné služby (bez prepravy odpadu);45332300-6 Kladenie kanalizačných potrubí","Stavebná práca;Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Trenčiansky","Púchov","Púchov","Železničná ulica","1.9.2016 8:00:00","30.9.2016 15:00:00","","celok","1,0000","10416,000","20,000","12499,200","0,000","24.6.2016 10:03:02",
"Z201611567","Z201611567_Z","Ministerstvo vnútra Slovenskej republiky","00151866","Slovenská republika","Bratislava","81272","Pribinova 2","Altrinia s. r. o.","47907266","Slovenská republika","Bratislava","85101","Kopčianska 3759/15 ","Kúpna zmluva","Softvér PowerShell Studio 2016 (SAPIEN Technologies Inc.) alebo ekvivalent","48211000-0 Softvérový balík na vzájomnú prepojiteľnosť počítačových platforiem;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","2. Služby pozemnej dopravy, vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Račianska 45","13.6.2016 8:00:00","1.7.2016 15:00:00","","licencia","1,0000","378,660","20,000","454,390","0,000","1.6.2016 10:38:00",
