"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia",
"Z201752812","Z201752812_Z","Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy","00227811","Slovenská republika","Vyšné Hágy","05984","1","MEDICAL GROUP SK a. s.","31708030","Slovenská republika","Bratislava","83104","Trnavská cesta 27/B","Rámcová dohoda","Antimykotiká na systémové použitie","33651200-0 Antimykotiká na systémové použitie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Prešovský","Poprad","","","","","","ako balík","1,0000","7550,000","10,000","8305,000","4408,300","2.11.2017 11:06:00",
"Z201754101","Z201754101_Z","Stredná odborná škola obchodu a služieb","00158551","Slovenská republika","Martin","03680","Stavbárska 11","mediatip.sk, s. r. o.","36013978","Slovenská republika","Dubnica nad Váhom","01841","Bratislavská 432/7","Kúpna zmluva","Počítačova zostava (PC+Monitor)","30200000-1 Počítačové zariadenia a spotrebný materiál;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Žilinský","Martin","Martin","Stavbárska 11","20.11.2017 10:00:00","24.11.2017 10:00:00","","ks","20,0000","8599,000","20,000","10318,800","1571,000","3.11.2017 13:44:02",
"Z201754088","Z201754088_Z","Regionálna správa a údržba ciest Nitra a.s.","35960736","Slovenská republika","Nitra","94965","Štúrova 147","AUTOKAROS, a.s. ","36377406","Slovenská republika","Žilina","01001","Bytčická 89","Kúpna zmluva","Nové úžitkové valníkové vozidlo ","34100000-8 Motorové vozidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Levice","Levice","Nádražný rad 27","6.11.2017 7:30:00","14.2.2018 14:30:00","","ks","1,0000","38889,990","20,000","46667,990","9,010","2.11.2017 9:38:00",
"Z201755476","Z201755476_Z","Stredná odborná škola - Szakközépiskola J. Majlátha 2, Pribeník","00159557","Slovenská republika","Pribeník ","07651","J. Majlátha 2","WINKLER, s.r.o.","36179868","Slovenská republika","Michalovce","07101","Lastomírska 161","Kúpna zmluva","Nákup nového 9 - miestneho úžitkového vozidla ","34115200-8 Motorové vozidlá na prepravu menej než 10 osôb;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Trebišov","Pribeník","J. Majlátha 2 ","20.11.2017 8:18:00","28.2.2018 8:17:00","","ks","1,0000","18900,000","20,000","22680,000","1639,990","8.11.2017 9:10:00",
"Z201754732","Z201754732_Z","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","Ing. Eva Bašistová VENTEX","32599625","Slovenská republika","Závažná Poruba","03202","Iľanovská cesta 516","Rámcová dohoda","dodávka nemocničnej bielizne","39512000-4 Posteľná bielizeň;39518000-6 Nemocničná bielizeň;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","","","","","súbor","1,0000","175599,000","20,000","210718,800","20555,000","6.11.2017 15:26:00",
"Z201755731","Z201755731_Z","Úrad pre dohľad nad zdravotnou starostlivosťou","30796482","Slovenská republika","Bratislava","82924","Žellova 2","CDicon s. r. o.","35701030","Slovenská republika","Bratislava","84106","Tatranská 38","Kúpna zmluva","Nákup výpočtovej techniky","30213100-6 Prenosné počítače;30213300-8 Stolový počítač;33195100-4 Monitory;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Ružinov","Žellova  2","7.11.2017 17:09:00","7.12.2017 17:10:00","","ks","199,0000","113416,670","20,000","136100,000","700,000","2.11.2017 8:52:00",
"Z201755735","Z201755735_Z","Slovenské národné múzeum","00164721","Slovenská republika","Bratislava","81006","Vajanského nábrežie 2","Lucia Rošková R-interiér","41192516","Slovenská republika","Zvolen","96001","M. R. Štefánika 2588/33","Kúpna zmluva","živicové produkty, lepidlá, sadra, jednorázové rukavice","24000000-4 Chemické výrobky;24327400-6 Živičné produkty;33141420-0 Chirurgické rukavice;44831100-5 Tmely;44921100-3 Sadrovec;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Žižkova 12","8.11.2017 13:41:00","16.11.2017 13:42:00","","bal","93,0000","370,000","20,000","444,000","230,000","3.11.2017 10:52:00",
"Z201755883","Z201755883_Z","Všeobecná nemocnica s poliklinikou, n.o.","31908977","Slovenská republika","Veľký Krtíš","99001","Nemocničná 1","VIDRA a spol. s.r.o.","31589561","Slovenská republika","Žilina","01196","Štrková 8","Rámcová dohoda","Hadička predlžovacia ","33680000-0 Farmaceutické potreby;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Veľký Krtíš","Veľký Krtíš","Nemocničná 1","","","","ks","14000,0000","900,000","20,000","1080,000","1570,000","3.11.2017 15:36:00",
"Z201754642","Z201754642_Z","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","00165549","Slovenská republika","Banská Bystrica","97517","Námestie L. Svobodu č. 1","DAHLHAUSEN SK, s.r.o. ","36313564","Slovenská republika","Nové Mesto nad Váhom","91501","J. Kréna 361/13","Kúpna zmluva","Redonová drenážna súprava ","33140000-3 Zdravotnícky spotrebný materiál;33141600-6 Zberače a zberné vaky, drenáže a súpravy;33141642-2 Príslušenstvo k drénom;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Banská Bystrica","Banská Bystrica","Nám.L.Svobodu č.1","8.11.2017 10:44:00","11.12.2017 10:44:00","","ks=dodať na 2X začiatok mesiac.novem.+decem.dohodo","2100,0000","2595,000","20,000","3114,000","510,000","2.11.2017 11:44:00",
"Z201756093","Z201756093_Z","Mesto Žilina","00321796","Slovenská republika","Žilina","01131","Námestie obetí komunizmu 1","Ing. Igor Niko NIKO","10896546","Slovenská republika","Kanianka","97217","Čsľa 566/2","Zmluva o dielo","Stanovenie všeobecnej hodnoty nehnuteľnosti formou znaleckého posudku","71319000-7 Služby znalcov (expertíza)","Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Námestie obetí komunizmu 1","","","24.11.2017 9:00:00","ks","3,0000","149,000","","149,000","51,000","3.11.2017 9:50:00",
