"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z202411058","Z202411058_Z","Technické a záhradnícke služby mesta Michalovce","186490","Slovenská republika","Michalovce","07101","Partizánska 55","AUTEX s.r.o.","36389714","Slovenská republika","Žilina","01001","Kragujevská 3679/22C","Kúpna zmluva","Motorový olej M6 AD","09211100-2 Motorové oleje;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Michalovce","Michalovce","Partizánska 55","12/16/2024 9:30:00 AM","12/18/2024 1:00:00 PM","","ks","1.0000","264.000","20.000","316.800","186.000","12/12/2024 12:08:00 PM","",
"Z202411023","Z202411023_Z","Technické a záhradnícke služby mesta Michalovce","186490","Slovenská republika","Michalovce","07101","Partizánska 55","EUROGUMA, s.r.o.","34111859","Slovenská republika","Zlaté Moravce","95301","Svätoplukova 28","Kúpna zmluva","Pneumatika 175/65 R14","34351100-3 Pneumatiky pre motorové vozidlá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Michalovce","Michalovce","Partizánska 55","","","12/16/2024 1:00:00 PM","ks","2.0000","74.990","20.000","89.990","0.010","12/11/2024 1:38:00 PM","",
"Z202411024","Z202411024_Z","Technické a záhradnícke služby mesta Michalovce","186490","Slovenská republika","Michalovce","07101","Partizánska 55","MAT-obaly, s.r.o. ","36315303","Slovenská republika","Prievidza","97101","Cesta poľnohospodárov 787","Kúpna zmluva","Vrecia na triedený odpad","19640000-4 Polyetylénový odpad a odpadkové vrecká a vaky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Michalovce","Michalovce","Partizánska 55","12/16/2024 8:00:00 AM","12/20/2024 1:00:00 PM","","ks","21000.0000","1300.000","20.000","1560.000","299.950","12/11/2024 1:46:00 PM","",
"Z202410912","Z202410912_Z","Mesto Michalovce","00325490","Slovenská republika","Michalovce","07101","Námestie osloboditeľov 30","Štatistické a evidenčné vydavateľstvo tlačív, a.s.","31331131","Slovenská republika","Bratislava","82109","Plynárenská 6","Kúpna zmluva","Kancelárske potreby alebo ekvivalent","30192000-1 Kancelárske potreby;30192130-1 Ceruzky;30194500-0 Písacie pomôcky;30199230-1 Obálky;60000000-8 Dopravné služby (bez prepravy odpadu);30192121-5 Guľôčkové perá;30192125-3 Zvýrazňovače","Tovar;Služba","","Slovenská republika","Košický","Michalovce","Michalovce","Námestie osloboditeľov 1015/30","12/11/2024 9:00:00 AM","12/17/2024 12:00:00 PM","","ks","219.0000","123.330","20.000","148.000","146.960","12/6/2024 11:28:00 AM","",
"Z202410672","Z202410672_Z","Mesto Michalovce","00325490","Slovenská republika","Michalovce","07101","Námestie osloboditeľov 30","Industrial Services Prešov, s.r.o.","36513288","Slovenská republika","Prešov","08001","Vajanského 43","Kúpna zmluva","Osobné ochranné pracovné prostriedky","18110000-3 Pracovné odevy;18141000-9 Pracovné rukavice;18830000-6 Ochranná obuv;33735100-2 Ochranné okuliare;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Michalovce","Michalovce","Nám. osloboditeľov 30, Michalovce","","","12/9/2024 8:00:00 AM","ks","740.0000","7970.830","20.000","9565.000","935.000","12/2/2024 11:56:00 AM","",
"Z202410825","Z202410825_Z","Odborný liečebný ústav psychiatrický n. o. ","37954920","Slovenská republika","Muráň","04901","Muránska Huta, Predná Hora 126","AUTONOVA, s.r.o","31649513","Slovenská republika","Poprad","05801","Priemyselný areál Východ 3406","Kúpna zmluva","Nové osobné motorové vozidlo - 1 ks","34110000-1 Osobné automobily;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Revúca","Muránska Huta","Predná Hora č. 126","12/9/2024 7:00:00 AM","12/30/2024 2:00:00 PM","","ks","1.0000","28460.000","20.000","34152.000","0.000","12/4/2024 9:38:00 AM","",
"Z202410826","Z202410826_Z","Odborný liečebný ústav psychiatrický n. o. ","37954920","Slovenská republika","Muráň","04901","Muránska Huta, Predná Hora 126","AUTONOVA, s.r.o","31649513","Slovenská republika","Poprad","05801","Priemyselný areál Východ 3406","Kúpna zmluva","Nové osobné motorové vozidlo - 1 ks","34110000-1 Osobné automobily;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Revúca","Muránska Huta","Predná Hora č. 126","12/9/2024 7:00:00 AM","12/30/2024 2:00:00 PM","","ks","1.0000","16050.000","20.000","19260.000","0.000","12/4/2024 10:08:00 AM","",
"Z202410855","Z202410855_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","Ltd Trade s. r. o.","52406679","Slovenská republika","Ľubotice","08006","Fialková 2567/3","Kúpna zmluva","Nabíjačka autobatérií","31681500-8 Nabíjačky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Nitra","Nitra - Staré Mesto","Jelenecká","12/9/2024 10:00:00 AM","12/13/2024 11:00:00 AM","","požadované množstvo je uvedené v obj. formulári","1.0000","441.660","20.000","529.990","0.000","12/4/2024 1:38:00 PM","",
"Z202410985","Z202410985_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","Vladimír Janičina ELKO","14268035","Slovenská republika","Dúbrava","03212","284","Kúpna zmluva","Monočlánky a batérie","31434000-7 Lítiové akumulátory;31440000-2 Batérie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Nitra","Nitra - Staré Mesto","Jelenecká ulica","12/11/2024 8:30:00 AM","12/20/2024 2:00:00 PM","","Požadované množstvo je uvedene v obj. formulári ","1.0000","433.000","20.000","519.600","5.400","12/9/2024 3:38:00 PM","",
"Z202410978","Z202410978_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","Woodensky SK,s.r.o","50282026","Slovenská republika","Košice- mestská časť Staré Mesto","04001","Jakobyho  č. 1","Kúpna zmluva","Monočlánky a batérie","31411000-0 Alkalické batérie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Nitra","Nitra - Staré Mesto","Jelenecká ulica","12/11/2024 8:30:00 AM","12/20/2024 12:00:00 PM","","Požadované množstvo je uvedene v obj. formulári ","1.0000","650.000","20.000","780.000","694.990","12/9/2024 2:44:00 PM","",
