"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-285111","Po karanténe","Nádoba na nemocničný odpad a nádoba na kontaminovaný odpad ","odpad, nádoba na odpad, nádoba na ostré predmety","34928480-6 Kontajnery a nádoby na odpad a odpadky; 60000000-8 Dopravné služby (bez prepravy odpadu); 33141123-8 Nádoby na ostré predmety","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/285111","0","0",
"OF-285330","Po karanténe","Originálne a alternatívne tonery","tlač písomnosti","30125110-5 Toner do laserových tlačiarní/faxových prístrojov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/285330","0","0",
"OF-285581","Po karanténe","Laboratórny nábytok - laboratórne skrine, laboratórne stoličky","Skrine a stoličky do laboratória","39180000-7 Laboratórny nábytok; 39112000-0 Stoličky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/285581","1","0",
"OF-285632","Po karanténe","Zariadenie slúžiace k prenosu proteínov ","proteíny, bielkoviny, separácia, zariadenie, doprava, merací prístroj","38410000-2 Meracie nástroje; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/285632","1","3665.320",
"OF-286349","Po karanténe","Popisovacia páska do štítkovacej tlačiarne","páska, tlačiareň, štítkovač","30192320-0 Pásky do tlačiarní; 30125100-2 Tonerové náplne; 30192000-1 Kancelárske potreby; 30190000-7 Rôzne kancelárske zariadenia a kancelárske potreby; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/286349","1","158.330",
"OF-286366","Po karanténe","Počítačová zostava","počítač, dataprojektor","30213000-5 Osobné počítače; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/286366","1","1489.000",
"OF-286368","Po karanténe","Automaticky riadený stolový horizontálny sterilizátor - autokláv","parný sterilizátor","33191110-9 Autoklávy; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/286368","0","0",
"OF-286383","Po karanténe","Nákup a dodanie hygienických potrieb a čistiacich prostriedkov","Hygienické potreby, čistiace prostriedky, rukavice, mopy, čistiace a odvápňovacie tablety, gély, utierky, špongie a iné.","33770000-8 Papierové hygienické výrobky; 33771000-5 Hygienické výrobky z papiera; 42968200-1 Sanitárne (hygienické) dávkovacie stroje; 18424300-0 Jednorazové rukavice; 33741100-7 Čistiace prostriedky na ruky; 39831300-9 Čistiace prostriedky na podlahu; 39831600-2 Čistiace prostriedky na toalety; 39800000-0 Čistiace a leštiace výrobky; 33711900-6 Mydlo; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/286383","1","24070.830",
"OF-286398","Po karanténe","Modulárny potenciostat/galvanostat s rotačnou diskovou elektródou s ortuťovým kontaktom","Modulárny potenciostat/galvanostat, Rotátor rotačnej diskovej, elektródy (RDE) s ortuťovým kontaktom; Titračná nádoba s montážnym krúžkom; Veko titračnej nádoby s 5 otvormiPrívod plynu a prepadová rúra s ventilom; Kruhová svorka na titračnú nádobu; Stojan s nosnou tyčou; Platinová listová pomocná elektróda; Pracovná elektróda zo skleného uhlíka; Pracovná elektróda (prázdna); PC Systém","38500000-0 Kontrolné a testovacie prístroje; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/286398","1","29163.000",
"OF-286415","Po karanténe","Čistiace a hygienické potreby a dezinfekčné prostriedky","čistiace prostriedky, hygienické prostriedky toaletný papier, dezinfekcia, utierky","39800000-0 Čistiace a leštiace výrobky; 33771000-5 Hygienické výrobky z papiera; 60000000-8 Dopravné služby (bez prepravy odpadu); 39514200-0 Kychynské utierky","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/286415","1","260.420",
"OF-286417","Po karanténe","Vodoinštalačný materiál,","Nibco, PVC-U, ventil guľový, redukcia, rúra, prechod","39370000-6 Vodoinštalácie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/286417","1","388.000",
