"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-189057","Po karanténe","Sadenice, živé rastliny, letničky a okrasné trávy","Sadenice, živé rastliny, letničky a okrasné trávy","03121100-6 Živé rastliny, cibuľky, korene, rastlinné rezky a sadenice; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/189057","0","0",
"OF-206361","Po karanténe","Obstaranie učebníc a kníh pre Základnú školu","učebnice, pracovné listy, knihy pre povinné čítanie","22112000-8 Učebnice; 22111000-1 Knihy pre školy; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/206361","0","0",
"OF-206640","Po karanténe","Pracovné odevy, pracovná obuv, ochranné pomôcky","pracovný odev, pracovná obuv, ochranné pomôcky","18100000-0 Pracovné odevy, špeciálne pracovné odevy a doplnky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/206640","0","0",
"OF-207800","Po karanténe","Odborné prehliadky a odborné skúšky tlakových a plynových zariadení a pravidelný prevádzkový servis a opravy tepelnoenergetických zariadení - Oblasť I (Bratislavský, Trnavský, Trenčiansky, Nitriansky a Žilinský kraj)","odborné prehliadky, odborné skúšky, vyhradené technické zariadenia tlakové, vyhradené technické zariadenia plynové, vyhláška 508/2009 Z.z., kotle, horáky","50531200-8 Služby na údržbu plynových zariadení; 50531100-7 Opravy a údržba kotlov; 50410000-2 Opravy a údržba meracích, skúšobných a kontrolných prístrojov; 50510000-3 Opravy a údržba čerpadiel, ventilov, kohútov a kovových nádob; 50413100-4 Opravy a údržba zariadení na detekciu plynu; 71632000-7 Technické skúšky; 71631430-3 Skúšky tesnosti; 71632100-8 Skúšky ventilov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba; Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/207800","1","0",
"OF-208527","Po karanténe","Dodávka liekov na rok 2020","lieky, anestetiká, analgetiká, antiepileptiká, antiparkinsoniká, psycholeptiká, psychoanaleptiká, iné liečivá na centrálnu nervovú sústavu, ostatné liečivá pre nervový systém, iné liečivá na centrálnu nervovú sústavu","33661100-2 Anestetiká; 33661200-3 Analgetiká; 33661300-4 Antiepileptiká; 33661400-5 Liečivá proti Parkinsonovej chorobe; 33661500-6 Psycholeptiká; 33661600-7 Psychoanaleptiká; 33661700-8 Ostatné liečivá pre nervový systém; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/208527","0","0",
"OF-208696","Po karanténe","Odborné prehliadky a odborné skúšky tlakových a plynových zariadení a pravidelný prevádzkový servis a opravy tepelnoenergetických zariadení - Oblasť II (Banskobystrický, Prešovský a Košický kraj)","odborné prehliadky, odborné skúšky, vyhradené technické zariadenia tlakové, vyhradené technické zariadenia plynové, vyhláška 508/2009 Z.z., kotle, horáky","50531200-8 Služby na údržbu plynových zariadení; 50531100-7 Opravy a údržba kotlov; 50410000-2 Opravy a údržba meracích, skúšobných a kontrolných prístrojov; 50510000-3 Opravy a údržba čerpadiel, ventilov, kohútov a kovových nádob; 50413100-4 Opravy a údržba zariadení na detekciu plynu; 71632000-7 Technické skúšky; 71631430-3 Skúšky tesnosti; 71632100-8 Skúšky ventilov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba; Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/208696","1","0",
"OF-208703","Po karanténe","Dodávka liekov na rok 2020 (psycholeptiká)","lieky, psycholeptiká","33661500-6 Psycholeptiká; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/208703","0","0",
"OF-208816","Po karanténe","Germicídne žiariče a spínacie hodiny","Germicídny žiarič, spínacie hodiny","33191000-5 Sterilizačné, dezinfekčné a hygienické prístroje; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/208816","1","27443,990",
"OF-209032","Po karanténe","Ochranné plachty","zdravotnícky materiál","39522120-4 Ochranné plachty; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/209032","1","31359,000",
"OF-209073","Po karanténe","Dodávka liekov na rok 2020 ","lieky, antiepileptiká","33661300-4 Antiepileptiká; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/209073","0","0",
"OF-209372","Po karanténe","Mamograf s priamou digitalizáciou","mamografický prístroj,  Akvizičná stanica, Vyhodnocovacia stanica,","33111650-2 Mamografické prístroje; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/209372","0","0",
"OF-209615","Po karanténe","Utierky","zdravotnícky materiál","33141118-0 Utierky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/209615","0","0",
"OF-209637","Po karanténe","Výroba polotovaru na ponožky","služba, pletenie, výroba polotovaru na ponožky","98390000-3 Iné služby","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/209637","1","9000,000",
"OF-209693","Po karanténe","Akumulátorový vŕtací, rezací a frézovací systém ","akumulátor, vŕtanie, rezanie, frézovanie, bateriový  systém, vŕtací systém, univerzálne batériové telo, frézovací nádstavec, oscilačný nadstavec","33169000-2 Chirurgické nástroje; 33162200-5 Nástroje operačnej sály; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/209693","0","0",
