"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-286551","Po karanténe","Prenosné počítače a dokovacie stanice","Prenosné počítače (notebooky) a dokovacie stanice","30213100-6 Prenosné počítače; 30237200-1 Príslušenstvo počítačov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/286551","1","0",
"OF-296052","Po karanténe","Chemikálie 1","chemikálie, laboratórium,","24300000-7 Základné anorganické a organické chemikálie; 60000000-8 Dopravné služby (bez prepravy odpadu); 24311300-0 Alkalické kovy; 24315000-5 Rôzne anorganické chemikálie; 24320000-3 Základné organické chemikálie; 24327000-2 Rôzne organické chemikálie; 24311000-7 Chemické prvky, anorganické kyseliny a zlúčeniny","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/296052","1","0",
"OF-297196","Po karanténe","Kancelárske potreby ","perá, ceruzky, zošity, bloky, tlačivá, kancelársky papier, nožnice, pravítka, obaly, obálky, drobné kancelárske vybavenie","30197000-6 Drobné kancelárske vybavenie; 30192000-1 Kancelárske potreby; 30197630-1 Papier na tlač alebo iné grafické účely; 30199230-1 Obálky; 30192121-5 Guľôčkové perá; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/297196","1","27959.350",
"OF-297344","Po karanténe","Papier do multifunkčných zariadení","papier, kopírky","30197630-1 Papier na tlač alebo iné grafické účely; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/297344","0","0",
"OF-297376","Po karanténe","Elektro zariadenia pre vybavenie oddelení a kliník ","elektrický varič, ventilátor, teplovzdušný konvektor, kombinovaný sporák, chladnička s mrazničkou, chladnička, skriňová mraznička, rýchlovarná  kanvica, mikrovlnná rúra, umývačka riadu, televízny prijímač, antény, DVB prijímač, práčka","39710000-2 Elektrické prístroje pre domácnosť; 39711130-9 Chladničky; 39711100-0 Chladničky a mrazničky; 39711123-7 Stojaté chladničky; 39711362-4 Mikrovlné rúry; 32324000-0 Televízory; 39714100-1 Ventilátory; 42716120-5 Práčky; 39713100-4 Umývačky riadu; 39711440-5 Variče; 32352000-5 Antény a paraboly; 39700000-9 Spotrebiče pre domácnosť; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/297376","0","0",
"OF-297388","Po karanténe","Drobné kancelárske potreby","Euroobaly, spinky, šanóny, rýchloviazače, perá, obálky","30190000-7 Rôzne kancelárske zariadenia a kancelárske potreby; 30197000-6 Drobné kancelárske vybavenie; 60000000-8 Dopravné služby (bez prepravy odpadu); 30192121-5 Guľôčkové perá; 39241200-5 Nožnice; 30192800-9 Samolepiace etikety; 30199230-1 Obálky; 30197330-8 Dierovače; 30192130-1 Ceruzky","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/297388","1","1617.070",
"OF-297464","Po karanténe","Snímač teploty, vlhkosti a tlaku, teplovodivá platnička","snímač, platnička, prístroje","38300000-8 Meracie prístroje; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/297464","1","2030.700",
"OF-297478","Po karanténe","Dodávka tlačív","tlačivá, formuláre","30192700-8 Tlačoviny; 22458000-5 Tlačoviny na objednávku; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/297478","1","11150.000",
"OF-297508","Po karanténe","Tlač - skriptá","tlač, skriptá","79820000-8 Služby súvisiace s tlačou; 79800000-2 Tlačiarenské a príbuzné služby; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba; Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/297508","1","570.000",
"OF-297514","Po karanténe","Nábytok do ambulancie","nábytok do ambulancie","39100000-3 Nábytok; 39150000-8 Rôzny nábytok a vybavenie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/297514","1","1189.000",
