"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-282135","Po karanténe","Čistiace prostriedky a upratovacie potreby ","Čistiace prostriedky, potreby na  upratovanie","18141000-9 Pracovné rukavice; 18424000-7 Rukavice; 19510000-4 Výrobky z gumy; 24311900-6 Chlór; 33631200-4 Zmäkčovadlá a ochranné prostriedky; 33711900-6 Mydlo; 39221100-8 Kuchynské potreby; 39224000-8 Metly a kefy a iné predmety rôznych typov; 39224100-9 Metly; 39224200-0 Kefy; 39224300-1 Metly a kefy a iné výrobky na upratovanie domácností; 39224310-4 WC kefy; 39224330-0 Vedrá; 39224350-6 Lopatky na smeti; 39225300-8 Zápalky; 39514500-3 Umývacie žinky; 39525810-9 Handry na leštenie; 39541130-6 Motúzy; 39542000-3 Handry; 39800000-0 Čistiace a leštiace výrobky; 39811100-1 Osviežovač vzduchu; 39812100-8 Leštidlá na podlahu; 39822000-0 Žieravé čistiace prostriedky; 39830000-9 Čistiace výrobky; 39831000-6 Pracie prostriedky; 39831220-4 Odmasťovacie prostriedky; 39831240-0 Zlúčeniny na čistenie; 39831300-9 Čistiace prostriedky na podlahu; 39832000-3 Čistiace prostriedky na riad; 39832100-4 Čistiaci prášok na riad; 44511320-4 Škrabky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/282135","0","0",
"OF-291288","Po karanténe","Technické plyny 2024","technické plyny","24110000-8 Technické plyny; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/291288","1","0",
"OF-294037","Po karanténe","Laná a viazaky 2024","lanka","44311000-3 Lanká; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/294037","1","181400.000",
"OF-296176","Po karanténe","Hygienické pomôcky a čistiace potreby","čistiace prostriedky na podlahu, WC, riady, tekuté mydlá, hubky na riad, vrecia do koša","39830000-9 Čistiace výrobky; 39831300-9 Čistiace prostriedky na podlahu; 39832100-4 Čistiaci prášok na riad; 39831600-2 Čistiace prostriedky na toalety; 33771000-5 Hygienické výrobky z papiera; 33770000-8 Papierové hygienické výrobky; 39831210-1 Saponáty na umývanie riadu; 39831200-8 Saponáty; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/296176","1","625.000",
"OF-296296","Po karanténe","Strážna služba ","Strážna služba, bezpečnosť, stráženie, ochrana objektov, informovanie","79713000-5 Strážne služby; 79710000-4 Bezpečnostné služby; 85312310-5 Usmerňovanie","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/296296","2","41810.800",
"OF-296358","Po karanténe","Zabezpečenie elektronických stravovacích kariet","stravné poukážky, elektronické stravovacie karty","30237131-6 Elektronické karty; 30199770-8 Stravné poukážky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/296358","1","19614.370",
"OF-296408","Po karanténe","Licencie Atlassian","licencie","48620000-0 Operačné systémy; 48330000-0 Softvérový balík na vytváranie harmonogramov a na zlepšovanie produktivity","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/296408","0","0",
"OF-296473","Po karanténe","Nákup a dodávka tonerov","toner","30125100-2 Tonerové náplne; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/296473","1","2680.000",
"OF-296486","Po karanténe","Dodávka elektrickej energie 2025","elektrická energia, elektrina","09310000-5 Elektrická energia","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/296486","1","94624.500",
"OF-296499","Po karanténe","Kancelárske potreby","kancelárske potreby, perá, náplne do pier, ceruzky, popisovače, linery, lepidlá, lepiace pásky, zošity, spony, klipy, obaly, obálky, etikety, špagát, papier kancelársky","30192000-1 Kancelárske potreby; 30192121-5 Guľôčkové perá; 30124510-2 Popisovače; 30192125-3 Zvýrazňovače; 22830000-7 Zošity; 30197642-8 Papier na fotokopírovanie a xerografický papier; 30199230-1 Obálky; 30199760-5 Etikety; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/296499","1","5582.500",
